id,question,answer
118,Robert wants to practice goal kicks for soccer. He decides to have 98 kicks before going home from the park. He takes 43 kicks before taking a break to get a drink of water. He then takes another 36 kicks. How many more kicks does he need to make before he goes home?,"Fact_Diagram:
graph TD
    A[Robert's Goal Kicks]
    A --> B[Total Kicks]
    A --> C[Kicks Before Break]
    A --> D[Kicks After Break]
    B --> B1[98 kicks]
    C --> C1[43 kicks]
    D --> D1[36 kicks]
Answer_Reasoning: Robert has taken a total of <C1>43</C1> + <D1>36</D1> = 79 kicks. He wants to take <B1>98</B1> kicks, so he needs to take <B1>98</B1> - 79 = 19 more kicks. 
Final_Answer: {19} 
"
200,"Charlie and his father, an engineer, decided to build a treehouse in their backyard. In order to start constructing the house, Charlie and his father needed to gather some wood from the forest. If they initially have 15 extra planks of wood in the house and Charlie and his father got 10 planks of wood each, how many pieces of wood do they have in total?","Fact_Diagram:
graph TD
    A[Treehouse Building]
    A --> B[Wood Collection]
    A --> C[Initial Wood]
    B --> D[Charlie's Wood]
    B --> E[Father's Wood]
    C --> F[15 planks]
    D --> G[10 planks]
    E --> H[10 planks]
Answer_Reasoning: Charlie and his father initially have <F>15 planks of wood</F>. Charlie got <G>10 planks of wood</G> from the forest and his father also got <H>10 planks of wood</H>. In total, they now have <F>15</F> + <G>10</G> + <H>10</H> = 35 pieces of wood. 
Final_Answer: {35} 
"
201,"While building the house, Charlie noticed that they were running out of nails so he told his father he's going to buy some. If they still have 9 nails left and Charlie bought 2 boxes of nails, the big one containing 55 nails and the small one containing 31, how many nails will they have?","Fact_Diagram:
graph TD
    A[Building Supplies]
    A --> B[Nails]
    B --> B1[9 nails left]
    B --> B2[Charlie buys more nails]
    B2 --> B2a[Big box: 55 nails]
    B2 --> B2b[Small box: 31 nails]

Answer_Reasoning: Charlie bought a total of <B2a>55</B2a> + <B2b>31</B2b> = 86 nails. Adding the nails they already have, they will have <B1>9</B1> + 86 = 95 nails. 
Final_Answer: {95} 
"
202,"To have a more stable treehouse, Charlie's father decided to tie the corner posts of the house to the tree itself. He used 24 inches of rope for the first post, 20 inches on the second, 14 inches on the third and 12 inches on the fourth. How many inches of rope were used?","Fact_Diagram:
graph TD
    A[Treehouse Rope]
    A --> B[Post 1]
    A --> C[Post 2]
    A --> D[Post 3]
    A --> E[Post 4]
    B --> B1[24 inches]
    C --> C1[20 inches]
    D --> D1[14 inches]
    E --> E1[12 inches]

Answer_Reasoning: Charlie's father used a total of <B1>24</B1> + <C1>20</C1> + <D1>14</D1> + <E1>12</E1> = 70 inches of rope. 
Final_Answer: {70} 
"
205,"Annie is about to celebrate her birthday next week so her friends decided to throw her a surprise birthday party. Jessica, Annie's best friend, is hosting the party. She plans on making pizza for everyone. If she bought 15 pieces of pepperoni, 10 pieces of salami and 30 pieces of bacon as meat ingredients, how many pieces of meat did she buy in total?","Fact_Diagram:
graph TD
    A[Surprise Party]
    A --> B[Jessica's Pizza Toppings]
    B --> C{Pepperoni: 15 pieces}
    B --> D{Salami: 10 pieces}
    B --> E{Bacon: 30 pieces}
Answer_Reasoning: Jessica bought a total of <C>15</C> + <D>10</D> + <E>30</E> = 55 pieces of meat for her pizza. 
Final_Answer: {55} 
"
210,"It's Halloween in Chicago. Bob, Mary, John, Sue and Sam dressed as superheroes and went out to do some trick or treating. After passing through the houses on Main Street, the five friends counted how much candy they have. If Bob has 10 candies, Mary has 5, Sue has 20, John has 5 as well and Sam has also 10 candies. How many candies did they have together?","Fact_Diagram:
graph TD
    A[Trick or Treating]
    A --> B[Group Candy Count]
    B --> B1[Bob: 10 candies]
    B --> B2[Mary: 5 candies]
    B --> B3[Sue: 20 candies]
    B --> B4[John: 5 candies]
    B --> B5[Sam: 10 candies]
Answer_Reasoning: The group collected a total of <B1>10</B1> + <B2>5</B2> + <B3>20</B3> + <B4>5</B4> + <B5>10</B5> = 50 candies. 
Final_Answer: {50} 
"
211,"The group then went on to check out the houses along Broadway Street and the scary Werewolf Avenue. After the long walk, they decided to count their candy again. If Mary has 5 chewing gums, Sam has 10 chewing gums and Sue has 15 chewing gums, how many chewing gums did the three have in all?","Fact_Diagram:
graph TD
    A[Trick or Treating]
    A --> B[Candy Count]
    B --> B1[Mary: 5 chewing gums]
    B --> B2[Sam: 10 chewing gums]
    B --> B3[Sue: 15 chewing gums]

Answer_Reasoning: Mary has <B1> 5 chewing gums</B1>, Sam has <B2>10 chewing gums</B2> and Sue has <B3> 15 chewing gums</B3>. They have a total of 5 + 10 + 15 = 30 chewing gums.
Final_Answer: {30} 
"
212,"The friends then proceeded to the rest of the houses in their village. However, Sam had to go home earlier. She got her share of candies which are composed of 10 chewing gums, 15 chocolate bars, and 20 assorted fruit candies. How many candies did she get in total?","Fact_Diagram:
graph TD
    A[Sam's Candies]
    A --> B[Chewing Gums]
    A --> C[Chocolate Bars]
    A --> D[Assorted Fruit Candies]
    
    B --> B1[10 chewing gums]
    C --> C1[15 chocolate bars]
    D --> D1[20 assorted fruit candies]

Answer_Reasoning: Sam received <B1>10</B1> chewing gums, <C1>15</C1> chocolate bars, and <D1>20</D1> assorted fruit candies. She got a total of <B1>10</B1> + <C1>15</C1> + <D1>20</D1> = 45 candies. 
Final_Answer: {45} 
"
214,"After Sam and Bob left, Mary, John and Sue decided to go home as well. They counted the total amount of treats that the three of them got. They were able to sort out 60 chewing gums, 55 chocolate bars and another 40 candies of different flavors. How many treats did Mary, John and Sue have in total?","Fact_Diagram:
graph TD
    A[Treats]
    A --> B[People]
    A --> C[Treat Types]
    B --> B1[Mary, John, Sue]
    C --> C1[60 Chewing Gums]
    C --> C2[55 Chocolate Bars]
    C --> C3[40 Other Candies]
Answer_Reasoning: Mary, John and Sue have <C1>60</C1> chewing gums, <C2>55</C2> chocolate bars and <C3>40</C3> other candies. In total, they have <C1>60</C1> + <C2>55</C2> + <C3>40</C3> = 155 treats. 
Final_Answer: {155} 
"
215,"It is Easter time and the kids in the neighborhood of Easterville are very excited about the annual Easter egg hunt. The parents have decided to hide the eggs in a lot of different places. They hid 55 eggs around the club house, 33 eggs around the village park and 22 eggs in the town hall garden. How many eggs were hidden in total?","Fact_Diagram:
graph TD
    A[Easterville Easter Egg Hunt]
    A --> B[Eggs hidden]
    B --> B1[55 around clubhouse]
    B --> B2[33 around village park]
    B --> B3[22 in town hall garden]

Answer_Reasoning: There were <B1>55</B1> eggs hidden around the clubhouse, <B2>33</B2> eggs hidden around the village park, and <B3>22</B3> eggs hidden in the town hall garden. In total, there were <B1>55</B1> + <B2>33</B2> + <B3>22</B3> = 110 eggs hidden. 
Final_Answer: {110} 
"
