id,question,answer
0,"Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack, how much do you have to pay to buy each pack?","Reformatted Question: Each pack of DVDs costs <fact1>76 dollars</fact1>. If there is a discount of <fact2>25 dollars</fact2> on each pack, how much do you have to pay to buy each pack?

Answer: Each pack of DVDs originally costs <fact1>76 dollars</fact1>.  With a discount of <fact2>25 dollars</fact2>, the final cost is <fact1>76</fact1> - <fact2>25</fact2> = 51 dollars. The answer is {51}.
"
1,"Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start, how much did the candy bar cost?","Reformatted Question: Dan had <fact1>$3</fact1> left after buying a candy bar.  If he had <fact2>$4</fact2> at the start, how much did the candy bar cost?

Answer: Dan started with <fact2>$4</fact2> and ended with <fact1>$3</fact1>. Therefore, the candy bar cost <fact2>$4</fact2> - <fact1>$3</fact1> = $1. The answer is {1}.
"
2,Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?,"Reformatted Question: Paco had <fact1>26 salty cookies</fact1> and <fact2>17 sweet cookies</fact2>. He ate <fact3>14 sweet cookies</fact3> and <fact4>9 salty cookies</fact4>. How many salty cookies did Paco have left?

Answer: Paco started with <fact1>26 salty cookies</fact1> and ate <fact4>9 salty cookies</fact4>.  Therefore, he has <fact1>26</fact1> - <fact4>9</fact4> = 17 salty cookies left. The answer is {17}.
"
3,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?,"Reformatted Question: <fact1>43 children</fact1> were riding on the bus. At the bus stop, some children got off the bus. Then there were <fact2>21 children</fact2> left on the bus. How many children got off the bus at the bus stop?

Answer:  There were initially <fact1>43 children</fact1> on the bus. After some children got off, there were <fact2>21 children</fact2> remaining.  Therefore, the number of children who got off the bus is the difference between the initial number and the final number: <fact1>43</fact1> - <fact2>21</fact2> = 22 children. The answer is {22}.
"
4,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?,"Reformatted Question: <fact1>28 children</fact1> were riding on the bus. At the bus stop <fact2>82 children got on the bus</fact2> while some got off the bus. Then there were <fact3>30 children altogether</fact3> on the bus. How many more children got on the bus than those that got off?

Answer:  Initially, there were <fact1>28 children</fact1> on the bus.  <fact2>82 children got on</fact2>, bringing the total to 28 + 82 = 110 children.  Finally, there were <fact3>30 children</fact3> left on the bus.  This means that 110 - 30 = 80 children got off the bus. Therefore, <fact2>82</fact2> (children who got on) - 80 (children who got off) = 2 more children got on the bus than got off. The answer is {2}.
"
5,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?,"Reformatted Question: Olivia had <fact1>3 dollars</fact1> in her wallet. She collected <fact2>49 more dollars</fact2> from an ATM. After visiting a supermarket, she had <fact3>49 dollars left</fact3>. How much more money did she collect at the ATM than she spent at the supermarket?

Answer: Olivia collected <fact2>49 dollars</fact2> from the ATM.  After leaving the supermarket she had <fact3>49 dollars</fact3>. Before the supermarket, she had <fact1>3 dollars</fact1> + <fact2>49 dollars</fact2> = <calculation>52 dollars</calculation>.  Therefore, she spent <calculation>52 dollars</calculation> - <fact3>49 dollars</fact3> = <calculation>3 dollars</calculation> at the supermarket. The difference between the amount collected at the ATM and the amount spent at the supermarket is <fact2>49 dollars</fact2> - <calculation>3 dollars</calculation> = <answer>46 dollars</answer>. The answer is {46}.
"
6,"Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now, how many action figures did he have initially on the shelf?","Reformatted Question: Jerry had some action figures on a shelf in his room. Later he added <fact1>7 more action figures</fact1> to the shelf. If there are a total of <fact2>10 action figures</fact2> on his shelf now, how many action figures did he have initially on the shelf?

Answer:  There are currently <fact2>10 action figures</fact2> on the shelf. Jerry added <fact1>7 more action figures</fact1>.  Therefore, he initially had <fact2>10</fact2> - <fact1>7</fact1> = 3 action figures on the shelf. The answer is {3}.
"
7,Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies. How many more cookies did he eat than those he gave to his friend?,"Reformatted Question: Paco had <fact1>41 cookies</fact1>. He gave <fact2>9 cookies</fact2> to his friend and ate <fact3>18 cookies</fact3>. How many more cookies did he eat than those he gave to his friend?

Answer: Paco ate <fact3>18 cookies</fact3> and gave <fact2>9 cookies</fact2> to his friend.  To find out how many more cookies he ate than he gave away, we subtract the number of cookies given to his friend from the number of cookies he ate: <fact3>18</fact3> - <fact2>9</fact2> = 9.  He ate 9 more cookies than he gave to his friend. The answer is {9}.
"
8,Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?,"Reformatted Question: Mary is baking a cake. The recipe calls for <fact1>3 cups of sugar</fact1>, <fact2>10 cups of flour</fact2>, and <fact3>15 cups of salt</fact3>. She already put in <fact4>6 cups of flour</fact4>. How many more cups of flour does she need to add?

Answer: The recipe requires <fact2>10 cups of flour</fact2>, and Mary has already added <fact4>6 cups of flour</fact4>.  Therefore, she needs to add <fact2>10</fact2> - <fact4>6</fact4> = 4 more cups of flour. The answer is {4}.
"
9,A waiter had some customers. After 9 customers left he still had 12 customers. How many customers did he have at the start?,"Reformatted Question: A waiter had some customers. After <fact1>9 customers left</fact1>, he still had <fact2>12 customers</fact2>. How many customers did he have at the start?

Answer:  The waiter currently has <fact2>12 customers</fact2>.  Before <fact1>9 customers left</fact1>, he had <fact2>12</fact2> + <fact1>9</fact1> = 21 customers.  The answer is {21}.
"
10,3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them. How many more storks than birds are sitting on the fence?,"Reformatted Question: <fact1>3 birds</fact1> were sitting on the fence. <fact2>6 more storks</fact2> and <fact3>2 more birds</fact3> came to join them. How many more storks than birds are sitting on the fence?

Answer:  Initially, there were <fact1>3 birds</fact1>. Then <fact3>2 more birds</fact3> arrived, making a total of <fact1>3</fact1> + <fact3>2</fact3> = 5 birds.  There were <fact2>6 more storks</fact2> that joined, so there are 6 storks.  Therefore, there are 6 - 5 = 1 more storks than birds on the fence. The answer is {1}.
"
11,"They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs, how many chairs do they have in the backyard?","Reformatted Question: They decided to hold the party in their backyard. If they have <fact1>11 sets of tables</fact1> and <fact2>each set has 13 chairs</fact2>, how many chairs do they have in the backyard?

Answer:  They have <fact1>11 sets of tables</fact1>, and <fact2>each set has 13 chairs</fact2>.  Therefore, the total number of chairs is <fact1>11</fact1> * <fact2>13</fact2> = 143 chairs. The answer is {143}.
"
12,"In a school there are 458 more girls than boys. If there are 692 girls, how many pupils are there in that school?","Reformatted Question: In a school there are <fact1>458 more girls than boys</fact1>. If there are <fact2>692 girls</fact2>, how many pupils are there in that school?

Answer:  There are <fact2>692 girls</fact2> in the school.  Since there are <fact1>458 more girls than boys</fact1>, the number of boys is <fact2>692</fact2> - <fact1>458</fact1> = 234 boys. Therefore, the total number of pupils in the school is <fact2>692</fact2> + 234 = 926 pupils. The answer is {926}.
"
13,"After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feet, how deep was the water?","Reformatted Question: After resting they decided to go for a swim. The depth of the water is <fact1>15 times Dean's height</fact1>. Dean is <fact2>4 feet taller than Ron</fact2>. If Ron stands at <fact3>13 feet</fact3>, how deep was the water?

Answer: Ron's height is <fact3>13 feet</fact3>. Dean is <fact2>4 feet taller than Ron</fact2>, so Dean's height is <fact3>13</fact3> + <fact2>4</fact2> = 17 feet. The depth of the water is <fact1>15 times Dean's height</fact1>, so the water's depth is 15 * 17 = 255 feet. The answer is {255}.
"
14,6 birds were sitting on the fence. 4 more birds and 8 more storks came to join them. How many birds are sitting on the fence?,"Reformatted Question: <fact1>6 birds</fact1> were sitting on the fence. <fact2>4 more birds</fact2> and <fact3>8 more storks</fact3> came to join them. How many <fact4>birds</fact4> are sitting on the fence?

Answer: There were initially <fact1>6 birds</fact1> on the fence.  <fact2>4 more birds</fact2> joined them.  The number of <fact4>birds</fact4> is therefore <fact1>6</fact1> + <fact2>4</fact2> = 10. The number of storks (<fact3>8</fact3>) is irrelevant to the number of birds. Therefore, there are 10 birds sitting on the fence. The answer is {10}.
"
15,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 36 pounds. On the way back Marco ' dad lost 8 pounds of strawberries. Marco's strawberries now weighed 12 pounds. How much did his dad's strawberries weigh now?,"Reformatted Question: Marco and his dad went strawberry picking. Together they collected strawberries that weighed <fact1>36 pounds</fact1>. On the way back Marco's dad lost <fact2>8 pounds of strawberries</fact2>. Marco's strawberries now weighed <fact3>12 pounds</fact3>. How much did his dad's strawberries weigh now?

Answer:  Together, Marco and his dad initially collected <fact1>36 pounds</fact1> of strawberries.  After Marco's dad lost <fact2>8 pounds</fact2>, the total weight of their strawberries became 36 - 8 = 28 pounds. Since Marco's strawberries now weigh <fact3>12 pounds</fact3>, his dad's strawberries now weigh 28 - 12 = 16 pounds. The answer is {16}.
"
16,"In a school there are 697 girls and the rest are boys. If there are 228 more girls than boys, how many boys are there in that school?","Reformatted Question: In a school there are <fact1>697 girls</fact1> and the rest are boys. If there are <fact2>228 more girls than boys</fact2>, how many boys are there in that school?

Answer:  Since there are <fact2>228 more girls than boys</fact2>, the number of boys is the number of girls minus 228.  Therefore, the number of boys is <fact1>697</fact1> - <fact2>228</fact2> = 469. The answer is {469}.
"
17,In a school there are 732 girls and 761 boys. 682 more girls and 8 more boys joined the school. How many girls are there in the school now?,"Reformatted Question: In a school there are <fact1>732 girls</fact1> and <fact2>761 boys</fact2>. <fact3>682 more girls</fact3> and <fact4>8 more boys</fact4> joined the school. How many girls are there in the school now?

Answer: There were initially <fact1>732 girls</fact1> in the school.  An additional <fact3>682 girls</fact3> joined. Therefore, the total number of girls in the school now is <fact1>732</fact1> + <fact3>682</fact3> = 1414 girls. The answer is {1414}.
"
18,Danny collects bottle caps and wrappers. He found 22 bottle caps and 30 wrappers at the park. Now he has 17 bottle caps and 57 wrappers in his collection. How many wrappers did danny have at first?,"Reformatted Question: Danny collects bottle caps and wrappers. He found <fact1>22 bottle caps</fact1> and <fact2>30 wrappers</fact2> at the park. Now he has <fact3>17 bottle caps</fact3> and <fact4>57 wrappers</fact4> in his collection. How many wrappers did Danny have at first?

Answer: Danny currently has <fact4>57 wrappers</fact4> in his collection.  He found an additional <fact2>30 wrappers</fact2> at the park. Therefore, before finding the wrappers at the park, he had <fact4>57</fact4> - <fact2>30</fact2> = 27 wrappers. The answer is {27}.
"
19,Paul got a box of 457 erasers and 617 crayons for his birthday. At the end of the school year he only had 523 crayons left while not having lost a single eraser. How many more crayons than erasers did he have left?,"Reformatted Question: Paul got a box of <fact1>457 erasers</fact1> and <fact2>617 crayons</fact2> for his birthday. At the end of the school year he only had <fact3>523 crayons left</fact3> while not having lost a single eraser. How many more crayons than erasers did he have left?

Answer: Paul started with <fact1>457 erasers</fact1> and didn't lose any, so he had <fact1>457 erasers</fact1> left.  He had <fact3>523 crayons</fact3> left at the end of the year.  Therefore, he had <fact3>523</fact3> - <fact1>457</fact1> = 66 more crayons than erasers left. The answer is {66}.
"
20,Baker made 121 cakes. He sold 105 of them and bought 170 new cakes. How many cakes does baker still have?,"Reformatted Question: Baker made <fact1>121 cakes</fact1>. He sold <fact2>105 of them</fact2> and bought <fact3>170 new cakes</fact3>. How many cakes does baker still have?

Answer:  After selling <fact2>105 cakes</fact2>, the baker had <fact1>121</fact1> - <fact2>105</fact2> = 16 cakes left.  Then he bought <fact3>170 new cakes</fact3>, so he now has 16 + <fact3>170</fact3> = 186 cakes. The answer is {186}.
"
21,An industrial machine worked for 5 minutes. It can make 4 shirts a minute. How many shirts did machine make?,"Reformatted Question: An industrial machine worked for <fact1>5 minutes</fact1>. It can make <fact2>4 shirts a minute</fact2>. How many shirts did the machine make?

Answer: The machine worked for <fact1>5 minutes</fact1> and makes <fact2>4 shirts per minute</fact2>.  Therefore, the total number of shirts made is <fact1>5</fact1> * <fact2>4</fact2> = 20 shirts. The answer is {20}.
"
22,"The bananas in Philip's collection are organized into groups of size 18. If there are a total of 180 bananas in Philip's banana collection, how many groups are there?","Reformatted Question: The bananas in Philip's collection are organized into groups of size <fact1>18</fact1>. If there are a total of <fact2>180 bananas</fact2> in Philip's banana collection, how many groups are there?

Answer:  Philip has a total of <fact2>180 bananas</fact2> organized into groups of <fact1>18 bananas each</fact1>.  To find the number of groups, we divide the total number of bananas by the number of bananas per group: <fact2>180</fact2> / <fact1>18</fact1> = 10 groups. The answer is {10}.
"
23,"There were some birds sitting on the fence. 4 more birds came to join them. If there are a total of 5 birds on the fence now, how many birds had been sitting on the fence at the start?","Reformatted Question: There were some birds sitting on the fence. <fact1>4 more birds came to join them</fact1>. If there are a total of <fact2>5 birds</fact2> on the fence now, how many birds had been sitting on the fence at the start?

Answer:  There are now a total of <fact2>5 birds</fact2> on the fence.  <fact1>4 more birds came to join them</fact1>. Therefore, the number of birds initially on the fence was <fact2>5</fact2> - <fact1>4</fact1> = 1 bird. The answer is {1}.
"
24,"Jerry had 3 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed some of the old ones. If there are 6 action figures on his shelf now, how many action figures did he remove from the shelf?","Reformatted Question: Jerry had <fact1>3 action figures</fact1> on a shelf. Later he added <fact2>4 more action figures</fact2>. If there are <fact3>6 action figures</fact3> on his shelf now, how many action figures did he remove?

Answer: Jerry started with <fact1>3 action figures</fact1> and added <fact2>4 more</fact2>, resulting in 3 + 4 = 7 action figures.  Since there are now <fact3>6 action figures</fact3> on the shelf, he must have removed 7 - 6 = 1 action figure. The answer is {1}.
"
25,Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,"Reformatted Question: Danny collects bottle caps and wrappers. He found <fact1>65 wrappers</fact1> and <fact2>5 bottle caps</fact2> at the park. Now he has <fact3>31 bottle caps</fact3> and <fact4>9 wrappers</fact4> in his collection. How many more wrappers than bottle caps did Danny find at the park?

Answer: Danny found <fact1>65 wrappers</fact1> and <fact2>5 bottle caps</fact2> at the park.  To find the difference, subtract the number of bottle caps from the number of wrappers: <fact1>65</fact1> - <fact2>5</fact2> = 60.  Danny found 60 more wrappers than bottle caps at the park. The answer is {60}.
"
