id,question,answer
0,"For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left?","To find the total number of pieces of candy Debby and her sister had initially, we need to add the number of pieces each of them had. Debby had 32 pieces and her sister had 42 pieces, so together they had 32 + 42 = 74 pieces.

After eating 35 pieces the first night, they were left with 74 - 35 = 39 pieces of candy.

The answer is {39}."
1,A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left?,"To find out how many cats the pet store has left, we need to first find out the total number of cats they had initially. They had 13 siamese cats and 5 house cats, making a total of 13 + 5 = 18 cats.

During the sale, they sold 10 cats. To find out how many cats they have left, we need to subtract the number of cats sold from the total number of cats they had initially.

So, 18 (initial cats) - 10 (cats sold) = 8 cats left.

The answer is {8}."
2,"Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with?","Luke bought 2 games from a friend and 2 more at a garage sale, making 2+2=4 games total. However, 2 of the games didn't work, so he has 4−2=2 good games.

The answer is {2}."
3,"The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with?","To find out how many extra apples the cafeteria ended up with, we need to calculate the total number of apples they ordered and subtract the number of students who wanted fruit.

The cafeteria ordered 42 red apples and 7 green apples, making a total of 42 + 7 = 49 apples.

Since only 9 students wanted fruit, the cafeteria had 49 - 9 = 40 apples left over.

The answer is {40}."
4,"Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick?","To find out how many extra flowers Lana picked, we need to find out the total number of flowers she picked and subtract the number of flowers she used. 

Lana picked 36 tulips and 37 roses, so the total number of flowers she picked is 36 + 37 = 73. 

Since she only used 70 of the flowers, the number of extra flowers she picked is 73 - 70 = 3.

The answer is {3}."
5,"Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have?","To find the number of bad carrots, we need to subtract the number of good carrots from the total number of carrots. 

First, we need to find the total number of carrots. Carol picked 29 and her mother picked 16, so the total number of carrots is 29 + 16 = 45.

Now, we can subtract the number of good carrots from the total number of carrots to find the number of bad carrots. The number of bad carrots is 45 - 38 = 7.

The answer is {7}."
6,Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now?,"Roger had 16 dollars initially. He then received 28 more dollars, bringing his total to 16 + 28 = 44 dollars. However, he spent 25 dollars on a new game, leaving him with 44 - 25 = 19 dollars.

The answer is {19}."
7,"While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have?","Megan took 15 pictures at the zoo and 18 at the museum, totaling 15+18=33 pictures. After deleting 31, she has 33−31=2 pictures left.
The answer is {2}."
8,Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color?,"To find out how many pictures Rachel still has to color, we need to calculate the total number of pictures in both coloring books and subtract the number of pictures she has already colored. 

The first coloring book had 23 pictures, and the second had 32. So, the total number of pictures is 23 + 32 = 55. 

Rachel has already colored 44 pictures. To find out how many pictures she still has to color, we subtract the number of pictures she has already colored from the total number of pictures: 55 - 44 = 11.

The answer is {11}."
9,"Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash?","To find out how many shirts Ned didn't wash, we need to know how many shirts he washed and subtract that from the total number of shirts. 

Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts, making a total of 9 + 21 = 30 shirts. However, we're told he only washed 29 of them. 

So, to find out how many he didn't wash, we subtract the number of shirts he washed (29) from the total number of shirts (30). 

30 - 29 = 1

The answer is {1}."
