id,question,answer
56e1011ecd28a01900c6740c,"On 7 January 1900, Tesla left Colorado Springs.[citation needed] His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt. What happened to his lab?","Question: On 7 January 1900, Tesla left Colorado Springs.[citation needed] His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt. What happened to his lab?

To answer this question, let's break down the information provided:

1. Tesla left Colorado Springs on 7 January 1900.
2. His lab was torn down in 1904.
3. The contents of the lab were sold two years later (in 1906) to satisfy a debt.

From this information, we can see that the lab was torn down and its contents were sold. 

So, the answer is: {it was torn down and its contents were sold}."
56e11a73e3433e1400422bf1,"For exercise, Tesla walked between 8 to 10 miles per day. He squished his toes one hundred times for each foot every night, saying that it stimulated his brain cells. Why did he walk?","Question: For exercise, Tesla walked between 8 to 10 miles per day. He squished his toes one hundred times for each foot every night, saying that it stimulated his brain cells. Why did he walk?

To answer this question, let's analyze the given information step by step:

1. The passage mentions that Tesla walked between 8 to 10 miles per day.
2. It also mentions that squishing his toes was done to stimulate his brain cells, but this is not related to why he walked.
3. The only reason mentioned in the passage for walking is ""For exercise"".

Therefore, based on the information provided, the reason Tesla walked was for exercise.

Answer: {For exercise}"
56e1011ecd28a01900c6740d,"On 7 January 1900, Tesla left Colorado Springs.[citation needed] His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt. When was his lab destroyed?","Question: On 7 January 1900, Tesla left Colorado Springs.[citation needed] His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt. When was his lab destroyed?

To answer this question, let's analyze the information provided in the passage.

1. The passage mentions that Tesla left Colorado Springs on 7 January 1900. However, this information is not relevant to the question about when his lab was destroyed.

2. The passage then states that ""His lab was torn down in 1904."" This directly answers the question about when the lab was destroyed.

Therefore, based on the information provided in the passage, the lab was destroyed in 1904.

{1904}"
56e74af500c9c71400d76f66,"Religious and spiritual teachers, such as gurus, mullahs, rabbis, pastors/youth pastors and lamas, may teach religious texts such as the Quran, Torah or Bible. What type of text is the Quran?","Question: What type of text is the Quran?

To answer this question, let's analyze the given information step by step:

1. The Quran is mentioned alongside the Torah and the Bible.
2. These texts are being taught by religious and spiritual teachers such as gurus, mullahs, rabbis, pastors/youth pastors, and lamas.
3. The context suggests that these texts are significant to their respective religions.

Based on this analysis, we can infer that the Quran is a type of religious text.

Answer: {Religious text}."
56e12110e3433e1400422c4a,"Tesla was generally antagonistic towards theories about the conversion of matter into energy.:247 He was also critical of Einstein's theory of relativity, saying: Whose theory did Tesla disagree with?","Question: Tesla was generally antagonistic towards theories about the conversion of matter into energy.:247 He was also critical of Einstein's theory of relativity, saying: Whose theory did Tesla disagree with?

To answer this question, let's analyze the given information step by step:

1. The passage mentions that Tesla was generally antagonistic towards certain theories.
2. Specifically, it mentions that Tesla was critical of a particular theory of relativity.
3. The theory of relativity mentioned is attributed to Einstein.

Based on this analysis, we can conclude that Tesla disagreed with Einstein's theory.

Answer: {Einstein's}"
56e1011ecd28a01900c6740b,"On 7 January 1900, Tesla left Colorado Springs.[citation needed] His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt. When did Tesla depart from Colorado Springs?","Question: On 7 January 1900, Tesla left Colorado Springs.[citation needed] His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt. When did Tesla depart from Colorado Springs?

To answer this question, let's analyze the given information step by step:

1. The passage mentions a specific date related to Tesla's departure from Colorado Springs.
2. This date is given as 7 January 1900.
3. Therefore, based on the information provided, we can determine the exact date of Tesla's departure.

So the answer is {7 January 1900}."
56e11a73e3433e1400422bf2,"For exercise, Tesla walked between 8 to 10 miles per day. He squished his toes one hundred times for each foot every night, saying that it stimulated his brain cells. What did he do to his feet at night?","Question: For exercise, Tesla walked between 8 to 10 miles per day. He squished his toes one hundred times for each foot every night, saying that it stimulated his brain cells. What did he do to his feet at night?

To answer this question, let's break it down step by step:

1. The question asks what Tesla did to his feet at night.
2. According to the passage, Tesla squished his toes one hundred times for each foot every night.
3. Therefore, the answer to the question is that Tesla squished his toes.

So, the concise form of the final answer is: {squished his toes}."
56f8ca289b226e1400dd1007,"A piece of paper was later found on which Luther had written his last statement. The statement was in Latin, apart from ""We are beggars,"" which was in German. What was later discovered written by Luther?","Question: A piece of paper was later found on which Luther had written his last statement. The statement was in Latin, apart from ""We are beggars,"" which was in German. What was later discovered written by Luther?

To answer this question, let's analyze the given information step by step:

1. A piece of paper was found with Luther's writing on it.
2. The writing was Luther's last statement.
3. The statement was mostly in Latin.
4. A part of the statement, ""We are beggars,"" was in German.

From this information, we can conclude that what was later discovered written by Luther was his last statement.

Answer: {his last statement}."
56e1254ae3433e1400422c66,"However, his religious views remain uncertain due to other statements that he made. For example, in his article, ""A Machine to End War"", published in 1937, Tesla stated: What article was published in 1937?","To answer the question, let's break down the information provided in the passage.

The passage mentions that Tesla published an article in 1937. The title of the article is given as ""A Machine to End War"".

So, the answer to the question ""What article was published in 1937?"" is the title of the article mentioned in the passage.

Answer: {A Machine to End War}"
56bec6ac3aeaaa14008c93fe,"Six-time Grammy winner and Academy Award nominee Lady Gaga performed the national anthem, while Academy Award winner Marlee Matlin provided American Sign Language (ASL) translation. What did Lady Gaga sing?","Question: Six-time Grammy winner and Academy Award nominee Lady Gaga performed the national anthem, while Academy Award winner Marlee Matlin provided American Sign Language (ASL) translation. What did Lady Gaga sing?

To answer this question, let's analyze the given information step by step:

1. The passage mentions that Lady Gaga performed.
2. It specifically states that she performed the national anthem.
3. There is no mention of her performing any other song.

Based on this analysis, we can conclude that Lady Gaga sang the national anthem.

Answer: {the national anthem}"
