id,question,answer
0,"For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left?","Answer: First, find the total number of candies Debby and her sister had by adding the number of candies Debby had to the number of candies her sister had: 32 + 42 = 74 pieces of candy.  Then, subtract the number of candies they ate from the total number of candies: 74 - 35 = 39 pieces of candy.

Answer: {39}
"
1,A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left?,"Answer: The pet store initially had 13 Siamese cats + 5 house cats = 18 cats. After selling 10 cats, they have 18 - 10 = 8 cats left.

Answer: {8}
"
2,"Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with?","Luke initially bought 2 + 2 = 4 games.
Two of the games did not work, so he had 4 - 2 = 2 working games.

Answer: {2}
"
3,"The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with?","The cafeteria ordered a total of 42 + 7 = 49 apples.  If only 9 students wanted fruit, there would be 49 - 9 = 40 extra apples.

Answer: {40}
"
4,"Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick?","Explanation:
First, find the total number of flowers Lana picked by adding the number of tulips and roses: 36 tulips + 37 roses = 73 flowers.
Then, subtract the number of flowers used from the total number of flowers picked to find the number of extra flowers: 73 flowers - 70 flowers = 3 flowers.

Answer: {3}
"
5,"Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have?","Answer: First, find the total number of carrots picked by Carol and her mom: 29 + 16 = 45 carrots.  Then, subtract the number of good carrots from the total number of carrots: 45 - 38 = 7 bad carrots.

Answer: {7}
"
6,Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now?,"Answer: First, we add the amount of money Roger received for his birthday to his initial amount: 16 dollars + 28 dollars = 44 dollars.  Then, we subtract the amount he spent on the game: 44 dollars - 25 dollars = 19 dollars.

Answer: {19}
"
7,"While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have?","Explanation:
First, find the total number of pictures Megan took: 15 pictures (zoo) + 18 pictures (museum) = 33 pictures.
Then, subtract the number of deleted pictures from the total: 33 pictures - 31 pictures = 2 pictures.

Answer: {2}
"
8,Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color?,"First, find the total number of pictures in both coloring books by adding the number of pictures in each book: 23 + 32 = 55 pictures.

Next, subtract the number of pictures Rachel has already colored from the total number of pictures: 55 - 44 = 11 pictures.

Therefore, Rachel still has 11 pictures to color.

Answer: {11}
"
9,"Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash?","Ned had a total of 9 + 21 = 30 shirts to wash.  He washed 29 shirts. Therefore, he did not wash 30 - 29 = 1 shirt.

Answer: {1}
"
