id,question,answer
3459,"We have three blocks. Lets call them A, B and C. A medium black square is in block A. <key_fact1>Block B is to the right of block A</key_fact1>. <key_fact2>It contains a small yellow circle</key_fact2> and one big blue square. <key_fact3>Below and to the right of the big blue square there is the small yellow circle</key_fact3>. Finally, we have <key_fact4>block C which is to the right of block B</key_fact4>. <key_fact5>It contains a small yellow square</key_fact5>. <key_fact6>The small yellow square is below and to the left of a big yellow square</key_fact6>. <key_fact7>The big yellow square is touching the right edge of this block</key_fact7>. What is to the right of the circle? a small yellow square or a big yellow square which is touching the right edge of a block? 0: small yellow square 1: big yellow square which is touching the right edge of a block 2: both of them 3: none of them","We have three blocks. Lets call them A, B and C. A medium black square is in block A. <key_fact1>Block B is to the right of block A</key_fact1>. <key_fact2>It contains a small yellow circle</key_fact2> and one big blue square. <key_fact3>Below and to the right of the big blue square there is the small yellow circle</key_fact3>. Finally, we have <key_fact4>block C which is to the right of block B</key_fact4>. <key_fact5>It contains a small yellow square</key_fact5>. <key_fact6>The small yellow square is below and to the left of a big yellow square</key_fact6>. <key_fact7>The big yellow square is touching the right edge of this block</key_fact7>. What is to the right of the circle? a small yellow square or a big yellow square which is touching the right edge of a block? 0: small yellow square 1: big yellow square which is touching the right edge of a block 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine what is to the right of the small yellow circle, let's analyze the key facts step by step:

1. We have three blocks: A, B, and C. 
2. <key_fact1>Block B is to the right of block A</key_fact1>.
3. <key_fact2>Block B contains a small yellow circle</key_fact2> and one big blue square.
4. <key_fact3>The small yellow circle is below and to the right of the big blue square</key_fact3>.
5. <key_fact4>Block C is to the right of block B</key_fact4>.
6. <key_fact5>Block C contains a small yellow square</key_fact5>.
7. <key_fact6>The small yellow square is below and to the left of a big yellow square</key_fact6>.
8. <key_fact7>The big yellow square is touching the right edge of block C</key_fact7>.

Now, let's visualize the arrangement:

- In Block B, the small yellow circle is positioned below and to the right of the big blue square. 
- Block C, which is to the right of Block B, contains a small yellow square and a big yellow square. The small yellow square is below and to the left of the big yellow square, which is touching the right edge of Block C.

Given this arrangement, the small yellow circle in Block B is to the left of Block C. Therefore, the big yellow square, which is touching the right edge of Block C, is to the right of the small yellow circle.

Thus, the answer is {1}."
1578,"There are two blocks, A and B. Block A is to the left of B. Block A contains three medium yellow squares. <key_fact1>Below medium yellow square number three is medium yellow square number two</key_fact1>. <key_fact2>Below medium yellow square number three is medium yellow square number one</key_fact2>. This shape is below the medium yellow square number two. Block B has two medium yellow squares. <key_fact3>Below medium yellow square number two and medium yellow square number one there is a medium black square</key_fact3>. <key_fact4>Medium yellow square number one is below medium yellow square number two</key_fact4>. Which object is below a medium yellow square? the shape that is touching the bottom edge of a block or medium yellow square number one?
0: the shape that is touching the bottom edge of a block 
1: medium yellow square number one
2: both of them
3: none of them","There are two blocks, A and B. Block A is to the left of B. Block A contains three medium yellow squares. <key_fact1>Below medium yellow square number three is medium yellow square number two</key_fact1>. <key_fact2>Below medium yellow square number three is medium yellow square number one</key_fact2>. This shape is below the medium yellow square number two. Block B has two medium yellow squares. <key_fact3>Below medium yellow square number two and medium yellow square number one there is a medium black square</key_fact3>. <key_fact4>Medium yellow square number one is below medium yellow square number two</key_fact4>. Which object is below a medium yellow square? the shape that is touching the bottom edge of a block or medium yellow square number one?
0: the shape that is touching the bottom edge of a block 
1: medium yellow square number one
2: both of them
3: none of them
--------------- Extracted Question ---------------

To determine which object is below a medium yellow square, we need to analyze the positions of the squares and shapes in both blocks A and B.

**Block A:**
- Block A contains three medium yellow squares.
- According to <key_fact1>, below medium yellow square number three is medium yellow square number two.
- According to <key_fact2>, below medium yellow square number three is also medium yellow square number one.
- Therefore, medium yellow square number one is below medium yellow square number three, and medium yellow square number two is also below medium yellow square number three.
- The shape that is touching the bottom edge of block A is below medium yellow square number two.

**Block B:**
- Block B has two medium yellow squares.
- According to <key_fact3>, below medium yellow square number two and medium yellow square number one there is a medium black square.
- According to <key_fact4>, medium yellow square number one is below medium yellow square number two.

Now, let's determine which object is below a medium yellow square:
- In Block A, the shape that is touching the bottom edge of the block is below medium yellow square number two.
- In Block B, medium yellow square number one is below medium yellow square number two, and the medium black square is below both medium yellow squares.

Therefore, both the shape that is touching the bottom edge of a block (in Block A) and medium yellow square number one (in Block B) are below medium yellow squares.

The correct answer is {2}."
3105,"There are three blocks. We call them A, B and C. Block A contains one medium yellow square and a medium black square. <key_fact1>Below the medium black square there is the medium yellow square</key_fact1>. Block B is above block A. It has two medium yellow squares. <key_fact2>Medium yellow square number one is below medium yellow square number two</key_fact2>. Finally, there is block C to the left of block B. It has a medium blue square. Which object is below a medium yellow square? the medium black square or the blue shape? 0: the medium black square 1: the blue shape 2: both of them 3: none of them","There are three blocks. We call them A, B and C. Block A contains one medium yellow square and a medium black square. <key_fact1>Below the medium black square there is the medium yellow square</key_fact1>. Block B is above block A. It has two medium yellow squares. <key_fact2>Medium yellow square number one is below medium yellow square number two</key_fact2>. Finally, there is block C to the left of block B. It has a medium blue square. Which object is below a medium yellow square? the medium black square or the blue shape? 0: the medium black square 1: the blue shape 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine which object is below a medium yellow square, let's analyze the information provided:

1. In Block A, there is a medium black square and a medium yellow square. According to <key_fact1>, the medium yellow square is below the medium black square. This means that the medium black square is above the medium yellow square in Block A.

2. In Block B, there are two medium yellow squares. According to <key_fact2>, medium yellow square number one is below medium yellow square number two. This means that the first medium yellow square is below the second medium yellow square in Block B.

3. Block C contains a medium blue square, but there is no information about its position relative to any yellow squares.

From the above analysis, we can conclude that:

- In Block A, the medium black square is above the medium yellow square, so the medium black square is not below a medium yellow square.
- In Block B, the first medium yellow square is below the second medium yellow square, but there is no mention of any other object being below a medium yellow square.
- In Block C, there is no information about the medium blue square being below a medium yellow square.

Therefore, neither the medium black square nor the medium blue square is below a medium yellow square. The correct answer is {3}."
1723,"We have three blocks, A, B and C. There is a medium yellow square in block A. To the left of block A there is block B which contains a small blue square and one big black triangle. The small blue square is far from, below and to the left of the big black triangle. Finally, we have block C. It is below block A. It has one medium black triangle, a small black triangle and a <key_fact1>medium black circle</key_fact1>. This block also has a small blue circle. Below the medium black triangle there is a big black square. The medium black triangle is to the right of the small black triangle. <key_fact2>To the right of and near to the medium black circle there is the small black triangle</key_fact2>. To the right of the black shape which is to the right of the medium black circle there is the big black square. What is to the right of the medium black circle? a medium black triangle or a medium yellow square? 0: medium black triangle 1: medium yellow square 2: both of them 3: none of them","We have three blocks, A, B and C. There is a medium yellow square in block A. To the left of block A there is block B which contains a small blue square and one big black triangle. The small blue square is far from, below and to the left of the big black triangle. Finally, we have block C. It is below block A. It has one medium black triangle, a small black triangle and a <key_fact1>medium black circle</key_fact1>. This block also has a small blue circle. Below the medium black triangle there is a big black square. The medium black triangle is to the right of the small black triangle. <key_fact2>To the right of and near to the medium black circle there is the small black triangle</key_fact2>. To the right of the black shape which is to the right of the medium black circle there is the big black square. What is to the right of the medium black circle? a medium black triangle or a medium yellow square? 0: medium black triangle 1: medium yellow square 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine what is to the right of the medium black circle, let's analyze the key facts provided:

1. In block C, there is a <key_fact1>medium black circle</key_fact1>.
2. According to <key_fact2>, to the right of and near to the medium black circle, there is the small black triangle.

From this information, we can deduce that the small black triangle is directly to the right of the medium black circle. 

Additionally, it is mentioned that the medium black triangle is to the right of the small black triangle. Therefore, the medium black triangle is also to the right of the medium black circle, but not directly adjacent to it.

The medium yellow square is located in block A, which is above block C, and thus not directly to the right of the medium black circle in block C.

Therefore, the only shape directly to the right of the medium black circle is the small black triangle, and further to the right is the medium black triangle. The medium yellow square is not in the same block and thus not to the right of the medium black circle.

The answer is {0}: medium black triangle."
166,"We have three blocks. Lets call them A, B and C. One medium black square and a medium blue square are in block A. The medium black square is touching the bottom edge of this block. This object is below the medium blue square. To the right of block A we have block B which has two medium yellow squares. <key_fact1>Medium yellow square number one is touching the bottom edge of this block. It is below medium yellow square number two</key_fact1>. Above block A there is block C. It has two medium blue squares. Below medium blue square number two and a medium yellow square there is medium blue square number one. <key_fact2>Below the medium yellow square there is medium blue square number two</key_fact2>. Which object is above a medium square? medium yellow square number two or the medium yellow square that is in block C?
0: medium yellow square  number two
1: the medium yellow square  that is in block C
2: both of them
3: none of them","We have three blocks. Lets call them A, B and C. One medium black square and a medium blue square are in block A. The medium black square is touching the bottom edge of this block. This object is below the medium blue square. To the right of block A we have block B which has two medium yellow squares. <key_fact1>Medium yellow square number one is touching the bottom edge of this block. It is below medium yellow square number two</key_fact1>. Above block A there is block C. It has two medium blue squares. Below medium blue square number two and a medium yellow square there is medium blue square number one. <key_fact2>Below the medium yellow square there is medium blue square number two</key_fact2>. Which object is above a medium square? medium yellow square number two or the medium yellow square that is in block C?
0: medium yellow square  number two
1: the medium yellow square  that is in block C
2: both of them
3: none of them
--------------- Extracted Question ---------------

To solve this problem, we need to determine which medium yellow square is above a medium square.

1. **Analyzing Block B:**
   - Block B contains two medium yellow squares.
   - According to <key_fact1>, medium yellow square number one is touching the bottom edge of block B and is below medium yellow square number two.
   - Therefore, medium yellow square number two is above medium yellow square number one.

2. **Analyzing Block C:**
   - Block C contains two medium blue squares and one medium yellow square.
   - According to <key_fact2>, below the medium yellow square there is medium blue square number two.
   - This means the medium yellow square in block C is above medium blue square number two.

3. **Conclusion:**
   - Both medium yellow square number two in block B and the medium yellow square in block C are above other squares.
   - Therefore, the answer is that both of them are above a medium square.

The correct answer is {2}."
1061,"There are three blocks, A, B and C. <key_fact1>Block A is to the right of C</key_fact1>. <key_fact2>Block C is to the right of B</key_fact2>. Block A has two medium yellow squares. There is also a medium black square in this block. Below medium yellow square number two and the medium black square there is medium yellow square number one. <key_fact5>Below the medium black square there is medium yellow square number two</key_fact5>. <key_fact3>Block B has one medium blue square</key_fact3>. And <key_fact4>block C has a medium blue square</key_fact4>. Which object is to the right of a medium blue square? medium yellow square number one or medium yellow square number two?
0: medium yellow square number one
1: medium yellow square number two
2: both of them
3: none of them","There are three blocks, A, B and C. <key_fact1>Block A is to the right of C</key_fact1>. <key_fact2>Block C is to the right of B</key_fact2>. Block A has two medium yellow squares. There is also a medium black square in this block. Below medium yellow square number two and the medium black square there is medium yellow square number one. <key_fact5>Below the medium black square there is medium yellow square number two</key_fact5>. <key_fact3>Block B has one medium blue square</key_fact3>. And <key_fact4>block C has a medium blue square</key_fact4>. Which object is to the right of a medium blue square? medium yellow square number one or medium yellow square number two?
0: medium yellow square number one
1: medium yellow square number two
2: both of them
3: none of them
--------------- Extracted Question ---------------

To determine which object is to the right of a medium blue square, we need to analyze the positions of the blocks and the squares within them.

1. **Block Arrangement:**
   - According to <key_fact1>Block A is to the right of C</key_fact1> and <key_fact2>Block C is to the right of B</key_fact2>, the order of the blocks from left to right is B, C, A.

2. **Squares in Each Block:**
   - <key_fact3>Block B has one medium blue square</key_fact3>.
   - <key_fact4>Block C has a medium blue square</key_fact4>.
   - Block A has two medium yellow squares and a medium black square. According to <key_fact5>Below the medium black square there is medium yellow square number two</key_fact5>, the arrangement in Block A is:
     - Top: Medium yellow square number two and medium black square
     - Bottom: Medium yellow square number one

3. **Position Relative to Medium Blue Squares:**
   - Since Block A is to the right of both Block B and Block C, any square in Block A is to the right of the medium blue squares in both Block B and Block C.

4. **Conclusion:**
   - Both medium yellow square number one and medium yellow square number two are in Block A, which is to the right of the medium blue squares in Blocks B and C.

Therefore, the answer is {2}."
2095,"There are three blocks. Lets call them A, B and C. Block A contains two medium blue squares. <key_fact1>Medium blue square number one is below medium blue square number two and a medium black square</key_fact1>. This shape is touching the bottom edge of this block. The medium black square is below medium blue square number two. Above block A there is block B which has three medium yellow squares. <key_fact3>Medium yellow square number one is touching the bottom edge of this block</key_fact3>. <key_fact2>Medium yellow square number two is below medium yellow square number three</key_fact2>. Medium yellow square number one is below medium yellow square number three and medium yellow square number two. To the right of block B there is block C. It has two medium blue squares. Below medium blue square number two there is medium blue square number one. Which object is above a medium blue square? medium yellow square number two or the medium yellow square that is touching the bottom edge of a block?
0: medium yellow square  number two
1: the medium yellow square  that is touching the bottom edge of a block 
2: both of them
3: none of them","There are three blocks. Lets call them A, B and C. Block A contains two medium blue squares. <key_fact1>Medium blue square number one is below medium blue square number two and a medium black square</key_fact1>. This shape is touching the bottom edge of this block. The medium black square is below medium blue square number two. Above block A there is block B which has three medium yellow squares. <key_fact3>Medium yellow square number one is touching the bottom edge of this block</key_fact3>. <key_fact2>Medium yellow square number two is below medium yellow square number three</key_fact2>. Medium yellow square number one is below medium yellow square number three and medium yellow square number two. To the right of block B there is block C. It has two medium blue squares. Below medium blue square number two there is medium blue square number one. Which object is above a medium blue square? medium yellow square number two or the medium yellow square that is touching the bottom edge of a block?
0: medium yellow square  number two
1: the medium yellow square  that is touching the bottom edge of a block 
2: both of them
3: none of them
--------------- Extracted Question ---------------

To determine which object is above a medium blue square, let's analyze the key facts:

1. In Block A, we have:
   - <key_fact1>Medium blue square number one is below medium blue square number two and a medium black square</key_fact1>. This means that the medium black square is above medium blue square number one.

2. In Block B, we have:
   - <key_fact3>Medium yellow square number one is touching the bottom edge of this block</key_fact3>. This means it is at the bottom of Block B.
   - <key_fact2>Medium yellow square number two is below medium yellow square number three</key_fact2>. This means medium yellow square number three is at the top of Block B, and medium yellow square number two is in the middle.

3. In Block C, we have:
   - Medium blue square number two is above medium blue square number one.

Now, let's determine the positions relative to the medium blue squares:

- In Block A, the medium black square is above medium blue square number one.
- In Block B, medium yellow square number two is in the middle, and medium yellow square number one is at the bottom. Since Block B is above Block A, medium yellow square number two is above the medium blue squares in Block A.

Therefore, medium yellow square number two is above a medium blue square, while the medium yellow square that is touching the bottom edge of Block B (medium yellow square number one) is not above any medium blue square.

Thus, the answer is {0}."
1991,"There are three blocks. Lets call them A, B and C. Block A is to the left of B. <key_fact1>Block B has one medium blue square and one medium yellow square</key_fact1>. <key_fact2>This block also contains one medium black square</key_fact2>. <key_fact3>It is below the medium yellow square</key_fact3>. <key_fact4>The medium blue square is touching the bottom edge of this block</key_fact4>. <key_fact5>It is below the medium yellow square and the medium black square</key_fact5>. And block C contains a medium yellow square. Which object is below a medium yellow square? the medium blue square that is touching the bottom edge of a block or the medium black square? 0: the medium blue square that is touching the bottom edge of a block 1: the medium black square 2: both of them 3: none of them","There are three blocks. Lets call them A, B and C. Block A is to the left of B. <key_fact1>Block B has one medium blue square and one medium yellow square</key_fact1>. <key_fact2>This block also contains one medium black square</key_fact2>. <key_fact3>It is below the medium yellow square</key_fact3>. <key_fact4>The medium blue square is touching the bottom edge of this block</key_fact4>. <key_fact5>It is below the medium yellow square and the medium black square</key_fact5>. And block C contains a medium yellow square. Which object is below a medium yellow square? the medium blue square that is touching the bottom edge of a block or the medium black square? 0: the medium blue square that is touching the bottom edge of a block 1: the medium black square 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine which object is below a medium yellow square, let's analyze the key facts step by step:

1. **Block B Composition**: 
   - <key_fact1>Block B has one medium blue square and one medium yellow square</key_fact1>.
   - <key_fact2>This block also contains one medium black square</key_fact2>.

2. **Position of the Medium Black Square**:
   - <key_fact3>It is below the medium yellow square</key_fact3>.

3. **Position of the Medium Blue Square**:
   - <key_fact4>The medium blue square is touching the bottom edge of this block</key_fact4>.
   - <key_fact5>It is below the medium yellow square and the medium black square</key_fact5>.

From these facts, we can deduce the following:

- The medium black square is positioned directly below the medium yellow square in Block B, as stated in <key_fact3>.
- The medium blue square is positioned below both the medium yellow square and the medium black square, as stated in <key_fact5>.

Therefore, both the medium black square and the medium blue square are below the medium yellow square in Block B. The correct answer is {2}."
1659,"We have three blocks. We call them A, B and C. Block C is to the left of A. Block A is above B. Block A has one medium yellow square. <key_fact1>Block B has a medium blue square and a medium black square. There is also a medium yellow square in this block. It is below the medium black square.</key_fact1> <key_fact2>The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square.</key_fact2> And <key_fact3>block C has one medium yellow square.</key_fact3> Which object is below a medium yellow square? the medium yellow square which is in block B or the medium yellow square which is in block C? 0: the medium yellow square which is in block B 1: the medium yellow square which is in block C 2: both of them 3: none of them","We have three blocks. We call them A, B and C. Block C is to the left of A. Block A is above B. Block A has one medium yellow square. <key_fact1>Block B has a medium blue square and a medium black square. There is also a medium yellow square in this block. It is below the medium black square.</key_fact1> <key_fact2>The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square.</key_fact2> And <key_fact3>block C has one medium yellow square.</key_fact3> Which object is below a medium yellow square? the medium yellow square which is in block B or the medium yellow square which is in block C? 0: the medium yellow square which is in block B 1: the medium yellow square which is in block C 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine which object is below a medium yellow square, we need to analyze the positions of the squares in each block based on the given key facts.

1. **Block B Analysis:**
   - According to <key_fact1>, Block B contains a medium blue square, a medium black square, and a medium yellow square. The medium yellow square is below the medium black square.
   - <key_fact2> states that the medium blue square is touching the bottom edge of Block B and is below both the medium yellow square and the medium black square.
   - Therefore, in Block B, the medium blue square is below the medium yellow square.

2. **Block C Analysis:**
   - <key_fact3> states that Block C has one medium yellow square.
   - There is no information provided about any other squares in Block C or their positions relative to the medium yellow square.
   - Therefore, there is no object mentioned as being below the medium yellow square in Block C.

Based on this analysis, the medium blue square in Block B is below the medium yellow square, while there is no object below the medium yellow square in Block C. Therefore, the answer is {0}."
3211,There are two blocks. Lets call them A and B. Block A is above B. Block A has two medium yellow squares. <key_fact1>Medium yellow square number one is below medium yellow square number two and a medium blue square</key_fact1>. <key_fact2>Below medium yellow square number two is the medium blue square</key_fact2>. Block B has one medium black square. There is also a medium yellow square touching the bottom edge of this block. <key_fact3>The medium yellow square is below the medium black square</key_fact3>. Which object is above a medium yellow square? the blue thing or the medium black square? 0: the blue thing 1: the medium black square 2: both of them 3: none of them,"There are two blocks. Lets call them A and B. Block A is above B. Block A has two medium yellow squares. <key_fact1>Medium yellow square number one is below medium yellow square number two and a medium blue square</key_fact1>. <key_fact2>Below medium yellow square number two is the medium blue square</key_fact2>. Block B has one medium black square. There is also a medium yellow square touching the bottom edge of this block. <key_fact3>The medium yellow square is below the medium black square</key_fact3>. Which object is above a medium yellow square? the blue thing or the medium black square? 0: the blue thing 1: the medium black square 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine which object is above a medium yellow square, let's analyze the information provided in the key facts:

1. In Block A:
   - <key_fact1>Medium yellow square number one is below medium yellow square number two and a medium blue square</key_fact1>.
   - <key_fact2>Below medium yellow square number two is the medium blue square</key_fact2>.

   From these facts, we can deduce that the medium blue square is above medium yellow square number one.

2. In Block B:
   - <key_fact3>The medium yellow square is below the medium black square</key_fact3>.

   This indicates that the medium black square is above the medium yellow square in Block B.

Now, let's answer the question: Which object is above a medium yellow square? The options are:
- 0: the blue thing
- 1: the medium black square
- 2: both of them
- 3: none of them

From our analysis:
- The medium blue square (the blue thing) is above a medium yellow square in Block A.
- The medium black square is above a medium yellow square in Block B.

Therefore, both the blue thing and the medium black square are above a medium yellow square. The correct answer is {2}."
