id,question,answer
0,Seven red apples and two green apples are in the basket. How many apples are in the basket?,"Reformatted Question: <fact1>Seven red apples</fact1> and <fact2>two green apples</fact2> are in the basket. How many apples are in the basket?

Answer: There are <fact1>seven red apples</fact1> and <fact2>two green apples</fact2> in the basket.  To find the total number of apples, we add the number of red apples and the number of green apples: <fact1>7</fact1> + <fact2>2</fact2> = 9 apples.  Therefore, there are 9 apples in the basket. The answer is {9}.
"
1,Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?,"Reformatted Question: Ellen has <fact1>six more balls</fact1> than <fact2>Marin</fact2>. <fact2>Marin</fact2> has <fact3>nine balls</fact3>. How many balls does <fact2>Ellen</fact2> have?

Answer:  <fact2>Marin</fact2> has <fact3>nine balls</fact3>. <fact1>Ellen has six more balls than Marin</fact1>, so <fact2>Ellen</fact2> has <fact3>9</fact3> + <fact1>6</fact1> = 15 balls. The answer is {15}.
"
2,Janet has nine oranges and Sharon has seven oranges. How many oranges do Janet and Sharon have together?,"Reformatted Question: Janet has <fact1>nine oranges</fact1> and Sharon has <fact2>seven oranges</fact2>. How many oranges do Janet and Sharon have together?
Answer: Janet has <fact1>nine oranges</fact1>, and Sharon has <fact2>seven oranges</fact2>. Together they have <fact1>nine</fact1> + <fact2>seven</fact2> = sixteen oranges. The answer is {16}.
"
3,Allan brought two balloons and Jake brought four balloons to the park. How many balloons did Allan and Jake have in the park?,"Reformatted Question: Allan brought <fact1>two balloons</fact1> and Jake brought <fact2>four balloons</fact2> to the park. How many balloons did Allan and Jake have in the park?

Answer: Allan brought <fact1>two balloons</fact1> and Jake brought <fact2>four balloons</fact2>.  Together, they had <fact1>2</fact1> + <fact2>4</fact2> = 6 balloons in the park. The answer is {6}.
"
4,Adam has five more apples than Jackie. Jackie has nine apples. How many apples does Adam have?,"Reformatted Question: Adam has <fact1>five more apples</fact1> than <fact2>Jackie</fact2>. <fact2>Jackie</fact2> has <fact3>nine apples</fact3>. How many apples does Adam have?

Answer:  <fact2>Jackie</fact2> has <fact3>nine apples</fact3>. Adam has <fact1>five more apples</fact1> than <fact2>Jackie</fact2>. Therefore, Adam has <fact3>9</fact3> + <fact1>5</fact1> = 14 apples. The answer is {14}.
"
5,Brian has four more plums than Paul. Paul has seven plums. How many plums does Brian have?,"Reformatted Question: Brian has <fact1>four more plums</fact1> than <fact2>Paul</fact2>. <fact2>Paul</fact2> has <fact3>seven plums</fact3>. How many plums does Brian have?

Answer:  <fact2>Paul</fact2> has <fact3>seven plums</fact3>. Brian has <fact1>four more plums</fact1> than <fact2>Paul</fact2>.  Therefore, Brian has <fact3>seven</fact3> + <fact1>four</fact1> = 11 plums. The answer is {11}.
"
6,Sandra took six cups of coffee and Marcie took two cups of coffee. How many cups of coffee did Sandra and Marcie take in total?,"Reformatted Question: <fact1>Sandra took six cups of coffee</fact1> and <fact2>Marcie took two cups of coffee</fact2>. How many cups of coffee did Sandra and Marcie take in total?

Answer:  <fact1>Sandra took six cups</fact1> and <fact2>Marcie took two cups</fact2>. To find the total number of cups they took, we add the number of cups Sandra took to the number of cups Marcie took: <fact1>6</fact1> + <fact2>2</fact2> = 8 cups. The answer is {8}.
"
7,17 plums were in the basket. More plums were added to the basket. Now there are 21 plums. How many plums were added to the basket?,"Reformatted Question: There were <fact1>17 plums</fact1> in the basket. <fact2>More plums were added</fact2> to the basket. Now there are <fact3>21 plums</fact3>. How many plums were added to the basket?

Answer:  There were initially <fact1>17 plums</fact1> in the basket.  After more plums were added (<fact2>More plums were added</fact2>), there are now <fact3>21 plums</fact3>. To find out how many plums were added, we subtract the initial number of plums from the final number: <fact3>21</fact3> - <fact1>17</fact1> = 4 plums. Therefore, <fact2>4 plums were added</fact2> to the basket. The answer is {4}.
"
8,14 red plums and four green plums are in the basket. How many plums are in the basket?,"Reformatted Question: <fact1>14 red plums</fact1> and <fact2>four green plums</fact2> are in the basket. How many plums are in the basket?

Answer: There are <fact1>14 red plums</fact1> and <fact2>4 green plums</fact2> in the basket.  To find the total number of plums, we add the number of red plums and the number of green plums: <fact1>14</fact1> + <fact2>4</fact2> = 18 plums. Therefore, there are 18 plums in the basket. The answer is {18}.
"
9,Marin has nine apples and Donald has two apples. How many apples do Marin and Donald have together?,"Reformatted Question: Marin has <fact1>nine apples</fact1> and Donald has <fact2>two apples</fact2>. How many apples do Marin and Donald have together?

Answer: Marin has <fact1>nine apples</fact1>, and Donald has <fact2>two apples</fact2>.  Together they have <fact1>nine</fact1> + <fact2>two</fact2> = eleven apples. The answer is {11}.
"
