id,question,gt,isTrue,isTagged,dataset,unique_id,question_len
0,"Reformatted Question: Rania saw a <fact1>210-foot whale</fact1> with <fact2>7 72-inch remoras</fact2> attached to it. What percentage of the whale's body length is the combined length of the remoras?

Answer: First, we need to convert the length of the whale to inches, since the length of the remoras is given in inches. There are 12 inches in a foot, so the whale is <fact1>210 feet</fact1> * 12 inches/foot = 2520 inches long. The combined length of the remoras is <fact2>7 remoras</fact2> * 72 inches/remora = 504 inches. To find the percentage of the whale's body length that the remoras occupy, we divide the length of the remoras by the length of the whale and multiply by 100: (504 inches / 2520 inches) * 100 = 20%. The answer is {20}.",20,1,1,p2,0,744
0,"Reformatted Question: Olivia saw a <fact1>10-foot dolphin</fact1> with <fact2>8 3-inch remoras</fact2> attached to it. What percentage of the dolphin's body length is the combined length of the remoras?

Answer: First, we need to convert the length of the dolphin to inches to match the units of the remoras. Since there are 12 inches in a foot, the dolphin is <fact1>10 feet</fact1> * 12 inches/foot = 120 inches long. The combined length of the remoras is <fact2>8 remoras</fact2> * <fact2>3 inches/remora</fact2> = 24 inches. To find the percentage of the dolphin's body length that the remoras occupy, we divide the length of the remoras by the length of the dolphin and multiply by 100: (24 inches / 120 inches) * 100 = 20%. The answer is {20}.",20,1,1,p2,1,749
0,"Reformatted Question: Jamal saw a <fact1>380-foot whale</fact1> with <fact2>8</fact2> <fact3>57-inch remoras</fact3> attached to it. What percentage of the whale's body length is the combined length of the remoras?

Answer: First, we need to convert the length of the whale to inches, since the length of the remoras is given in inches. There are 12 inches in a foot, so the whale is <fact1>380 feet</fact1> * 12 inches/foot = 4560 inches long. The combined length of the remoras is <fact2>8</fact2> * <fact3>57 inches</fact3> = 456 inches. To find the percentage of the whale's body length that the remoras occupy, we divide the length of the remoras by the length of the whale and multiply by 100: (456 inches / 4560 inches) * 100 = 10%. The answer is {10}.",10,1,1,p2,2,759
0,"Reformatted Question: Mia saw a <fact1>240-foot shark</fact1> with <fact2>4 36-inch remoras</fact2> attached to it. What percentage of the <fact1>shark's body length</fact1> is the combined length of the <fact2>remoras</fact2>?

Answer: First, we need to convert the length of the remoras from inches to feet. Since there are 12 inches in a foot, the length of each remora is <fact2>36 inches</fact2>/12 = 3 feet. The combined length of the remoras is then 4 * 3 = 12 feet. To find the percentage of the shark's body length that the remoras occupy, we divide the combined length of the remoras by the length of the shark and multiply by 100. This gives us (12/<fact1>240</fact1>)*100 = 5%. The answer is {5}.",5,1,1,p2,3,708
0,"Reformatted Question: Haruka saw a <fact1>450-foot shark</fact1> with <fact2>4 27-inch remoras</fact2> attached to it. What percentage of the <fact1>shark's body length</fact1> is the combined length of the <fact2>remoras</fact2>?

Answer: First, we need to convert the length of the remoras from inches to feet. Since there are 12 inches in a foot, the length of each remora is <fact2>27 inches</fact2>/12 = 2.25 feet. The combined length of the remoras is then 4 * 2.25 = 9 feet. To find the percentage of the shark's body length that the remoras occupy, we divide the combined length of the remoras by the length of the shark and multiply by 100. This gives us (9 / <fact1>450</fact1>) * 100 = 2%. The answer is {2}.",2,1,1,p2,4,719
0,"Reformatted Question: Gabrielle saw a <fact1>70-foot dolphin</fact1> with <fact2>2 84-inch remoras</fact2> attached to it. What percentage of the dolphin's body length is the combined length of the remoras?

Answer: First, we need to convert the length of the remoras from inches to feet. Since there are 12 inches in a foot, the length of each remora is <fact2>84</fact2>/12 = 7 feet. The combined length of the remoras is 7 * 2 = 14 feet. To find the percentage of the dolphin's body length that the combined length of the remoras represents, we need to divide the combined length of the remoras by the length of the dolphin and multiply by 100. This gives us (14/<fact1>70</fact1>) * 100 = 20%. 

The answer is {20}.",20,1,1,p2,5,719
0,"Reformatted Question: Mei saw a <fact1>90-foot dolphin</fact1> with <fact2>3 36-inch remoras</fact2> attached to it. What percentage of the dolphin's body length is the combined length of the remoras?

Answer: First, we need to convert the length of the remoras from inches to feet. Since there are 12 inches in a foot, the length of each remora is <fact2>36 inches</fact2>/12 = 3 feet. The combined length of the remoras is 3 * 3 = 9 feet. To find the percentage of the dolphin's body length that the combined length of the remoras represents, we need to divide the combined length of the remoras by the length of the dolphin and multiply by 100. This gives us (9 / <fact1>90</fact1>) * 100 = 10%. The answer is {10}.",10,1,1,p2,6,718
0,"Reformatted Question: Noah saw a <fact1>220-foot whale</fact1> with <fact2>2 66-inch remoras</fact2> attached to it. What percentage of the whale's body length is the combined length of the remoras?

Answer: First, we need to convert the length of the whale to inches to match the units of the remoras. Since there are 12 inches in a foot, the whale is <fact1>220 feet</fact1> * 12 inches/foot = 2640 inches long. The combined length of the remoras is <fact2>2 remoras</fact2> * <fact2>66 inches/remora</fact2> = 132 inches. To find the percentage of the whale's body length that the remoras occupy, we divide the length of the remoras by the length of the whale and multiply by 100: (132 inches / 2640 inches) * 100 = 5%. 

The answer is {5}.",5,1,1,p2,7,743
0,"Reformatted Question: Emma saw a <fact1>360-foot dolphin</fact1> with <fact2>6 72-inch remoras</fact2> attached to it. What percentage of the dolphin's body length is the combined length of the remoras?

Answer: First, we need to convert the length of the remoras from inches to feet. Since there are 12 inches in a foot, the length of each remora is <fact2>72 inches</fact2>/12 = 6 feet. The combined length of the remoras is then 6 feet/remora * <fact2>6 remoras</fact2> = 36 feet. To find the percentage of the dolphin's body length that the remoras occupy, we divide the length of the remoras by the length of the dolphin and multiply by 100: (36 feet / <fact1>360 feet</fact1>) * 100 = 10%.",10,1,1,p2,8,695
0,"Reformatted Question: Bodhi saw a <fact1>400-foot shark</fact1> with <fact2>3 64-inch remoras</fact2> attached to it. What percentage of the <fact1>shark's body length</fact1> is the combined length of the <fact2>remoras</fact2>?

Answer: First, we need to convert the length of the remoras from inches to feet. Since there are 12 inches in a foot, the length of each remora is <fact2>64 inches</fact2> / 12 = 5.33 feet. The combined length of the remoras is 3 * 5.33 = 16 feet. To find the percentage of the shark's body length that the remoras occupy, we divide the combined length of the remoras by the length of the shark and multiply by 100. This gives us (16 / <fact1>400</fact1>) * 100 = 4%. The answer is {4}.",4,1,1,p2,9,717
0,"Reformatted Question: Umar saw a <fact1>480-foot dolphin</fact1> with <fact2>6 96-inch remoras</fact2> attached to it. What percentage of the dolphin's body length is the combined length of the remoras?

Answer: First, we need to convert the length of the remoras from inches to feet. Since there are 12 inches in a foot, the length of each remora is <fact2>96</fact2>/12 = 8 feet. The combined length of the remoras is then 8 * <fact2>6</fact2> = 48 feet. To find the percentage of the dolphin's body length that the remoras occupy, we divide the length of the remoras by the length of the dolphin and multiply by 100. This gives us (48 / <fact1>480</fact1>) * 100 = 10%. The answer is {10}.",10,1,1,p2,10,692
0,"Reformatted Question: Faisal saw a <fact1>70-foot whale</fact1> with <fact2>4 42-inch remoras</fact2> attached to it. What percentage of the whale's body length is the combined length of the remoras?

Answer: First, we need to convert the length of the whale to inches to match the units of the remoras. Since there are 12 inches in a foot, the whale is <fact1>70 feet</fact1> * 12 inches/foot = 840 inches long. The combined length of the remoras is <fact2>4 remoras</fact2> * <fact2>42 inches/remora</fact2> = 168 inches. To find the percentage of the whale's body length that the remoras occupy, we divide the length of the remoras by the length of the whale and multiply by 100: (168 inches / 840 inches) * 100 = 20%. The answer is {20}.",20,1,1,p2,11,741
0,"Reformatted Question: Valentina saw a <fact1>90-foot whale</fact1> with <fact2>2 54-inch remoras</fact2> attached to it. What percentage of the whale's body length is the combined length of the remoras?

Answer: First, we need to convert the length of the whale to inches to match the units of the remoras. Since there are 12 inches in a foot, the whale is <fact1>90 feet</fact1> * 12 inches/foot = 1080 inches long. The combined length of the remoras is <fact2>2 remoras</fact2> * <fact2>54 inches/remora</fact2> = 108 inches. To find the percentage of the whale's body length that the remoras occupy, we divide the length of the remoras by the length of the whale and multiply by 100: (108 inches / 1080 inches) * 100 = 10%. The answer is {10}.",10,1,1,p2,12,746
