id,question,answer
0,"Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack, how much do you have to pay to buy each pack?","Reformatted Question: Each pack of DVDs costs <fact1>$76</fact1>. If there is a discount of <fact2>$25</fact2> on each pack, how much do you have to pay to buy each pack?

Answer: The original price of each pack of DVDs is <fact1>$76</fact1>. With a discount of <fact2>$25</fact2> on each pack, the new price would be <fact1>$76</fact1> - <fact2>$25</fact2> = $51. The answer is {51}."
1,"Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start, how much did the candy bar cost?","Reformatted Question: Dan had <fact1>$3</fact1> left with him after he bought a candy bar. If he had <fact2>$4</fact2> at the start, how much did the candy bar cost?

Answer: Dan had <fact2>$4</fact2> at the start and had <fact1>$3</fact1> left after buying the candy bar, so the candy bar cost <fact2>4</fact2>−<fact1>3</fact1>=1 dollar. The answer is {1}."
2,Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?,"Reformatted Question: Paco had <fact1>26 salty cookies</fact1> and <fact2>17 sweet cookies</fact2>. He ate <fact3>14 sweet cookies</fact3> and <fact4>9 salty cookies</fact4>. How many salty cookies did Paco have left?

Answer: Paco initially had <fact1>26 salty cookies</fact1> and ate <fact4>9 salty cookies</fact4>, so he has <fact1>26</fact1>−<fact4>9</fact4>=17 salty cookies left. The answer is {17}."
3,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?,"Reformatted Question: 43 children were riding on the bus. At the bus stop some children got off the bus. Then there were <fact1>21 children</fact1> left on the bus. How many children got off the bus at the bus stop?

Answer: Initially, there were 43 children on the bus, and after some got off, there were <fact1>21 children</fact1> left. To find out how many got off, we subtract the number of children left from the initial number: 43 - <fact1>21</fact1> = 22 children. The answer is {22}."
4,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?,"Reformatted Question: 28 children were riding on the bus. At the bus stop <fact1>82 children got on the bus</fact1> while some got off the bus. Then there were <fact2>30 children altogether on the bus</fact2>. How many more children got on the bus than those that got off?

Answer: There were initially 28 children on the bus. After <fact1>82 children got on the bus</fact1>, and some got off, there were <fact2>30 children altogether on the bus</fact2>. This means that the total number of children on the bus after some got off is 30, and the total number of children on the bus before any got off is 28 (initial) + 82 (got on) = 110. Therefore, the number of children that got off is 110 - 30 = 80. The number of children that got on is 82, and the number of children that got off is 80. So, 82 - 80 = 2 more children got on the bus than those that got off. The answer is {2}."
5,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?,"Reformatted Question: There were <fact1>3 dollars</fact1> in Olivia's wallet. She collected <fact2>49 more dollars</fact2> from an atm. After she visited a supermarket there were <fact3>49 dollars</fact3> left. How much more money did she collect at the atm than she spent at the supermarket?

Answer: Olivia initially had <fact1>3 dollars</fact1>, then collected <fact2>49 dollars</fact2> from the atm, making a total of <fact1>3</fact1>+<fact2>49</fact2>=52 dollars. After visiting the supermarket, she had <fact3>49 dollars</fact3> left, meaning she spent 52−<fact3>49</fact3>=3 dollars at the supermarket. Therefore, she collected <fact2>49</fact2>−3=46 dollars more at the atm than she spent at the supermarket. The answer is {46}."
6,"Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now, how many action figures did he have initially on the shelf?","Reformatted Question: Jerry had some action figures on a shelf in his room. Later he added <fact1>7 more action figures</fact1> to the shelf. If there are a total of <fact2>10 action figures</fact2> on his shelf now, how many action figures did he have initially on the shelf?

Answer: Jerry initially had some action figures, then added <fact1>7 more action figures</fact1>, and ended up with a total of <fact2>10 action figures</fact2>. To find out how many action figures he had initially, we subtract the number of action figures he added (<fact1>7</fact1>) from the total number of action figures he has now (<fact2>10</fact2>). Therefore, Jerry initially had <fact2>10</fact2> - <fact1>7</fact1> = 3 action figures on the shelf. The answer is {3}."
7,Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies. How many more cookies did he eat than those he gave to his friend?,"Reformatted Question: Paco had <fact1>41 cookies</fact1>. He gave <fact2>9 cookies</fact2> to his friend and ate <fact3>18 cookies</fact3>. How many more cookies did he eat than those he gave to his friend?

Answer: Paco gave <fact2>9 cookies</fact2> to his friend and ate <fact3>18 cookies</fact3>. To find out how many more cookies he ate than those he gave to his friend, we need to subtract the number of cookies given to his friend from the number of cookies eaten. Therefore, he ate <fact3>18</fact3> - <fact2>9</fact2> = 9 more cookies than those he gave to his friend. The answer is {9}."
8,Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?,"Reformatted Question: Mary is baking a cake. The recipe calls for <fact1>3 cups of sugar</fact1>, <fact2>10 cups of flour</fact2>, and <fact3>15 cups of salt</fact3>. She already put in <fact4>6 cups of flour</fact4>. How many more cups of flour does she need to add?

Answer: The recipe requires <fact2>10 cups of flour</fact2>, and Mary has already added <fact4>6 cups of flour</fact4>. Therefore, she needs to add <fact2>10</fact2>−<fact4>6</fact4>=4 more cups of flour."
9,A waiter had some customers. After 9 customers left he still had 12 customers. How many customers did he have at the start?,"Reformatted Question: A waiter had some customers. After <fact1>9 customers left</fact1> he still had <fact2>12 customers</fact2>. How many customers did he have at the start?

Answer: The waiter had <fact2>12 customers</fact2> remaining after <fact1>9 customers left</fact1>, so he must have started with <fact2>12</fact2>+<fact1>9</fact1>=21 customers. The answer is {21}."
