id,question,answer
1," Paige had 11 songs on her mp3 player. If she deleted 9 old songs from it and then added 8 new songs, how many songs does she have on her mp3 player? ","Fact_Diagram:
graph TD
    A[Paige's MP3 Player]
    A --> B[Initial Songs]
    A --> C[Songs Deleted]
    A --> D[Songs Added]
    B --> B1[11 songs]
    C --> C1[9 songs]
    D --> D1[8 songs]
Answer_Reasoning: Paige started with <B1>11</B1> songs on her mp3 player. After deleting <C1>9</C1> songs, she had 11 - 9 = 2 songs left.  Then, she added <D1>8</D1> new songs, giving her a total of 2 + 8 = 10 songs. 
Final_Answer: {10} 
"
2," There were 39 girls and 4 boys trying out for the schools basketball team. If only 26 of them got called back, how many students didn't make the cut? ","Fact_Diagram:
graph TD
    A[Basketball Tryouts]
    A --> B[Total Trying Out]
    A --> C[Total Making Team]
    A --> D[Total Not Making Team]
    B --> B1[39 girls]
    B --> B2[4 boys]
    C --> C1[26 students]

Answer_Reasoning: There were a total of <B1>39</B1> + <B2>4</B2> = 43 students trying out for the basketball team.  Since only <C1>26</C1> students made the team, then 43 - <C1>26</C1> = 17 students did not make the cut. 
Final_Answer: {17} 
"
3," Faye had 34 coloring books. If she gave away 3 of them, but then bought 48 more, how many would she have total? ","Fact_Diagram:
graph TD
    A[Faye's Coloring Books]
    A --> B[Starting Amount]
    A --> C[Giving Away]
    A --> D[Buying More]
    B --> B1[34 coloring books]
    C --> C1[Gave away 3]
    D --> D1[Bought 48]

Answer_Reasoning: Faye started with <B1>34</B1> coloring books. After giving some away, she had <B1>34</B1> - <C1>3</C1> = 31 coloring books. After buying more, she had 31 + <D1>48</D1> = 79 coloring books. 
Final_Answer: {79} 
"
4," The school cafeteria had 23 apples. If they used 20 to make lunch for the students and then bought 6 more, how many apples would they have? ","Fact_Diagram:
graph TD
    A[Cafeteria Apples]
    A --> B[Starting Apples]
    A --> C[Apples Used]
    A --> D[Apples Bought]
    B --> B1[23 apples]
    C --> C1[20 apples]
    D --> D1[6 apples]

Answer_Reasoning: The cafeteria had <B1>23</B1> apples and used <C1>20</C1> apples, leaving them with 23 - 20 = 3 apples. They then bought <D1>6</D1> more apples, giving them a total of 3 + 6 = 9 apples. 
Final_Answer: {9} 
"
5," In a video game, each enemy defeated gives you 9 points. If a level has 11 enemies total and you destroy all but 3 of them, how many points would you earn? ","Fact_Diagram:
graph TD
    A[Video Game]
    A --> B[Enemies]
    A --> C[Points]
    B --> B1[11 enemies in level]
    B --> B2[3 enemies not destroyed]
    C --> C1[9 points per enemy]
Answer_Reasoning: There are <B1>11</B1> - <B2>3</B2> = 8 enemies that were destroyed. You earn <C1>9</C1> * 8 = 72 points.  The answer is 72
Final_Answer: {72} 
"
7," April's discount flowers was having a sale where each rose was 4 dollars. If April started with 13 roses and had 4 roses left, how much money did she earn? ","Fact_Diagram:
graph TD
    A[April's Flower Sale]
    A --> B[Roses]
    B --> B1[Started with 13 roses]
    B --> B2[Sold each rose for $4]
    B --> B3[Had 4 roses left] 

Answer_Reasoning: April sold <B1>13</B1> - <B3>4</B3> = 9 roses. She earned a total of 9 x <B2>$4</B2> = $36. The answer is $36. 
Final_Answer: {36} 
"
8," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ","```mermaid
graph TD
    A[Laundry Chore]
    A --> B[Total Shirts]
    B --> C{9 short sleeve shirts}
    B --> D{21 long sleeve shirts}
    A --> E[Shirts Washed]
    E --> F{29 shirts washed} 
```

Answer Reasoning: Ned had to wash a total of <C>9</C> + <D>21</D> = 30 shirts. Since he only washed <F>29 shirts</F>, he did not wash 30 - 29 = 1 shirt. 
Final_Answer: {1} 
"
9," A company invited 47 people to a luncheon, but 7 of them didn't show up. If the tables they had held 5 people each, how many tables do they need? ","Fact_Diagram:
graph TD
    A[Luncheon Seating]
    A --> B{Invited}
    A --> C{Attendees}
    A --> D[Table Capacity]
    B --> E[47 People]
    C --> F[Invited - Absent]
    F --> G[7 People]
    D --> H[5 People]
Answer_Reasoning: There were <B><E>47</E></B> - <F><G>7</G></F> = 40 people who attended the luncheon.  Therefore, they need 40/<H>5</H> = 8 tables.
Final_Answer: {8} 
"
10," Tom had 5 books. If he sold 4 of them and used the money he earned to buy 38 new books, how many books would Tom have? ","Fact_Diagram:
graph TD
    A[Tom's Books]
    A --> B{Started with 5 books}
    A --> C[Selling]
    A --> D[Buying]
    C --> C1{Sold 4 books}
    D --> D1{Bought 38 new books}
Answer_Reasoning: Tom had <B>5</B> books and sold <C1>4</C1> leaving him with 1 book.  After buying <D1>38</D1> more books he had 39 books.
Final_Answer: {39} 
"
11," For a birthday party Jerry bought 41 regular sodas and 22 diet sodas. If his fridge would only hold 9 on each shelf, how many shelves would he fill up? ","Fact_Diagram:
graph TD
    A[Soda for Party]
    A --> B[Regular Sodas]
    A --> C[Diet Sodas]
    B --> B1[41 sodas]
    C --> C1[22 sodas]
    D[Refrigerator Storage]
    D --> D1[9 sodas per shelf]
Answer_Reasoning: Jerry bought <B1>41</B1> + <C1>22</C1> = 63 sodas in total.  Therefore, he will fill 63 / <D1>9</D1> = 7 shelves. 
Final_Answer: {7} 
"
