id,question,answer
0,Seven red apples and two green apples are in the basket. How many apples are in the basket?,"Explanation: There are 7 red apples and 2 green apples.  The total number of apples is the sum of red and green apples. So, 7 + 2 = 9 apples.

Answer: {9}
"
1,Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?,"Ellen has six more balls than Marin, and Marin has nine balls. So, Ellen has 9 + 6 = 15 balls.

Answer: {15}
"
2,Janet has nine oranges and Sharon has seven oranges. How many oranges do Janet and Sharon have together?,"Janet has 9 oranges and Sharon has 7 oranges. Together, they have 9 + 7 = 16 oranges.

Answer: {16}
"
3,Allan brought two balloons and Jake brought four balloons to the park. How many balloons did Allan and Jake have in the park?,"Answer: Allan brought 2 balloons and Jake brought 4 balloons. Together they have 2 + 4 = 6 balloons.
Answer: {6}
"
4,Adam has five more apples than Jackie. Jackie has nine apples. How many apples does Adam have?,"Adam has five more apples than Jackie, and Jackie has nine apples. So, Adam has 9 + 5 = 14 apples.

Answer: {14}
"
5,Brian has four more plums than Paul. Paul has seven plums. How many plums does Brian have?,"Brian has four more plums than Paul, and Paul has seven plums. So, Brian has 7 + 4 = 11 plums.

Answer: {11}
"
6,Sandra took six cups of coffee and Marcie took two cups of coffee. How many cups of coffee did Sandra and Marcie take in total?,"Answer: Sandra took six cups of coffee and Marcie took two cups of coffee. Together they took 6 + 2 = 8 cups of coffee.
Answer: {8}
"
7,17 plums were in the basket. More plums were added to the basket. Now there are 21 plums. How many plums were added to the basket?,"Explanation:
There were initially 17 plums. Now there are 21 plums. To find out how many plums were added, we subtract the initial number of plums from the current number of plums: 21 - 17 = 4 plums.

Answer: {4}
"
8,14 red plums and four green plums are in the basket. How many plums are in the basket?,"Explanation: To find the total number of plums, add the number of red plums and the number of green plums.  14 red plums + 4 green plums = 18 plums.

Answer: {18}
"
9,Marin has nine apples and Donald has two apples. How many apples do Marin and Donald have together?,"Marin has 9 apples and Donald has 2 apples. Together they have 9 + 2 = 11 apples.
Answer: {11}
"
10,46 apples were in the basket. 22 are red and the rest are green. How many apples are green?,"Explanation:
The total number of apples is 46.  There are 22 red apples.  The remaining apples are green.  Therefore, the number of green apples is the total number of apples minus the number of red apples.  This is 46 - 22 = 24 green apples.

Answer: {24}
"
11,Five red peaches and 14 green peaches are in the basket. How many peaches are in the basket?,"Explanation: To find the total number of peaches, add the number of red peaches and the number of green peaches.
5 red peaches + 14 green peaches = 19 peaches
Answer: {19}
"
12,20 peaches are in the basket. 25 more peaches are put in the basket. How many peaches are in the basket now?,"Initially, there are 20 peaches in the basket. Then, 25 more peaches are added to the basket. So, the total number of peaches in the basket is the sum of the initial number of peaches and the number of peaches added.
20 + 25 = 45 peaches.

Answer: {45}
"
13,Two marbles are in the basket. Two marbles are taken out of the basket. How many marbles are in the basket now?,"Answer: The question states there were initially two marbles in the basket. Then two marbles were taken out. Therefore, there are 2 - 2 = 0 marbles left in the basket.

Answer: {0}
"
14,Eight balls were in the basket. Some of the balls were removed from the basket. Now there are six balls. How many balls were removed from the basket?,"There were 8 balls initially. Now there are 6 balls.  The difference between the initial and final number of balls is the number of balls removed. 8 - 6 = 2 balls.
Answer: {2}
"
15,Some oranges were in the basket. Five oranges were taken from the basket. Now there are three oranges. How many oranges were in the basket before some of the oranges were taken?,"There were 3 oranges left after 5 were taken. This means there were originally 3 + 5 = 8 oranges.
Answer: {8}
"
16,Jake has six fewer peaches than Steven. Steven has 13 peaches. How many peaches does Jake have?,"Jake has six fewer peaches than Steven, and Steven has 13 peaches.  So, Jake has 13 - 6 = 7 peaches.
Answer: {7}
"
17,David has zero fewer apples than Marin. Marin has three apples. How many apples does David have?,"David has zero fewer apples than Marin, which means he has the same number of apples as Marin. Marin has three apples. Therefore, David also has three apples.

Answer: {3}
"
18,Jake has 34 fewer balls than Audrey. Audrey has 41 balls. How many balls does Jake have?,"Jake has 34 fewer balls than Audrey, and Audrey has 41 balls.  So, Jake has 41 - 34 = 7 balls.
Answer: {7}
"
19,Brian has zero fewer oranges than Marcie. Marcie has 12 oranges. How many oranges does Brian have?,"Brian has zero fewer oranges than Marcie, which means he has the same number of oranges as Marcie. Marcie has 12 oranges. Therefore, Brian also has 12 oranges.

Answer: {12}
"
20,2 birds were sitting on the fence. 4 more birds came to join them. How many birds are sitting on the fence?,"There were initially 2 birds. 4 more birds came. So there are 2 + 4 = 6 birds.
Answer: {6}
"
