id,question,answer
0,"Yesterday was April 30, 2021. What is the date today in MM/DD/YYYY?","Answer: Yesterday was 04/30/2021. Today is one day after yesterday, which is 05/01/2021.
The answer is {05/01/2021}.
"
1,"Yesterday was April 30, 2021. What is the date yesterday in MM/DD/YYYY?","Answer: The question states that yesterday was April 30, 2021.  Therefore, yesterday's date is April 30, 2021.

{04/30/2021}
"
2,"Yesterday was April 30, 2021. What is the date 10 days ago in MM/DD/YYYY?","Yesterday was 04/30/2021. Today is one day after yesterday, so today is 05/01/2021. 10 days before today is 04/21/2021.

Answer: {04/21/2021}
"
3,"Yesterday was April 30, 2021. What is the date a month ago in MM/DD/YYYY?","Yesterday was 04/30/2021.  A month ago would be roughly 30 days before 04/30/2021. This would land us in March. Since April has 30 days, a month before April 30 would be March 30.  Therefore, the date a month ago was 03/30/2021.

Answer: {03/30/2021}
"
4,"Yesterday was April 30, 2021. What is the date one year ago from today in MM/DD/YYYY?","Yesterday was 04/30/2021. That means today is 05/01/2021. One year ago from today would be 05/01/2020.

Answer: {05/01/2020}
"
5,"Yesterday was April 30, 2021. What is the date one week ago from today in MM/DD/YYYY?","Yesterday was 04/30/2021. So today is 05/01/2021. One week ago from today means 7 days before today. 7 days before 05/01/2021 is 04/24/2021.

Answer: {04/24/2021}
"
6,"Yesterday was April 30, 2021. What is the date one week from today in MM/DD/YYYY?","Yesterday was 04/30/2021. That means today is 05/01/2021. One week from today means 7 days after today. So, 7 days after 05/01/2021 is 05/08/2021.

Answer: {05/08/2021}
"
7,"Yesterday was April 30, 2021. What is the date 24 hours later in MM/DD/YYYY?","Answer: Yesterday was 04/30/2021. 24 hours later is one day later, meaning today, 05/01/2021.

Answer: {05/01/2021}
"
8,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date today in MM/DD/YYYY?","The deadline is June 1, 2021, which is 2 days away from now. So, today is 2 days before June 1, 2021.  That means today is May 30, 2021.

Answer: {05/30/2021}
"
9,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date tomorrow in MM/DD/YYYY?","The deadline is June 1, 2021. It is 2 days away from now. So today is 2 days before June 1, 2021. That means today is May 30, 2021. Tomorrow is one day after today, which is May 31, 2021.

Answer: {05/31/2021}
"
10,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date yesterday in MM/DD/YYYY?","The deadline is June 1, 2021. It is 2 days away from now. So today is 2 days before June 1, 2021, which is May 30, 2021. Yesterday was one day before today, which is May 29, 2021.

Answer: {05/29/2021}
"
11,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date 10 days ago in MM/DD/YYYY?","The deadline is June 1, 2021.  10 days before June 1, 2021 is May 22, 2021.

Answer: {05/22/2021}
"
12,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date a month ago in MM/DD/YYYY?","The deadline is June 1, 2021. A month ago means we subtract one month. One month before June is May. So the date a month ago was May 1, 2021.

Answer: {05/01/2021}
"
13,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date one year ago from today in MM/DD/YYYY?","Today is two days before June 1, 2021, so today is May 30, 2021. One year ago from today is May 30, 2020.

Answer: {05/30/2020}
"
14,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date one week ago from today in MM/DD/YYYY?","The deadline is June 1, 2021, which is 2 days away from now. This means today is two days before June 1, 2021.
So, today is May 30, 2021 (May has 31 days).
One week ago from today is 7 days before May 30, 2021.
One week ago is May 23, 2021.

Answer: {05/23/2021}
"
15,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date one week from today in MM/DD/YYYY?","The deadline is June 1, 2021, and it is 2 days away. This means today is May 30, 2021. One week from today would be June 6, 2021.

Answer: {06/06/2021}
"
16,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date 24 hours later in MM/DD/YYYY?","The deadline is June 1, 2021. 24 hours later is one day after the deadline, so the date will be June 2, 2021.

Answer: {06/02/2021}
"
17,Tomorrow is 11/12/2019. What is the date today in MM/DD/YYYY?,"Tomorrow is 11/12/2019. So today is one day before 11/12/2019, which is 11/11/2019.

Answer: {11/11/2019}
"
18,Tomorrow is 11/12/2019. What is the date tomorrow in MM/DD/YYYY?,"Answer: Tomorrow is 11/12/2019. So the date tomorrow is 11/12/2019.
The answer is {11/12/2019}.
"
19,Tomorrow is 11/12/2019. What is the date yesterday in MM/DD/YYYY?,"Tomorrow is 11/12/2019, so today is 11/11/2019. Yesterday was one day before today, so yesterday was 11/10/2019.

Answer: {11/10/2019}
"
20,Tomorrow is 11/12/2019. What is the date 10 days ago in MM/DD/YYYY?,"Tomorrow is 11/12/2019. So today is 11/11/2019. 10 days ago is 11/01/2019.

Answer: {11/01/2019}
"
21,Tomorrow is 11/12/2019. What is the date a month ago in MM/DD/YYYY?,"Tomorrow is 11/12/2019. So today is 11/11/2019.  A month ago would be 10/11/2019.

Answer: {10/11/2019}
"
22,Tomorrow is 11/12/2019. What is the date one year ago from today in MM/DD/YYYY?,"Tomorrow is 11/12/2019. So today is 11/11/2019. One year ago from today is 11/11/2018.

Answer: {11/11/2018}
"
23,Tomorrow is 11/12/2019. What is the date one week ago from today in MM/DD/YYYY?,"Tomorrow is 11/12/2019. So today is 11/11/2019. One week ago from today means 7 days before today. So one week ago from today is 11/04/2019.

Answer: {11/04/2019}
"
24,Tomorrow is 11/12/2019. What is the date one week from today in MM/DD/YYYY?,"Tomorrow is 11/12/2019.  So today is 11/11/2019. One week from today means 7 days after today. 7 days after 11/11/2019 is 11/18/2019.

Answer: {11/18/2019}
"
25,Tomorrow is 11/12/2019. What is the date 24 hours later in MM/DD/YYYY?,"Tomorrow is 11/12/2019. 24 hours later is simply one day after tomorrow. So, the date will be 11/13/2019.

Answer: {11/13/2019}
"
26,"Today, 8/3/1997, is a day that we will never forget. What is the date today in MM/DD/YYYY?","Today's date is explicitly stated in the question: Today, 8/3/1997, is a day that we will never forget.

Answer: {08/03/1997}
"
27,"Today, 8/3/1997, is a day that we will never forget. What is the date tomorrow in MM/DD/YYYY?","Today is 08/03/1997.
Tomorrow is one day later, which is 08/04/1997.

Answer: {08/04/1997}
"
28,"Today, 8/3/1997, is a day that we will never forget. What is the date yesterday in MM/DD/YYYY?","Today is 08/03/1997. Yesterday is one day before today, so yesterday was 08/02/1997.

Answer: {08/02/1997}
"
29,"Today, 8/3/1997, is a day that we will never forget. What is the date 10 days ago in MM/DD/YYYY?","Today is 08/03/1997.
10 days ago is 07/24/1997.

Answer: {07/24/1997}
"
30,"Today, 8/3/1997, is a day that we will never forget. What is the date a month ago in MM/DD/YYYY?","Today is 08/03/1997.
A month ago is 07/03/1997.

Answer: {07/03/1997}
"
31,"Today, 8/3/1997, is a day that we will never forget. What is the date one year ago from today in MM/DD/YYYY?","Today is 08/03/1997.
One year ago from today is 08/03/1996.
Answer: {08/03/1996}
"
32,"Today, 8/3/1997, is a day that we will never forget. What is the date one week ago from today in MM/DD/YYYY?","Today is 08/03/1997. One week ago is 7 days before today, so one week ago is 07/27/1997.

Answer: {07/27/1997}
"
33,"Today, 8/3/1997, is a day that we will never forget. What is the date one week from today in MM/DD/YYYY?","Today is 08/03/1997. One week from today is 7 days later, so it will be 08/10/1997.

Answer: {08/10/1997}
"
