id,question,answer
0,"For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left?","Reformatted Question: For Halloween Debby and her sister combined the candy they received. Debby had <fact1>32 pieces of candy</fact1> while her sister had <fact2>42</fact2>. If they ate <fact3>35 pieces the first night</fact3>, how many pieces do they have left?

Answer: Debby had <fact1>32 pieces</fact1> and her sister had <fact2>42 pieces</fact2>, totaling <fact1>32</fact1> + <fact2>42</fact2> = 74 pieces.  After eating <fact3>35 pieces</fact3>, they have 74 - <fact3>35</fact3> = 39 pieces left. The answer is {39}.
"
1,A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left?,"Reformatted Question: A pet store had <fact1>13 siamese cats</fact1> and <fact2>5 house cats</fact2>. During a sale they sold <fact3>10 cats</fact3>. How many cats do they have left?
Answer: The pet store had <fact1>13 siamese cats</fact1> and <fact2>5 house cats</fact2>, for a total of <fact1>13</fact1> + <fact2>5</fact2> = 18 cats.  Since they sold <fact3>10 cats</fact3>, they have 18 - <fact3>10</fact3> = 8 cats left. The answer is {8}.
"
2,"Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with?","Reformatted Question: Luke was trying to expand his game collection. He bought <fact1>2 games from a friend</fact1> and bought <fact2>2 more at a garage sale</fact2>. If <fact3>2 of the games didn't work</fact3>, how many good games did he end up with?

Answer: Luke bought <fact1>2 games from his friend</fact1> and <fact2>2 more at a garage sale</fact2>, giving him <fact1>2</fact1>+<fact2>2</fact2> = 4 games. Since <fact3>2 of the games didn't work</fact3>, he had 4 - <fact3>2</fact3> = 2 good games. The answer is {2}.
"
3,"The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with?","Reformatted Question: The school cafeteria ordered <fact1>42 red apples</fact1> and <fact2>7 green apples</fact2> for students lunches. But, if only <fact3>9 students</fact3> wanted fruit, how many extra did the cafeteria end up with?

Answer: The cafeteria ordered <fact1>42 red apples</fact1> and <fact2>7 green apples</fact2>, for a total of 42 + 7 = 49 apples. Since only <fact3>9 students</fact3> wanted fruit, the cafeteria had 49 - 9 = 40 extra apples. The answer is {40}.
"
4,"Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick?","Reformatted Question: Lana picked <fact1>36 tulips</fact1> and <fact2>37 roses</fact2> to make flower bouquets. If she only used <fact3>70 of the flowers</fact3> though, how many extra flowers did Lana pick?
Answer: Lana picked <fact1>36 tulips</fact1> and <fact2>37 roses</fact2>, for a total of <fact1>36</fact1> + <fact2>37</fact2> = 73 flowers.  Since she only used <fact3>70 flowers</fact3>, she had 73 - <fact3>70</fact3> = 3 extra flowers. The answer is {3}.
"
5,"Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have?","Reformatted Question: Carol and her mom were picking carrots from their garden. Carol picked <fact1>29</fact1> and her mother picked <fact2>16</fact2>. If only <fact3>38</fact3> of the carrots were good, how many bad carrots did they have?

Answer: Carol picked <fact1>29 carrots</fact1> and her mom picked <fact2>16</fact2>, for a total of <fact1>29</fact1> + <fact2>16</fact2> = 45 carrots.  Since <fact3>38 of the carrots were good</fact3>, there were 45 - <fact3>38</fact3> = 7 bad carrots. The answer is {7}.
"
6,Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now?,"Reformatted Question: Roger had <fact1>16 dollars</fact1>. For his birthday he got <fact2>28 more dollars</fact2> but spent <fact3>25 on a new game</fact3>. How much money does he have now?
Answer: Roger began with <fact1>$16</fact1>.  He received <fact2>$28</fact2> more, giving him <fact1>16</fact1> + <fact2>28</fact2> = $44. He then spent <fact3>$25</fact3>, leaving him with 44 - <fact3>25</fact3> = $19. The answer is {19}.
"
7,"While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have?","Reformatted Question: While on vacation, Megan took <fact1>15 pictures at the zoo</fact1> and <fact2>18 at the museum</fact2>. If she later deleted <fact3>31 of the pictures</fact3>, how many pictures from her vacation did she still have?

Answer: Megan took <fact1>15 pictures at the zoo</fact1> and <fact2>18 at the museum</fact2>, for a total of <fact1>15</fact1> + <fact2>18</fact2> = 33 pictures.  Since she deleted <fact3>31 pictures</fact3>, she has 33 - <fact3>31</fact3> = 2 pictures left. The answer is {2}.
"
8,Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color?,"Reformatted Question: Rachel bought two coloring books. One had <fact1>23 pictures</fact1> and the other had <fact2>32</fact2>. After one week she had already colored <fact3>44 of the pictures</fact3>. How many pictures does she still have to color?
Answer:
Rachel's coloring books had a total of <fact1>23</fact1> + <fact2>32</fact2> = 55 pictures.  Since she colored <fact3>44</fact3> of them, she still has 55 - <fact3>44</fact3> = 11 pictures left to color. The answer is {11}.
"
9,"Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash?","Reformatted Question: Ned had to wash <fact1>9 short sleeve shirts</fact1> and <fact2>21 long sleeve shirts</fact2> before school. If he had only washed <fact3>29 of them</fact3> by the time school started, how many did he not wash?

Answer: Ned had to wash <fact1>9 short sleeve</fact1> and <fact2>21 long sleeve shirts</fact2>, totaling 9+<fact2>21</fact2>=30 shirts.  Since he only washed <fact3>29</fact3>, he didn't wash 30−<fact3>29</fact3>=1 shirt. The answer is {1}.
"
10,"Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash?","Reformatted Question: Oliver had to wash <fact1>39 short sleeve shirts</fact1> and <fact2>47 long sleeve shirts</fact2> before school. If he had only washed <fact3>20</fact3> of them by the time school started, how many did he not wash?

Answer: Oliver had to wash <fact1>39 short sleeve shirts</fact1> and <fact2>47 long sleeve shirts</fact2>, for a total of <fact1>39</fact1> + <fact2>47</fact2> = 86 shirts.  Since he only washed <fact3>20 shirts</fact3>, he didn't wash 86 - <fact3>20</fact3> = 66 shirts. The answer is {66}.
"
11,For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell?,"Reformatted Question: For the school bake sale Wendy made pastries. She baked <fact1>4 cupcakes</fact1> and <fact2>29 cookies</fact2>. After the sale she had <fact3>24</fact3> to take back home. How many pastries did she sell?
Answer: Wendy baked <fact1>4 cupcakes</fact1> and <fact2>29 cookies</fact2>, for a total of <fact1>4</fact1> + <fact2>29</fact2> = 33 pastries.  Since she took <fact3>24</fact3> home, she sold 33 - <fact3>24</fact3> = 9 pastries. The answer is {9}.
"
12,"While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have?","Reformatted Question: While on vacation, Debby took <fact1>24 pictures at the zoo</fact1> and <fact2>12 at the museum</fact2>. If she later deleted <fact3>14 of the pictures</fact3>, how many pictures from her vacation did she still have?

Answer: Debby took <fact1>24 pictures at the zoo</fact1> and <fact2>12 pictures at the museum</fact2>.  Together, that's 24 + 12 = 36 pictures.  Since she deleted <fact3>14 pictures</fact3>, she has 36 - 14 = 22 pictures left. The answer is {22}.
"
13,"Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick?","Reformatted Question: Katie picked <fact1>3 tulips</fact1> and <fact2>9 roses</fact2> to make flower bouquets. If she only used <fact3>10 of the flowers</fact3> though, how many extra flowers did Katie pick?

Answer: Katie picked <fact1>3 tulips</fact1> and <fact2>9 roses</fact2>, for a total of 3 + 9 = 12 flowers.  Since she only used <fact3>10 flowers</fact3>, she had 12 - 10 = 2 extra flowers. The answer is {2}.
"
14,"Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework?","Reformatted Question: Faye had <fact1>46 math problems</fact1> and <fact2>9 science problems</fact2> for homework. If she finished <fact3>40 of the problems</fact3> at school, how many problems did she have to do for homework?

Answer: Faye had <fact1>46 math problems</fact1> and <fact2>9 science problems</fact2>, totaling 46 + 9 = 55 problems.  She finished <fact3>40</fact3> of those problems at school. Therefore, she had 55 - <fact3>40</fact3> = 15 problems left to do for homework. The answer is {15}.
"
15,"Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive?","Reformatted Question: Amy had <fact1>4 music files</fact1> and <fact2>21 video files</fact2> on her flash drive. If she deleted <fact3>23 of the files</fact3>, how many files were still on her flash drive?

Answer: Amy had <fact1>4 music files</fact1> and <fact2>21 video files</fact2>, so she had a total of <fact1>4</fact1> + <fact2>21</fact2> = 25 files.  Since she deleted <fact3>23 files</fact3>, she has 25 - <fact3>23</fact3> = 2 files left. The answer is {2}.
"
16,"Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with?","Reformatted Question: Ned was trying to expand his game collection. He bought <fact1>11 games from a friend</fact1> and bought <fact2>22 more at a garage sale</fact2>. If <fact3>19 of the games didn't work</fact3>, how many good games did he end up with?

Answer: Ned bought <fact1>11 games</fact1> and <fact2>22 games</fact2>, for a total of <fact1>11</fact1> + <fact2>22</fact2> = 33 games.  Since <fact3>19 didn't work</fact3>, he had 33 - <fact3>19</fact3> = 14 good games. The answer is {14}.
"
