id,question,answer
3459,"We have three blocks. Lets call them A, B and C. A medium black square is in block A. <important1>Block B is to the right of block A</important1>. <important2>It contains a small yellow circle</important2> and one big blue square. <important3>Below and to the right of the big blue square there is the small yellow circle</important3>. Finally, we have <important4>block C which is to the right of block B</important4>. <important5>It contains a small yellow square</important5>. <important6>The small yellow square is below and to the left of a big yellow square</important6>. <important7>The big yellow square is touching the right edge of this block</important7>. What is to the right of the circle? a small yellow square or a big yellow square which is touching the right edge of a block? 0: small yellow square 1: big yellow square which is touching the right edge of a block 2: both of them 3: none of them","We have three blocks. Lets call them A, B and C. A medium black square is in block A. <important1>Block B is to the right of block A</important1>. <important2>It contains a small yellow circle</important2> and one big blue square. <important3>Below and to the right of the big blue square there is the small yellow circle</important3>. Finally, we have <important4>block C which is to the right of block B</important4>. <important5>It contains a small yellow square</important5>. <important6>The small yellow square is below and to the left of a big yellow square</important6>. <important7>The big yellow square is touching the right edge of this block</important7>. What is to the right of the circle? a small yellow square or a big yellow square which is touching the right edge of a block? 0: small yellow square 1: big yellow square which is touching the right edge of a block 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine what is to the right of the small yellow circle, let's analyze the information step by step:

1. We have three blocks: A, B, and C. 
2. <important1>Block B is to the right of block A</important1>. 
3. <important2>Block B contains a small yellow circle</important2> and one big blue square. 
4. <important3>The small yellow circle is below and to the right of the big blue square</important3>.

Now, let's consider block C:
5. <important4>Block C is to the right of block B</important4>.
6. <important5>Block C contains a small yellow square</important5>.
7. <important6>The small yellow square is below and to the left of a big yellow square</important6>.
8. <important7>The big yellow square is touching the right edge of this block</important7>.

Since block C is to the right of block B, and the small yellow circle is in block B, we need to determine what is to the right of the circle in block B. 

- In block C, the big yellow square is touching the right edge of the block, and the small yellow square is below and to the left of the big yellow square. Therefore, the big yellow square is positioned further to the right than the small yellow square.

Given this arrangement, the big yellow square, which is touching the right edge of block C, is to the right of the small yellow circle in block B.

Thus, the answer is {1}."
1578,"There are two blocks, A and B. Block A is to the left of B. Block A contains three medium yellow squares. <important1>Below medium yellow square number three is medium yellow square number two</important1>. <important2>Below medium yellow square number three is medium yellow square number one</important2>. This shape is below the medium yellow square number two. Block B has two medium yellow squares. <important3>Below medium yellow square number two and medium yellow square number one there is a medium black square</important3>. <important4>Medium yellow square number one is below medium yellow square number two</important4>. Which object is below a medium yellow square? the shape that is touching the bottom edge of a block or medium yellow square number one?
0: the shape that is touching the bottom edge of a block 
1: medium yellow square number one
2: both of them
3: none of them","There are two blocks, A and B. Block A is to the left of B. Block A contains three medium yellow squares. <important1>Below medium yellow square number three is medium yellow square number two</important1>. <important2>Below medium yellow square number three is medium yellow square number one</important2>. This shape is below the medium yellow square number two. Block B has two medium yellow squares. <important3>Below medium yellow square number two and medium yellow square number one there is a medium black square</important3>. <important4>Medium yellow square number one is below medium yellow square number two</important4>. Which object is below a medium yellow square? the shape that is touching the bottom edge of a block or medium yellow square number one?
0: the shape that is touching the bottom edge of a block 
1: medium yellow square number one
2: both of them
3: none of them
--------------- Extracted Question ---------------

To determine which object is below a medium yellow square, let's analyze the information provided:

1. In Block A:
   - <important1>Below medium yellow square number three is medium yellow square number two</important1>.
   - <important2>Below medium yellow square number three is medium yellow square number one</important2>.
   - This shape is below the medium yellow square number two.

   From this, we understand that in Block A, medium yellow square number three is at the top, with medium yellow square number two directly below it, and medium yellow square number one is below medium yellow square number three. Additionally, there is a shape below medium yellow square number two.

2. In Block B:
   - <important3>Below medium yellow square number two and medium yellow square number one there is a medium black square</important3>.
   - <important4>Medium yellow square number one is below medium yellow square number two</important4>.

   This indicates that in Block B, medium yellow square number two is at the top, with medium yellow square number one directly below it, and a medium black square is below both medium yellow squares.

Now, let's determine which object is below a medium yellow square:

- In Block A, the shape that is below medium yellow square number two is indeed below a medium yellow square.
- In Block B, the medium black square is below both medium yellow square number two and medium yellow square number one.

Therefore, both the shape that is touching the bottom edge of a block (in Block A) and medium yellow square number one (in Block B) are below a medium yellow square.

The correct answer is {2}."
3105,"There are three blocks. We call them A, B and C. Block A contains one medium yellow square and a medium black square. <important1>Below the medium black square there is the medium yellow square</important1>. Block B is above block A. It has two medium yellow squares. <important2>Medium yellow square number one is below medium yellow square number two</important2>. Finally, there is block C to the left of block B. It has a medium blue square. Which object is below a medium yellow square? the medium black square or the blue shape? 0: the medium black square 1: the blue shape 2: both of them 3: none of them","There are three blocks. We call them A, B and C. Block A contains one medium yellow square and a medium black square. <important1>Below the medium black square there is the medium yellow square</important1>. Block B is above block A. It has two medium yellow squares. <important2>Medium yellow square number one is below medium yellow square number two</important2>. Finally, there is block C to the left of block B. It has a medium blue square. Which object is below a medium yellow square? the medium black square or the blue shape? 0: the medium black square 1: the blue shape 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine which object is below a medium yellow square, let's analyze the information provided:

1. In Block A, there is a medium black square and a medium yellow square. According to <important1>Below the medium black square there is the medium yellow square</important1>, the medium yellow square is below the medium black square. Therefore, the medium black square is not below a medium yellow square.

2. In Block B, there are two medium yellow squares. According to <important2>Medium yellow square number one is below medium yellow square number two</important2>, the first medium yellow square is below the second medium yellow square. Therefore, the first medium yellow square is below another medium yellow square.

3. Block C contains a medium blue square. There is no information indicating that the blue square is below a medium yellow square.

Based on this analysis, the object that is below a medium yellow square is the first medium yellow square in Block B. Therefore, the answer is {3: none of them}, as neither the medium black square nor the blue shape is below a medium yellow square."
1723,"We have three blocks, A, B and C. There is a medium yellow square in block A. To the left of block A there is block B which contains a small blue square and one big black triangle. The small blue square is far from, below and to the left of the big black triangle. Finally, we have block C. It is below block A. It has one medium black triangle, a small black triangle and a <important1>medium black circle</important1>. This block also has a small blue circle. Below the medium black triangle there is a big black square. The medium black triangle is to the right of the small black triangle. <important2>To the right of and near to the medium black circle there is the small black triangle</important2>. To the right of the black shape which is to the right of the medium black circle there is the big black square. What is to the right of the medium black circle? a medium black triangle or a medium yellow square? 0: medium black triangle 1: medium yellow square 2: both of them 3: none of them","We have three blocks, A, B and C. There is a medium yellow square in block A. To the left of block A there is block B which contains a small blue square and one big black triangle. The small blue square is far from, below and to the left of the big black triangle. Finally, we have block C. It is below block A. It has one medium black triangle, a small black triangle and a <important1>medium black circle</important1>. This block also has a small blue circle. Below the medium black triangle there is a big black square. The medium black triangle is to the right of the small black triangle. <important2>To the right of and near to the medium black circle there is the small black triangle</important2>. To the right of the black shape which is to the right of the medium black circle there is the big black square. What is to the right of the medium black circle? a medium black triangle or a medium yellow square? 0: medium black triangle 1: medium yellow square 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine what is to the right of the medium black circle, let's analyze the information provided:

1. In block C, there is a <important1>medium black circle</important1>.
2. <important2>To the right of and near to the medium black circle there is the small black triangle</important2>.

From this, we know that immediately to the right of the medium black circle is the small black triangle.

3. The medium black triangle is to the right of the small black triangle.

This means that the medium black triangle is further to the right of the small black triangle, which is already to the right of the medium black circle.

Therefore, the medium black triangle is ultimately to the right of the medium black circle, but not immediately adjacent to it.

The medium yellow square is in block A, which is above block C, and not directly to the right of the medium black circle.

Thus, the answer to what is to the right of the medium black circle is the medium black triangle, but not immediately adjacent to it.

The correct answer is {0}."
166,"We have three blocks. Lets call them A, B and C. One medium black square and a medium blue square are in block A. The medium black square is touching the bottom edge of this block. This object is below the medium blue square. To the right of block A we have block B which has two medium yellow squares. <important1>Medium yellow square number one is touching the bottom edge of this block. It is below medium yellow square number two</important1>. Above block A there is block C. It has two medium blue squares. Below medium blue square number two and a medium yellow square there is medium blue square number one. <important2>Below the medium yellow square there is medium blue square number two</important2>. Which object is above a medium square? medium yellow square number two or the medium yellow square that is in block C?
0: medium yellow square  number two
1: the medium yellow square  that is in block C
2: both of them
3: none of them","We have three blocks. Lets call them A, B and C. One medium black square and a medium blue square are in block A. The medium black square is touching the bottom edge of this block. This object is below the medium blue square. To the right of block A we have block B which has two medium yellow squares. <important1>Medium yellow square number one is touching the bottom edge of this block. It is below medium yellow square number two</important1>. Above block A there is block C. It has two medium blue squares. Below medium blue square number two and a medium yellow square there is medium blue square number one. <important2>Below the medium yellow square there is medium blue square number two</important2>. Which object is above a medium square? medium yellow square number two or the medium yellow square that is in block C?
0: medium yellow square  number two
1: the medium yellow square  that is in block C
2: both of them
3: none of them
--------------- Extracted Question ---------------

To determine which object is above a medium square, let's analyze the given information step by step:

1. **Block B Analysis:**
   - According to <important1>Medium yellow square number one is touching the bottom edge of this block. It is below medium yellow square number two</important1>, we know that medium yellow square number two is above medium yellow square number one in block B.

2. **Block C Analysis:**
   - In block C, we have two medium blue squares and a medium yellow square. According to <important2>Below the medium yellow square there is medium blue square number two</important2>, the medium yellow square in block C is above medium blue square number two.

Now, let's determine which object is above a medium square:

- **Medium yellow square number two** in block B is above medium yellow square number one, but not above a medium square.
- **The medium yellow square in block C** is above medium blue square number two, which is a medium square.

Therefore, the medium yellow square in block C is above a medium square, while medium yellow square number two is not. Thus, the correct answer is {1}."
1061,"There are three blocks, A, B and C. <important1>Block A is to the right of C</important1>. <important2>Block C is to the right of B</important2>. Block A has two medium yellow squares. There is also a medium black square in this block. Below medium yellow square number two and the medium black square there is medium yellow square number one. <important5>Below the medium black square there is medium yellow square number two</important5>. <important3>Block B has one medium blue square</important3>. And <important4>block C has a medium blue square</important4>. Which object is to the right of a medium blue square? medium yellow square number one or medium yellow square number two?
0: medium yellow square number one
1: medium yellow square number two
2: both of them
3: none of them","There are three blocks, A, B and C. <important1>Block A is to the right of C</important1>. <important2>Block C is to the right of B</important2>. Block A has two medium yellow squares. There is also a medium black square in this block. Below medium yellow square number two and the medium black square there is medium yellow square number one. <important5>Below the medium black square there is medium yellow square number two</important5>. <important3>Block B has one medium blue square</important3>. And <important4>block C has a medium blue square</important4>. Which object is to the right of a medium blue square? medium yellow square number one or medium yellow square number two?
0: medium yellow square number one
1: medium yellow square number two
2: both of them
3: none of them
--------------- Extracted Question ---------------

To determine which object is to the right of a medium blue square, we need to analyze the positions of the blocks and the squares within them.

1. **Block Arrangement**:
   - According to <important1>Block A is to the right of C</important1> and <important2>Block C is to the right of B</important2>, the order of the blocks from left to right is B, C, A.

2. **Squares in Each Block**:
   - <important3>Block B has one medium blue square</important3>.
   - <important4>Block C has a medium blue square</important4>.
   - Block A has two medium yellow squares and a medium black square. According to <important5>Below the medium black square there is medium yellow square number two</important5>, the arrangement in Block A is:
     - Top row: Medium yellow square number two, Medium black square
     - Bottom row: Medium yellow square number one

3. **Determining the Object to the Right of a Medium Blue Square**:
   - Since Block A is to the right of Block C, and Block C is to the right of Block B, the only block that can have objects to the right of a medium blue square is Block C.
   - Block A, which is to the right of Block C, contains the medium yellow squares.
   - Therefore, the medium yellow squares in Block A are to the right of the medium blue square in Block C.

4. **Conclusion**:
   - The medium yellow square number two is in the top row of Block A, which is directly to the right of Block C's medium blue square.
   - Therefore, the object to the right of a medium blue square is medium yellow square number two.

The answer is {1}."
2095,"There are three blocks. Lets call them A, B and C. Block A contains two medium blue squares. <important1>Medium blue square number one is below medium blue square number two and a medium black square</important1>. This shape is touching the bottom edge of this block. The medium black square is below medium blue square number two. Above block A there is block B which has three medium yellow squares. <important3>Medium yellow square number one is touching the bottom edge of this block</important3>. <important2>Medium yellow square number two is below medium yellow square number three</important2>. Medium yellow square number one is below medium yellow square number three and medium yellow square number two. To the right of block B there is block C. It has two medium blue squares. Below medium blue square number two there is medium blue square number one. Which object is above a medium blue square? medium yellow square number two or the medium yellow square that is touching the bottom edge of a block?
0: medium yellow square  number two
1: the medium yellow square  that is touching the bottom edge of a block 
2: both of them
3: none of them","There are three blocks. Lets call them A, B and C. Block A contains two medium blue squares. <important1>Medium blue square number one is below medium blue square number two and a medium black square</important1>. This shape is touching the bottom edge of this block. The medium black square is below medium blue square number two. Above block A there is block B which has three medium yellow squares. <important3>Medium yellow square number one is touching the bottom edge of this block</important3>. <important2>Medium yellow square number two is below medium yellow square number three</important2>. Medium yellow square number one is below medium yellow square number three and medium yellow square number two. To the right of block B there is block C. It has two medium blue squares. Below medium blue square number two there is medium blue square number one. Which object is above a medium blue square? medium yellow square number two or the medium yellow square that is touching the bottom edge of a block?
0: medium yellow square  number two
1: the medium yellow square  that is touching the bottom edge of a block 
2: both of them
3: none of them
--------------- Extracted Question ---------------

To determine which object is above a medium blue square, let's analyze the given information step by step:

1. **Block A**: 
   - Contains two medium blue squares and a medium black square.
   - <important1>Medium blue square number one is below medium blue square number two and a medium black square</important1>. This means that medium blue square number two is above medium blue square number one and the medium black square.

2. **Block B**: 
   - Contains three medium yellow squares.
   - <important3>Medium yellow square number one is touching the bottom edge of this block</important3>. This means it is at the lowest position in Block B.
   - <important2>Medium yellow square number two is below medium yellow square number three</important2>. This means medium yellow square number three is at the top, medium yellow square number two is in the middle, and medium yellow square number one is at the bottom.

3. **Block C**: 
   - Contains two medium blue squares.
   - Below medium blue square number two, there is medium blue square number one. This means medium blue square number two is above medium blue square number one.

Now, let's determine which medium yellow square is above a medium blue square:

- **Medium yellow square number two**: It is in the middle position in Block B, above medium yellow square number one and below medium yellow square number three. Since Block B is above Block A, medium yellow square number two is above the medium blue squares in Block A.

- **Medium yellow square number one**: It is touching the bottom edge of Block B, which means it is the lowest in Block B. However, since Block B is above Block A, medium yellow square number one is still above the medium blue squares in Block A.

Therefore, both medium yellow square number two and the medium yellow square that is touching the bottom edge of a block (medium yellow square number one) are above the medium blue squares in Block A.

The correct answer is {2}."
1991,"There are three blocks. Lets call them A, B and C. Block A is to the left of B. <important1>Block B has one medium blue square and one medium yellow square</important1>. <important2>This block also contains one medium black square</important2>. <important3>It is below the medium yellow square</important3>. <important4>The medium blue square is touching the bottom edge of this block</important4>. <important5>It is below the medium yellow square and the medium black square</important5>. And block C contains a medium yellow square. Which object is below a medium yellow square? the medium blue square that is touching the bottom edge of a block or the medium black square? 0: the medium blue square that is touching the bottom edge of a block 1: the medium black square 2: both of them 3: none of them","There are three blocks. Lets call them A, B and C. Block A is to the left of B. <important1>Block B has one medium blue square and one medium yellow square</important1>. <important2>This block also contains one medium black square</important2>. <important3>It is below the medium yellow square</important3>. <important4>The medium blue square is touching the bottom edge of this block</important4>. <important5>It is below the medium yellow square and the medium black square</important5>. And block C contains a medium yellow square. Which object is below a medium yellow square? the medium blue square that is touching the bottom edge of a block or the medium black square? 0: the medium blue square that is touching the bottom edge of a block 1: the medium black square 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine which object is below a medium yellow square, let's analyze the information provided:

1. <important1>Block B has one medium blue square and one medium yellow square</important1>. This indicates that Block B contains both a medium blue square and a medium yellow square.

2. <important2>This block also contains one medium black square</important2>. This confirms that Block B also has a medium black square.

3. <important3>It is below the medium yellow square</important3>. This statement tells us that the medium black square is positioned below the medium yellow square in Block B.

4. <important4>The medium blue square is touching the bottom edge of this block</important4>. This means the medium blue square is at the very bottom of Block B.

5. <important5>It is below the medium yellow square and the medium black square</important5>. This indicates that the medium blue square is below both the medium yellow square and the medium black square.

From these points, we can conclude that both the medium black square and the medium blue square are below the medium yellow square in Block B. Therefore, the answer is {2}."
1659,"We have three blocks. We call them A, B and C. Block C is to the left of A. Block A is above B. Block A has one medium yellow square. <important1>Block B has a medium blue square and a medium black square. There is also a medium yellow square in this block. It is below the medium black square.</important1> <important2>The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square.</important2> And <important3>block C has one medium yellow square.</important3> Which object is below a medium yellow square? the medium yellow square which is in block B or the medium yellow square which is in block C? 0: the medium yellow square which is in block B 1: the medium yellow square which is in block C 2: both of them 3: none of them","We have three blocks. We call them A, B and C. Block C is to the left of A. Block A is above B. Block A has one medium yellow square. <important1>Block B has a medium blue square and a medium black square. There is also a medium yellow square in this block. It is below the medium black square.</important1> <important2>The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square.</important2> And <important3>block C has one medium yellow square.</important3> Which object is below a medium yellow square? the medium yellow square which is in block B or the medium yellow square which is in block C? 0: the medium yellow square which is in block B 1: the medium yellow square which is in block C 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine which object is below a medium yellow square, we need to analyze the positions of the squares in each block based on the given information.

1. **Block B Analysis:**
   - According to <important1>Block B has a medium blue square and a medium black square. There is also a medium yellow square in this block. It is below the medium black square.</important1>, the medium yellow square in Block B is positioned below the medium black square.
   - Furthermore, <important2>The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square.</important2> indicates that the medium blue square is at the bottom of Block B, below both the medium yellow square and the medium black square.

2. **Block C Analysis:**
   - From <important3>block C has one medium yellow square.</important3>, we know that Block C contains only one medium yellow square. There is no mention of any other squares or objects in Block C, so we cannot infer that there is anything below the medium yellow square in Block C.

Conclusion:
- In Block B, the medium blue square is below the medium yellow square.
- In Block C, there is no information about any object being below the medium yellow square.

Therefore, the object below a medium yellow square is the medium blue square in Block B. The answer is {0}."
3211,There are two blocks. Lets call them A and B. Block A is above B. Block A has two medium yellow squares. <important1>Medium yellow square number one is below medium yellow square number two and a medium blue square</important1>. <important2>Below medium yellow square number two is the medium blue square</important2>. Block B has one medium black square. There is also a medium yellow square touching the bottom edge of this block. <important3>The medium yellow square is below the medium black square</important3>. Which object is above a medium yellow square? the blue thing or the medium black square? 0: the blue thing 1: the medium black square 2: both of them 3: none of them,"There are two blocks. Lets call them A and B. Block A is above B. Block A has two medium yellow squares. <important1>Medium yellow square number one is below medium yellow square number two and a medium blue square</important1>. <important2>Below medium yellow square number two is the medium blue square</important2>. Block B has one medium black square. There is also a medium yellow square touching the bottom edge of this block. <important3>The medium yellow square is below the medium black square</important3>. Which object is above a medium yellow square? the blue thing or the medium black square? 0: the blue thing 1: the medium black square 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine which object is above a medium yellow square, let's analyze the information provided:

1. In Block A:
   - <important1>Medium yellow square number one is below medium yellow square number two and a medium blue square</important1>.
   - <important2>Below medium yellow square number two is the medium blue square</important2>.

   From these statements, we can deduce that the medium blue square is above medium yellow square number one.

2. In Block B:
   - <important3>The medium yellow square is below the medium black square</important3>.

   This indicates that the medium black square is above the medium yellow square in Block B.

Now, let's answer the question: Which object is above a medium yellow square? The options are the blue thing or the medium black square.

- The medium blue square is above a medium yellow square in Block A.
- The medium black square is above a medium yellow square in Block B.

Therefore, both the medium blue square and the medium black square are above a medium yellow square.

The correct answer is {2}."
3400,"There are two blocks, A and B. <important1>Block A contains a medium blue square</important1>. <important2>This block also has one medium black square</important2>. <important3>The medium black square is below the medium blue square</important3>. Above block A there is <important4>block B. It has a medium yellow square, a medium black square and a medium blue square</important4>. <important5>The medium black square is below the medium blue square</important5>. Which object is above a medium black square? the medium blue square that is in block B or the medium blue square that is in block A?
0: the medium blue square that is in block B
1: the medium blue square that is in block A
2: both of them
3: none of them","There are two blocks, A and B. <important1>Block A contains a medium blue square</important1>. <important2>This block also has one medium black square</important2>. <important3>The medium black square is below the medium blue square</important3>. Above block A there is <important4>block B. It has a medium yellow square, a medium black square and a medium blue square</important4>. <important5>The medium black square is below the medium blue square</important5>. Which object is above a medium black square? the medium blue square that is in block B or the medium blue square that is in block A?
0: the medium blue square that is in block B
1: the medium blue square that is in block A
2: both of them
3: none of them
--------------- Extracted Question ---------------

To determine which object is above a medium black square, let's analyze the information provided:

1. In <important1>Block A contains a medium blue square</important1> and <important2>this block also has one medium black square</important2>. According to <important3>the medium black square is below the medium blue square</important3> in Block A. Therefore, in Block A, the medium blue square is above the medium black square.

2. In <important4>Block B, it has a medium yellow square, a medium black square, and a medium blue square</important4>. According to <important5>the medium black square is below the medium blue square</important5> in Block B. Therefore, in Block B, the medium blue square is also above the medium black square.

Since both the medium blue square in Block A and the medium blue square in Block B are above their respective medium black squares, the answer is {2}."
