id,question,answer
864,Last week Fred had 60 dollars and Jason had 19 dollars. Jason washed cars over the weekend and now has 33 dollars. How much money did Jason make washing cars?,"To find out how much money Jason made washing cars, we need to subtract the amount of money he had initially from the amount he has now.

Initial amount of money Jason had: 19 dollars
Current amount of money Jason has: 33 dollars

Amount of money Jason made washing cars: 33 - 19 = 14 dollars

{14}"
394,"White t - shirts can be purchased in packages of 13. If mom buys 39 white t - shirts, how many packages will she have?","To find the number of packages, we need to divide the total number of white t-shirts (39) by the number of t-shirts per package (13).

39 ÷ 13 = 3

So, mom will have 3 packages of white t-shirts.

{3}"
776,"There are 87 oranges and 290 bananas in Philip's collection. If the bananas are organized into 2 groups and oranges are organized into 93 groups, how big is each group of bananas?","To find the size of each group of bananas, we need to divide the total number of bananas by the number of groups.

Total number of bananas = 290
Number of groups = 2

Size of each group of bananas = Total number of bananas / Number of groups
= 290 / 2
= 145

So, each group of bananas has 145 bananas.

{145}"
911,"Baker made 157 cakes and 169 pastries. If he sold 158 cakes and 147 pastries, how many more cakes than pastries did baker sell?","To find out how many more cakes than pastries the baker sold, we need to first find out how many cakes and pastries he sold, then subtract the number of pastries from the number of cakes.

Baker made 157 cakes, but he sold 158 cakes. Since he can't sell more than he made, this information is likely incorrect. However, we will proceed with the given information.

Number of cakes sold: 158
Number of pastries sold: 147

Now, let's subtract the number of pastries from the number of cakes to find the difference.

Difference = Number of cakes sold - Number of pastries sold
= 158 - 147
= 11

So, the baker sold 11 more cakes than pastries.

{11}"
430,Mary is baking a cake. The recipe calls for 9 cups of flour and 5 cups of sugar. She already put in 3 cups of flour and 62 cups of sugar. How many more cups of flour does she need to add?,"To find out how many more cups of flour Mary needs to add, we need to subtract the amount of flour she has already added from the total amount of flour required in the recipe.

Total flour required = 9 cups
Flour already added = 3 cups

Additional flour needed = Total flour required - Flour already added
= 9 cups - 3 cups
= 6 cups

So, Mary needs to add 6 more cups of flour.

{6}"
41,Danny collects bottle caps and wrappers. He found 46 wrappers and 50 bottle caps at the park. Now he has 21 bottle caps and 52 wrappers in his collection. How many more bottle caps than wrappers did danny find at the park?,"To find out how many more bottle caps than wrappers Danny found at the park, we need to first find out how many bottle caps and wrappers he found at the park, then subtract the number of wrappers from the number of bottle caps.

Step 1: Find out how many bottle caps and wrappers Danny already had in his collection before going to the park. We can do this by subtracting the number of bottle caps and wrappers he has now from the number he found at the park.

Bottle caps found at the park = 50
Bottle caps he has now = 21
Bottle caps he already had = Bottle caps found at the park - Bottle caps he has now
Bottle caps he already had = 50 - 21
Bottle caps he already had = 29

Wrappers found at the park = 46
Wrappers he has now = 52
Wrappers he already had = Wrappers he has now - Wrappers found at the park
Wrappers he already had = 52 - 46
Wrappers he already had = 6

Step 2: Find out how many bottle caps and wrappers Danny found at the park.

Bottle caps found at the park = 50
Wrappers found at the park = 46

Step 3: Find out how many more bottle caps than wrappers Danny found at the park.

Difference = Bottle caps found at the park - Wrappers found at the park
Difference = 50 - 46
Difference = 4

{4}"
265,Robin has 43 packages of gum. There are 23 pieces in each package. Robin has 8 extra pieces of gum. How many pieces of gum does Robin have?,"To find the total number of pieces of gum Robin has, we'll follow these steps:

1. First, we need to find the total number of pieces of gum in the packages. We can do this by multiplying the number of packages by the number of pieces in each package:
   43 packages * 23 pieces/package = 989 pieces

2. Next, we add the extra pieces of gum to the total number of pieces:
   989 pieces + 8 pieces = 997 pieces

So, Robin has 997 pieces of gum.

{997}"
988,Melissa scored 109 points in each game. She also got 82 bonus points in each game. How many points did she score in 79 games?,"To find out how many points Melissa scored in 79 games, we need to calculate the total points she scored in each game, then multiply that by 79.

First, let's calculate the total points she scored in each game:
Points per game = 109 (points scored) + 82 (bonus points)
Points per game = 109 + 82
Points per game = 191

Now, let's multiply the points per game by 79:
Total points = 191 * 79
Total points = 15109

{15109}"
523,"Bryan took a look at his books as well. If he has 34 books distributed equally in 2 bookshelves, how many books are there in each bookshelf?","To find out how many books are in each bookshelf, we need to divide the total number of books by the number of bookshelves.

Total number of books = 34
Number of bookshelves = 2

Number of books in each bookshelf = Total number of books / Number of bookshelves
= 34 / 2
= 17

So, there are 17 books in each bookshelf.

{17}"
497,Dan has $ 4. He bought 99 candy bar for $ 3 each one costing the same amount of money. How much money is left?,"To find out how much money is left, we need to calculate the total cost of the candy bars and subtract that from the initial amount of money Dan had.

1. Dan bought 99 candy bars, each costing $3.
2. Total cost of candy bars = 99 * 3 = $297.
3. Dan initially had $4.
4. Since Dan can't buy 99 candy bars with $4, the initial statement is incorrect. He can't afford to buy 99 candy bars.

However, if we still want to calculate the remaining money assuming he somehow managed to buy them, we would subtract the total cost from the initial amount, but since the total cost is more than the initial amount, we would get a negative number.

Remaining money = $4 - $297 = -$293.

But in reality, this situation is not possible."
414,Danny collects bottle caps and wrappers. He found 11 bottle caps and 28 wrappers at the park. Now he has 68 bottle caps and 51 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,"To find out how many more wrappers than bottle caps Danny found at the park, we need to subtract the number of bottle caps he found from the number of wrappers he found.

First, let's find out how many bottle caps and wrappers Danny already had before he found the ones at the park. 

We know that after finding the ones at the park, he had 68 bottle caps and 51 wrappers. We also know that he found 11 bottle caps and 28 wrappers at the park.

So, to find out how many he already had, we subtract the ones he found at the park from the total he has now:

Bottle caps he already had: 68 - 11 = 57
Wrappers he already had: 51 - 28 = 23

Now, we know that he found 11 bottle caps and 28 wrappers at the park. To find out how many more wrappers than bottle caps he found, we subtract the number of bottle caps from the number of wrappers:

28 (wrappers found) - 11 (bottle caps found) = 17

So, Danny found 17 more wrappers than bottle caps at the park.

{17}"
940,"The Ferris wheel in paradise park has some seats. Each seat can hold 9 people. If 18 people can ride the wheel at the same time, how many seats does the Ferris wheel have?","To find the number of seats, we need to divide the total number of people that can ride the wheel at the same time by the number of people each seat can hold.

Total number of people that can ride the wheel at the same time: 18
Number of people each seat can hold: 9

Number of seats = Total number of people / Number of people each seat can hold
= 18 / 9
= 2

{2}"
802,"Allan brought 5 balloons to the park. If Jake brought 6 more balloons than the number of balloons that Allan brought, how many balloons did Jake bring to the park?","To find out how many balloons Jake brought, let's break down the information:

1. Allan brought 5 balloons to the park.
2. Jake brought 6 more balloons than the number of balloons that Allan brought.

We know Allan brought 5 balloons, so we add 6 more to that number:

5 (Allan's balloons) + 6 (more than Allan) = 11

So, Jake brought 11 balloons to the park.

{11}"
849,Allan brought 5 balloons and Jake brought 6 balloons to the park. Jake then bought 3 more balloons at the park. How many balloons did Jake bring to the park?,"To find out how many balloons Jake brought to the park, we need to consider the balloons he initially brought and the ones he bought later.

1. Jake initially brought 6 balloons to the park.
2. He then bought 3 more balloons at the park.

However, the question asks how many balloons Jake ""brought"" to the park, not how many he has now. So, we only consider the initial number of balloons he brought.

{6}"
310,The grasshopper and the frog had a jumping contest. The grasshopper jumped 31 inches and the frog jumped 35 inches. How much did they jump altogether?,"To find the total distance they jumped, we need to add the distance the grasshopper jumped to the distance the frog jumped.

Distance jumped by the grasshopper: 31 inches
Distance jumped by the frog: 35 inches

Total distance jumped = Distance jumped by the grasshopper + Distance jumped by the frog
Total distance jumped = 31 + 35
Total distance jumped = 66 inches

{66 inches}"
488,Robin has 21 packages of gum and 45 packages of candy. There are 9 pieces in each package. How many pieces of candies does Robin have?,"To find the total number of pieces of candies Robin has, we need to multiply the number of packages of candy by the number of pieces in each package.

Number of packages of candy: 45
Number of pieces in each package: 9

Multiply the number of packages by the number of pieces in each package:
45 * 9 = 405

So, Robin has 405 pieces of candies.

{405}"
366,"If Lewis earns a total of $ 460 during 5 weeks of harvest, how much money does he earn each week?","To find out how much Lewis earns each week, we need to divide the total amount of money he earned ($460) by the number of weeks he worked (5).

Step 1: Total amount of money earned = $460
Step 2: Number of weeks worked = 5
Step 3: Divide total amount of money earned by number of weeks worked:
$460 ÷ 5 = $92

Therefore, Lewis earns $92 each week.

{$92}"
597,"Every day Ryan spends 6 hours on learning english and 5 hours on learning chinese. If he learns for 2 days, how many hours does he spend on learning english in all?","To find the total hours Ryan spends on learning English in 2 days, we need to calculate the hours spent on English per day and then multiply by the number of days.

Hours spent on English per day: 6 hours
Number of days: 2

Total hours spent on English = Hours spent on English per day * Number of days
= 6 hours * 2
= 12 hours

{12}"
913,David did 51 push-ups in gym class today. David did 49 more push-ups than Zachary. How many push-ups did Zachary and David do altogether?,"To find out how many push-ups Zachary did, we need to subtract 49 from the number of push-ups David did. 

David did 51 push-ups. 
Zachary did 51 - 49 = 2 push-ups.

Now, we need to find the total number of push-ups they did. We add the number of push-ups David did to the number of push-ups Zachary did.

Total push-ups = 51 (David) + 2 (Zachary) = 53

{53}"
929,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 512 visitors came to the Buckingham palace that day. If there were 471 visitors the previous day and 808 visitors the day before that, how many visited the Buckingham palace within the past 89 days?","To find the total number of visitors within the past 89 days, we need more information. However, we can find the average number of visitors per day for the given 3 days and then use that to estimate the total number of visitors.

Let's find the average number of visitors per day for the given 3 days:

Day 1: 512 visitors
Day 2: 471 visitors
Day 3: 808 visitors

Average number of visitors per day = (512 + 471 + 808) / 3
= 1791 / 3
= 597

Now, let's assume this average number of visitors per day is constant for the past 89 days. 

Total number of visitors within the past 89 days = Average number of visitors per day * 89
= 597 * 89
= 53133

So, the estimated total number of visitors within the past 89 days is {53133}."
223,"We ordered some pizzas. Each pizza has 2 slices. If there were a total of 28 slices, how many pizzas did we order?","To find out how many pizzas were ordered, we need to divide the total number of slices by the number of slices per pizza.

1. We know there are 2 slices per pizza.
2. We know there are 28 slices in total.
3. Divide the total number of slices by the number of slices per pizza: 28 / 2 = 14.

So, we ordered 14 pizzas.

{14}"
516,4 birds and 3 storks were sitting on the fence. 6 more storks came to join them. How many more storks than birds are sitting on the fence?,"To find the answer, let's break it down step by step.

1. Initially, there were 4 birds and 3 storks sitting on the fence.

2. 6 more storks came to join them. So, the total number of storks now is 3 (initial storks) + 6 (new storks) = 9 storks.

3. The number of birds remains the same, which is 4.

4. To find the difference between the number of storks and birds, we subtract the number of birds from the number of storks: 9 (storks) - 4 (birds) = 5.

Therefore, there are 5 more storks than birds sitting on the fence. {5}"
142,"7 red peaches, 15 yellow peaches and 8 green peaches are in the basket. How many peaches are in the basket?","To find the total number of peaches in the basket, we need to add the number of red, yellow, and green peaches.

1. Start with the number of red peaches: 7
2. Add the number of yellow peaches: 7 + 15 = 22
3. Add the number of green peaches: 22 + 8 = 30

Therefore, the total number of peaches in the basket is {30}."
288,Jack received 6 emails in the morning and 8 emails in the afternoon. How many more emails did Jack receive in the afternoon than in the morning?,"To find out how many more emails Jack received in the afternoon than in the morning, we need to subtract the number of emails he received in the morning from the number of emails he received in the afternoon.

Number of emails received in the morning: 6
Number of emails received in the afternoon: 8

Subtract the morning emails from the afternoon emails: 8 - 6 = 2

So, Jack received 2 more emails in the afternoon than in the morning.

{2}"
143,"Paige was helping her mom plant flowers and they put 10 seeds in each flower bed. If they planted 60 seeds altogther, how many flower beds did they have?","To find the number of flower beds, we need to divide the total number of seeds by the number of seeds per flower bed.

Total seeds = 60
Seeds per flower bed = 10

Number of flower beds = Total seeds / Seeds per flower bed
= 60 / 10
= 6

So, Paige and her mom had 6 flower beds.

{6}"
773,Katie had 62 new games and 80 old games. Her friends had 73 new games and 41 old games. How many old games do they have 3,"To find the total number of old games they have, we need to add Katie's old games and her friends' old games.

Katie's old games: 80
Friends' old games: 41

Total old games: 80 + 41 = 121

{121}"
97,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 19 inches. The frog jumped 10 inches farther than the grasshopper and the mouse jumped 20 inches farther than the frog. How much farther did the mouse jump than the grasshopper?","To find out how much farther the mouse jumped than the grasshopper, we need to follow these steps:

1. The grasshopper jumped 19 inches.
2. The frog jumped 10 inches farther than the grasshopper, so the frog jumped 19 + 10 = 29 inches.
3. The mouse jumped 20 inches farther than the frog, so the mouse jumped 29 + 20 = 49 inches.
4. To find out how much farther the mouse jumped than the grasshopper, we subtract the grasshopper's jump from the mouse's jump: 49 - 19 = 30 inches.

{30}"
633,Jake has 13 fewer peaches and 3 more apples than Steven. Steven has 9 peaches and 8 apples. How many apples does Jake have?,"To find out how many apples Jake has, we need to determine the number of apples Steven has and then add 3, since Jake has 3 more apples than Steven.

Steven has 8 apples. 
Jake has 3 more apples than Steven, so Jake has 8 + 3 = 11 apples.

{11}"
818,Jerry had 5 action figures and 9 books on a shelf in his room. Later he added 7 more action figures to the shelf. How many more action figures than books were on his shelf?,"To find the answer, let's break it down step by step.

1. Initially, Jerry had 5 action figures and 9 books on the shelf.
2. Later, he added 7 more action figures to the shelf.
3. So, the total number of action figures now is 5 (initial) + 7 (added) = 12 action figures.
4. The number of books remains the same, which is 9.
5. To find the difference between the number of action figures and books, we subtract the number of books from the number of action figures: 12 (action figures) - 9 (books) = 3.

{3}"
256,Lucy went to the grocery store. She bought 2 packs of cookie and 12 packs of cake. In the end she had 56 amount of change remaining. How many packs of groceries did she buy in all?,"To find the total number of packs of groceries Lucy bought, we need to add the number of packs of cookies and the number of packs of cake.

Number of packs of cookies = 2
Number of packs of cake = 12

Total number of packs of groceries = Number of packs of cookies + Number of packs of cake
= 2 + 12
= 14

The amount of change remaining does not affect the total number of packs of groceries Lucy bought.

{14}"
931,"White t - shirts can be purchased in packages of 53. If mom buys 57 packages of white t - shirts and 34 trousers, how many white t - shirts will she have?","To find out how many white t-shirts mom will have, we need to multiply the number of packages by the number of t-shirts per package. 

Number of packages = 57
Number of t-shirts per package = 53

Total number of t-shirts = Number of packages * Number of t-shirts per package
Total number of t-shirts = 57 * 53
Total number of t-shirts = 3021

The number of trousers is not relevant to the question.

{3021}"
545,Dan has $ 4. For a total of $ 3 he bought 10 candy bar each one costing the same amount of money. How much money is left?,"To find out how much money is left, we need to subtract the cost of the candy bars from the initial amount of money Dan had.

Dan had $4 initially.
He spent $3 on candy bars.

Now, let's subtract the cost from the initial amount:
$4 (initial amount) - $3 (cost of candy bars) = $1

So, Dan has $1 left.

{$1}"
722,Dave had 17 apps and 21 files on his phone. After deleting some apps and files he had 3 apps and 7 files left. How many files did he delete?,"To find the number of files Dave deleted, we need to first find the total number of files and apps he deleted, and then subtract the number of apps he deleted.

Dave initially had 17 apps and 21 files, for a total of 17 + 21 = 38 items.

After deleting some items, he had 3 apps and 7 files, for a total of 3 + 7 = 10 items.

So, the total number of items Dave deleted is 38 - 10 = 28.

We know that Dave initially had 17 apps and ended up with 3 apps, so he deleted 17 - 3 = 14 apps.

Now, we know that Dave deleted a total of 28 items, and 14 of them were apps. Therefore, the number of files he deleted is 28 - 14 = 14.

{14}"
829,17 red peaches and 16 green peaches are in the basket. How many more red peaches than green peaches are in the basket?,"To find out how many more red peaches than green peaches are in the basket, we need to subtract the number of green peaches from the number of red peaches.

Number of red peaches: 17
Number of green peaches: 16

Subtract the number of green peaches from the number of red peaches:
17 - 16 = 1

So, there is 1 more red peach than green peaches in the basket.

{1}"
616,"Matthew gave 6 crackers to each his friends. If he had 36 crackers, how many friends did he give crackers to?","To find out how many friends Matthew gave crackers to, we need to divide the total number of crackers he had by the number of crackers he gave to each friend.

Total number of crackers = 36
Number of crackers per friend = 6

Number of friends = Total number of crackers / Number of crackers per friend
= 36 / 6
= 6

So, Matthew gave crackers to 6 friends.

{6}"
923,"Jesse has 18 square feet of carpet. If her room is 4 feet long and 20 feet wide, how much more carpet does she need to cover the whole floor?","To find out how much carpet Jesse needs, we need to calculate the area of her room. The area of a rectangle (such as a room) is calculated by multiplying the length by the width.

Length (L) = 20 feet
Width (W) = 4 feet
Area = L * W = 20 * 4 = 80 square feet

Jesse has 18 square feet of carpet. To find out how much more carpet she needs, we subtract the amount she has from the total amount needed:

Total carpet needed = 80 square feet
Carpet Jesse has = 18 square feet
Additional carpet needed = Total carpet needed - Carpet Jesse has
= 80 - 18
= 62 square feet

{62}"
150,"After resting they decided to go for a swim. The depth of the water is 2 times Dean's height. Dean is 8 feet shorter than Ron. If Ron stands at 14 feet, how deep was the water?","To find the depth of the water, we need to follow these steps:

1. Find Dean's height: Since Dean is 8 feet shorter than Ron, and Ron is 14 feet tall, we subtract 8 from 14 to get Dean's height.
   Dean's height = Ron's height - 8
   Dean's height = 14 - 8
   Dean's height = 6 feet

2. Find the depth of the water: The depth of the water is 2 times Dean's height.
   Depth of the water = 2 * Dean's height
   Depth of the water = 2 * 6
   Depth of the water = 12 feet

{12}"
