id,question,answer
3459,"We have three blocks. Lets call them A, B and C. A medium black square is in block A. <FACT1>Block B is to the right of block A</FACT1>. <FACT2>It contains a small yellow circle</FACT2> and one big blue square. <FACT3>Below and to the right of the big blue square there is the small yellow circle</FACT3>. Finally, we have <FACT4>block C which is to the right of block B</FACT4>. <FACT5>It contains a small yellow square</FACT5>. <FACT6>The small yellow square is below and to the left of a big yellow square</FACT6>. <FACT7>The big yellow square is touching the right edge of this block</FACT7>. What is to the right of the circle? a small yellow square or a big yellow square which is touching the right edge of a block? 0: small yellow square 1: big yellow square which is touching the right edge of a block 2: both of them 3: none of them","We have three blocks. Lets call them A, B and C. A medium black square is in block A. <FACT1>Block B is to the right of block A</FACT1>. <FACT2>It contains a small yellow circle</FACT2> and one big blue square. <FACT3>Below and to the right of the big blue square there is the small yellow circle</FACT3>. Finally, we have <FACT4>block C which is to the right of block B</FACT4>. <FACT5>It contains a small yellow square</FACT5>. <FACT6>The small yellow square is below and to the left of a big yellow square</FACT6>. <FACT7>The big yellow square is touching the right edge of this block</FACT7>. What is to the right of the circle? a small yellow square or a big yellow square which is touching the right edge of a block? 0: small yellow square 1: big yellow square which is touching the right edge of a block 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine what is to the right of the circle, let's analyze the given facts step by step:

1. We have three blocks: A, B, and C. 
2. <FACT1>Block B is to the right of block A</FACT1>. 
3. <FACT2>Block B contains a small yellow circle</FACT2> and one big blue square. 
4. <FACT3>Below and to the right of the big blue square there is the small yellow circle</FACT3>. This indicates the position of the circle relative to the big blue square within Block B.
5. <FACT4>Block C is to the right of block B</FACT4>. 
6. <FACT5>Block C contains a small yellow square</FACT5>. 
7. <FACT6>The small yellow square is below and to the left of a big yellow square</FACT6>. 
8. <FACT7>The big yellow square is touching the right edge of this block</FACT7>.

Now, let's determine what is to the right of the small yellow circle in Block B:

- Since <FACT4>Block C is to the right of Block B</FACT4>, anything in Block C is to the right of anything in Block B.
- In Block C, we have a small yellow square and a big yellow square. The small yellow square is positioned <FACT6>below and to the left of the big yellow square</FACT6>, and the big yellow square is <FACT7>touching the right edge of Block C</FACT7>.

Therefore, the big yellow square, which is touching the right edge of Block C, is to the right of the small yellow circle in Block B. The small yellow square is not directly to the right of the circle because it is positioned to the left of the big yellow square within Block C.

Thus, the answer is {1}."
1578,"There are two blocks, A and B. Block A is to the left of B. Block A contains three medium yellow squares. <FACT1>Below medium yellow square number three is medium yellow square number two</FACT1>. <FACT2>Below medium yellow square number three is medium yellow square number one</FACT2>. This shape is below the medium yellow square number two. Block B has two medium yellow squares. <FACT3>Below medium yellow square number two and medium yellow square number one there is a medium black square</FACT3>. <FACT4>Medium yellow square number one is below medium yellow square number two</FACT4>. Which object is below a medium yellow square? the shape that is touching the bottom edge of a block or medium yellow square number one?
0: the shape that is touching the bottom edge of a block 
1: medium yellow square number one
2: both of them
3: none of them","There are two blocks, A and B. Block A is to the left of B. Block A contains three medium yellow squares. <FACT1>Below medium yellow square number three is medium yellow square number two</FACT1>. <FACT2>Below medium yellow square number three is medium yellow square number one</FACT2>. This shape is below the medium yellow square number two. Block B has two medium yellow squares. <FACT3>Below medium yellow square number two and medium yellow square number one there is a medium black square</FACT3>. <FACT4>Medium yellow square number one is below medium yellow square number two</FACT4>. Which object is below a medium yellow square? the shape that is touching the bottom edge of a block or medium yellow square number one?
0: the shape that is touching the bottom edge of a block 
1: medium yellow square number one
2: both of them
3: none of them
--------------- Extracted Question ---------------

To determine which object is below a medium yellow square, let's analyze the given facts:

1. In Block A:
   - <FACT1>Below medium yellow square number three is medium yellow square number two</FACT1>.
   - <FACT2>Below medium yellow square number three is medium yellow square number one</FACT2>.
   - This shape is below the medium yellow square number two.

   From these facts, we can deduce that in Block A, medium yellow square number three is at the top, with medium yellow square number two directly below it, and medium yellow square number one below medium yellow square number two. Therefore, medium yellow square number one is below medium yellow square number two.

2. In Block B:
   - <FACT3>Below medium yellow square number two and medium yellow square number one there is a medium black square</FACT3>.
   - <FACT4>Medium yellow square number one is below medium yellow square number two</FACT4>.

   From these facts, we can deduce that in Block B, medium yellow square number two is at the top, with medium yellow square number one directly below it, and a medium black square below both medium yellow squares.

Now, let's answer the question: Which object is below a medium yellow square? The options are:
0: the shape that is touching the bottom edge of a block 
1: medium yellow square number one
2: both of them
3: none of them

- In Block A, the shape that is touching the bottom edge of the block is below medium yellow square number one.
- In Block B, the medium black square is below medium yellow square number one.

Therefore, both the shape that is touching the bottom edge of a block and medium yellow square number one are below a medium yellow square.

The correct answer is {2}."
3105,"There are three blocks. We call them A, B and C. Block A contains one medium yellow square and a medium black square. <FACT1>Below the medium black square there is the medium yellow square</FACT1>. Block B is above block A. It has two medium yellow squares. <FACT2>Medium yellow square number one is below medium yellow square number two</FACT2>. Finally, there is block C to the left of block B. It has a medium blue square. Which object is below a medium yellow square? the medium black square or the blue shape? 0: the medium black square 1: the blue shape 2: both of them 3: none of them","There are three blocks. We call them A, B and C. Block A contains one medium yellow square and a medium black square. <FACT1>Below the medium black square there is the medium yellow square</FACT1>. Block B is above block A. It has two medium yellow squares. <FACT2>Medium yellow square number one is below medium yellow square number two</FACT2>. Finally, there is block C to the left of block B. It has a medium blue square. Which object is below a medium yellow square? the medium black square or the blue shape? 0: the medium black square 1: the blue shape 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine which object is below a medium yellow square, let's analyze the given facts:

1. In Block A, there is a medium black square and a medium yellow square. According to <FACT1>, the medium yellow square is below the medium black square. This means the medium black square is above the medium yellow square in Block A.

2. In Block B, there are two medium yellow squares. According to <FACT2>, medium yellow square number one is below medium yellow square number two. This means that in Block B, the first medium yellow square is below the second medium yellow square.

3. Block C contains a medium blue square, but there is no information about its position relative to any yellow squares.

From these facts, we can conclude:
- In Block A, the medium black square is above the medium yellow square, so the medium black square is not below a medium yellow square.
- In Block B, the first medium yellow square is below the second medium yellow square, but there is no mention of the medium blue square being below a medium yellow square.

Therefore, neither the medium black square nor the medium blue square is below a medium yellow square. The correct answer is {3}."
1723,"We have three blocks, A, B and C. There is a medium yellow square in block A. To the left of block A there is block B which contains a small blue square and one big black triangle. The small blue square is far from, below and to the left of the big black triangle. Finally, we have block C. It is below block A. It has one medium black triangle, a small black triangle and a <FACT1>medium black circle</FACT1>. This block also has a small blue circle. Below the medium black triangle there is a big black square. The medium black triangle is to the right of the small black triangle. <FACT2>To the right of and near to the medium black circle there is the small black triangle</FACT2>. To the right of the black shape which is to the right of the medium black circle there is the big black square. What is to the right of the medium black circle? a medium black triangle or a medium yellow square? 0: medium black triangle 1: medium yellow square 2: both of them 3: none of them","We have three blocks, A, B and C. There is a medium yellow square in block A. To the left of block A there is block B which contains a small blue square and one big black triangle. The small blue square is far from, below and to the left of the big black triangle. Finally, we have block C. It is below block A. It has one medium black triangle, a small black triangle and a <FACT1>medium black circle</FACT1>. This block also has a small blue circle. Below the medium black triangle there is a big black square. The medium black triangle is to the right of the small black triangle. <FACT2>To the right of and near to the medium black circle there is the small black triangle</FACT2>. To the right of the black shape which is to the right of the medium black circle there is the big black square. What is to the right of the medium black circle? a medium black triangle or a medium yellow square? 0: medium black triangle 1: medium yellow square 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine what is to the right of the medium black circle, let's analyze the given facts:

1. In block C, there is a <FACT1>medium black circle</FACT1>.
2. According to <FACT2>, to the right of and near to the medium black circle, there is the small black triangle.

From these facts, we can deduce the following arrangement in block C:
- The medium black circle is positioned with the small black triangle directly to its right.

The question asks whether a medium black triangle or a medium yellow square is to the right of the medium black circle.

- The medium black triangle is mentioned to be in block C, but it is stated to be to the right of the small black triangle, not directly to the right of the medium black circle.
- The medium yellow square is in block A, which is above block C, and not directly to the right of the medium black circle.

Therefore, based on the arrangement, neither the medium black triangle nor the medium yellow square is directly to the right of the medium black circle. The small black triangle is the only shape directly to the right of the medium black circle.

Thus, the answer is {3: none of them}."
166,"We have three blocks. Lets call them A, B and C. One medium black square and a medium blue square are in block A. The medium black square is touching the bottom edge of this block. This object is below the medium blue square. To the right of block A we have block B which has two medium yellow squares. <FACT1>Medium yellow square number one is touching the bottom edge of this block. It is below medium yellow square number two</FACT1>. Above block A there is block C. It has two medium blue squares. Below medium blue square number two and a medium yellow square there is medium blue square number one. <FACT2>Below the medium yellow square there is medium blue square number two</FACT2>. Which object is above a medium square? medium yellow square number two or the medium yellow square that is in block C?
0: medium yellow square  number two
1: the medium yellow square  that is in block C
2: both of them
3: none of them","We have three blocks. Lets call them A, B and C. One medium black square and a medium blue square are in block A. The medium black square is touching the bottom edge of this block. This object is below the medium blue square. To the right of block A we have block B which has two medium yellow squares. <FACT1>Medium yellow square number one is touching the bottom edge of this block. It is below medium yellow square number two</FACT1>. Above block A there is block C. It has two medium blue squares. Below medium blue square number two and a medium yellow square there is medium blue square number one. <FACT2>Below the medium yellow square there is medium blue square number two</FACT2>. Which object is above a medium square? medium yellow square number two or the medium yellow square that is in block C?
0: medium yellow square  number two
1: the medium yellow square  that is in block C
2: both of them
3: none of them
--------------- Extracted Question ---------------

To determine which object is above a medium square, let's analyze the given facts:

1. In block B, we have two medium yellow squares. According to <fact1>, the medium yellow square number one is touching the bottom edge of this block and is below medium yellow square number two. This means that medium yellow square number two is above medium yellow square number one.

2. In block C, there are two medium blue squares and one medium yellow square. According to <fact2>, below the medium yellow square there is medium blue square number two. This indicates that the medium yellow square in block C is above medium blue square number two.

Now, let's determine which object is above a medium square:

- Medium yellow square number two in block B is above medium yellow square number one.
- The medium yellow square in block C is above medium blue square number two.

Both medium yellow square number two and the medium yellow square in block C are above a medium square. Therefore, the answer is {2}."
1061,"There are three blocks, A, B and C. <FACT1>Block A is to the right of C</FACT1>. <FACT2>Block C is to the right of B</FACT2>. Block A has two medium yellow squares. There is also a medium black square in this block. Below medium yellow square number two and the medium black square there is medium yellow square number one. <FACT5>Below the medium black square there is medium yellow square number two</FACT5>. <FACT3>Block B has one medium blue square</FACT3>. And <FACT4>block C has a medium blue square</FACT4>. Which object is to the right of a medium blue square? medium yellow square number one or medium yellow square number two?
0: medium yellow square number one
1: medium yellow square number two
2: both of them
3: none of them","There are three blocks, A, B and C. <FACT1>Block A is to the right of C</FACT1>. <FACT2>Block C is to the right of B</FACT2>. Block A has two medium yellow squares. There is also a medium black square in this block. Below medium yellow square number two and the medium black square there is medium yellow square number one. <FACT5>Below the medium black square there is medium yellow square number two</FACT5>. <FACT3>Block B has one medium blue square</FACT3>. And <FACT4>block C has a medium blue square</FACT4>. Which object is to the right of a medium blue square? medium yellow square number one or medium yellow square number two?
0: medium yellow square number one
1: medium yellow square number two
2: both of them
3: none of them
--------------- Extracted Question ---------------

To determine which object is to the right of a medium blue square, we need to analyze the positions of the blocks and the squares within them.

1. **Block Arrangement:**
   - According to <FACT1>, Block A is to the right of Block C.
   - According to <FACT2>, Block C is to the right of Block B.
   - Therefore, the order from left to right is: Block B, Block C, Block A.

2. **Squares in Each Block:**
   - <FACT3> states that Block B has one medium blue square.
   - <FACT4> states that Block C has a medium blue square.
   - Block A has two medium yellow squares and a medium black square. According to <FACT5>, below the medium black square there is medium yellow square number two, and below both the medium yellow square number two and the medium black square, there is medium yellow square number one.

3. **Determining the Position Relative to Medium Blue Squares:**
   - Since Block A is to the right of both Block B and Block C, any squares in Block A are to the right of the medium blue squares in both Block B and Block C.
   - Therefore, both medium yellow square number one and medium yellow square number two, which are in Block A, are to the right of the medium blue squares in Block B and Block C.

Thus, the answer is {2}, indicating that both medium yellow square number one and medium yellow square number two are to the right of a medium blue square."
2095,"There are three blocks. Lets call them A, B and C. Block A contains two medium blue squares. <FACT1>Medium blue square number one is below medium blue square number two and a medium black square</FACT1>. This shape is touching the bottom edge of this block. The medium black square is below medium blue square number two. Above block A there is block B which has three medium yellow squares. <FACT3>Medium yellow square number one is touching the bottom edge of this block</FACT3>. <FACT2>Medium yellow square number two is below medium yellow square number three</FACT2>. Medium yellow square number one is below medium yellow square number three and medium yellow square number two. To the right of block B there is block C. It has two medium blue squares. Below medium blue square number two there is medium blue square number one. Which object is above a medium blue square? medium yellow square number two or the medium yellow square that is touching the bottom edge of a block?
0: medium yellow square  number two
1: the medium yellow square  that is touching the bottom edge of a block 
2: both of them
3: none of them","There are three blocks. Lets call them A, B and C. Block A contains two medium blue squares. <FACT1>Medium blue square number one is below medium blue square number two and a medium black square</FACT1>. This shape is touching the bottom edge of this block. The medium black square is below medium blue square number two. Above block A there is block B which has three medium yellow squares. <FACT3>Medium yellow square number one is touching the bottom edge of this block</FACT3>. <FACT2>Medium yellow square number two is below medium yellow square number three</FACT2>. Medium yellow square number one is below medium yellow square number three and medium yellow square number two. To the right of block B there is block C. It has two medium blue squares. Below medium blue square number two there is medium blue square number one. Which object is above a medium blue square? medium yellow square number two or the medium yellow square that is touching the bottom edge of a block?
0: medium yellow square  number two
1: the medium yellow square  that is touching the bottom edge of a block 
2: both of them
3: none of them
--------------- Extracted Question ---------------

To determine which object is above a medium blue square, let's analyze the given facts:

1. In Block A, we have:
   - <FACT1>Medium blue square number one is below medium blue square number two and a medium black square</FACT1>. This means that medium blue square number two is above medium blue square number one.

2. In Block B, we have:
   - <FACT3>Medium yellow square number one is touching the bottom edge of this block</FACT3>. This indicates that medium yellow square number one is at the bottom of Block B.
   - <FACT2>Medium yellow square number two is below medium yellow square number three</FACT2>. This means medium yellow square number three is at the top, medium yellow square number two is in the middle, and medium yellow square number one is at the bottom.

3. In Block C, we have:
   - Medium blue square number two is above medium blue square number one.

Now, let's determine the relative positions:

- Medium yellow square number two is in Block B, which is above Block A. Therefore, it is above the medium blue squares in Block A.
- Medium yellow square number one is touching the bottom edge of Block B, but since Block B is above Block A, it is also above the medium blue squares in Block A.

Therefore, both medium yellow square number two and the medium yellow square that is touching the bottom edge of a block (medium yellow square number one) are above the medium blue squares in Block A.

The correct answer is {2}."
1991,"There are three blocks. Lets call them A, B and C. Block A is to the left of B. <FACT1>Block B has one medium blue square and one medium yellow square</FACT1>. <FACT2>This block also contains one medium black square</FACT2>. <FACT3>It is below the medium yellow square</FACT3>. <FACT4>The medium blue square is touching the bottom edge of this block</FACT4>. <FACT5>It is below the medium yellow square and the medium black square</FACT5>. And block C contains a medium yellow square. Which object is below a medium yellow square? the medium blue square that is touching the bottom edge of a block or the medium black square? 0: the medium blue square that is touching the bottom edge of a block 1: the medium black square 2: both of them 3: none of them","There are three blocks. Lets call them A, B and C. Block A is to the left of B. <FACT1>Block B has one medium blue square and one medium yellow square</FACT1>. <FACT2>This block also contains one medium black square</FACT2>. <FACT3>It is below the medium yellow square</FACT3>. <FACT4>The medium blue square is touching the bottom edge of this block</FACT4>. <FACT5>It is below the medium yellow square and the medium black square</FACT5>. And block C contains a medium yellow square. Which object is below a medium yellow square? the medium blue square that is touching the bottom edge of a block or the medium black square? 0: the medium blue square that is touching the bottom edge of a block 1: the medium black square 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine which object is below a medium yellow square, let's analyze the facts provided:

1. <FACT1>Block B has one medium blue square and one medium yellow square</FACT1>.
2. <FACT2>This block also contains one medium black square</FACT2>.
3. <FACT3>The medium black square is below the medium yellow square</FACT3>.
4. <FACT4>The medium blue square is touching the bottom edge of this block</FACT4>.
5. <FACT5>The medium blue square is below the medium yellow square and the medium black square</FACT5>.

From these facts, we can deduce the following:

- The medium black square is below the medium yellow square as per <FACT3>.
- The medium blue square is below both the medium yellow square and the medium black square as per <FACT5>.

Therefore, both the medium blue square and the medium black square are below a medium yellow square.

The correct answer is {2}."
1659,"We have three blocks. We call them A, B and C. Block C is to the left of A. Block A is above B. Block A has one medium yellow square. <FACT1>Block B has a medium blue square and a medium black square. There is also a medium yellow square in this block. It is below the medium black square.</FACT1> <FACT2>The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square.</FACT2> And <FACT3>block C has one medium yellow square.</FACT3> Which object is below a medium yellow square? the medium yellow square which is in block B or the medium yellow square which is in block C? 0: the medium yellow square which is in block B 1: the medium yellow square which is in block C 2: both of them 3: none of them","We have three blocks. We call them A, B and C. Block C is to the left of A. Block A is above B. Block A has one medium yellow square. <FACT1>Block B has a medium blue square and a medium black square. There is also a medium yellow square in this block. It is below the medium black square.</FACT1> <FACT2>The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square.</FACT2> And <FACT3>block C has one medium yellow square.</FACT3> Which object is below a medium yellow square? the medium yellow square which is in block B or the medium yellow square which is in block C? 0: the medium yellow square which is in block B 1: the medium yellow square which is in block C 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine which object is below a medium yellow square, we need to analyze the positions of the squares in each block.

1. **Block B Analysis:**
   - According to <FACT1>, Block B contains a medium blue square, a medium black square, and a medium yellow square. The medium yellow square is below the medium black square.
   - <FACT2> states that the medium blue square is touching the bottom edge of Block B and is below both the medium yellow square and the medium black square.
   - Therefore, in Block B, the medium blue square is below the medium yellow square.

2. **Block C Analysis:**
   - <FACT3> states that Block C has one medium yellow square.
   - There is no information provided about any other squares in Block C or their positions relative to the medium yellow square.
   - Therefore, there is no object below the medium yellow square in Block C.

Based on this analysis, the object below a medium yellow square is the medium blue square in Block B. Therefore, the answer is {0}."
3211,There are two blocks. Lets call them A and B. Block A is above B. Block A has two medium yellow squares. <FACT1>Medium yellow square number one is below medium yellow square number two and a medium blue square</FACT1>. <FACT2>Below medium yellow square number two is the medium blue square</FACT2>. Block B has one medium black square. There is also a medium yellow square touching the bottom edge of this block. <FACT3>The medium yellow square is below the medium black square</FACT3>. Which object is above a medium yellow square? the blue thing or the medium black square? 0: the blue thing 1: the medium black square 2: both of them 3: none of them,"There are two blocks. Lets call them A and B. Block A is above B. Block A has two medium yellow squares. <FACT1>Medium yellow square number one is below medium yellow square number two and a medium blue square</FACT1>. <FACT2>Below medium yellow square number two is the medium blue square</FACT2>. Block B has one medium black square. There is also a medium yellow square touching the bottom edge of this block. <FACT3>The medium yellow square is below the medium black square</FACT3>. Which object is above a medium yellow square? the blue thing or the medium black square? 0: the blue thing 1: the medium black square 2: both of them 3: none of them
--------------- Extracted Question ---------------

To determine which object is above a medium yellow square, let's analyze the given facts:

1. In Block A, we have two medium yellow squares and a medium blue square. According to <FACT1>, medium yellow square number one is below medium yellow square number two and a medium blue square. This implies that the medium blue square is above medium yellow square number one.

2. <FACT2> states that below medium yellow square number two is the medium blue square. This confirms that the medium blue square is positioned between the two medium yellow squares in Block A.

3. In Block B, there is a medium black square and a medium yellow square. According to <FACT3>, the medium yellow square is below the medium black square. This means the medium black square is above the medium yellow square in Block B.

Now, let's determine which object is above a medium yellow square:

- The medium blue square in Block A is above medium yellow square number one.
- The medium black square in Block B is above the medium yellow square in Block B.

Therefore, both the medium blue square and the medium black square are above a medium yellow square.

The answer is {2}."
