id,question,answer
0,"Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack, how much do you have to pay to buy each pack?","The original cost of each pack of DVDs is $76.  There is a discount of $25. To find the final cost, subtract the discount from the original price.

Answer: {51}
"
1,"Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start, how much did the candy bar cost?","Answer: Dan started with $4 and ended with $3.  The difference between these two amounts represents the cost of the candy bar.  Therefore, the candy bar cost $4 - $3 = $1.

Answer: {1}
"
2,Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?,"Answer: First, find out how many salty cookies Paco had left.  He started with 26 salty cookies and ate 9, leaving him with 26 - 9 = 17 salty cookies.

Answer: {17}
"
3,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?,"To find out how many children got off the bus, subtract the number of children remaining on the bus from the initial number of children on the bus.

Answer: {22}
"
4,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?,"Explanation:
First, find the net change in the number of children on the bus.  There were 28 children initially, and 30 children at the end. This means 30 - 28 = 2 more children were on the bus at the end.  Since 82 children got on, the number of children that got off must be 82 (those who got on) - 2 (the net increase) = 80 children.  Therefore, 82 - 80 = 2 more children got on the bus than got off.

Answer: {2}
"
5,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?,"Olivia started with $3 in her wallet.  She withdrew $49 from the ATM, bringing her total to $3 + $49 = $52. After the supermarket, she had $49 left.  Therefore, she spent $52 - $49 = $3 at the supermarket. The difference between the amount she collected at the ATM ($49) and the amount she spent at the supermarket ($3) is $49 - $3 = $46.

Answer: {46}
"
6,"Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now, how many action figures did he have initially on the shelf?","Explanation: To find the initial number of action figures, we need to subtract the number of action figures Jerry added from the total number of action figures he has now.  He added 7 action figures, and he has 10 action figures in total. Therefore, he initially had 10 - 7 = 3 action figures.

Answer: {3}
"
7,Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies. How many more cookies did he eat than those he gave to his friend?,"First, find the difference between the number of cookies Paco ate and the number of cookies he gave to his friend.  He ate 18 cookies and gave away 9 cookies.  Subtract the number of cookies given away from the number of cookies eaten: 18 - 9 = 9.

Answer: {9}
"
8,Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?,"The recipe calls for 10 cups of flour, and Mary has already added 6 cups.  To find out how many more cups she needs, subtract the amount she's already added from the total amount needed.

Answer: {4}
"
9,A waiter had some customers. After 9 customers left he still had 12 customers. How many customers did he have at the start?,"Answer: To find the initial number of customers, we need to add the number of customers who left to the number of customers remaining.  The waiter had 9 customers leave, and 12 customers remained. Therefore, he initially had 9 + 12 = 21 customers.

Answer: {21}
"
