id,question,answer
0,Seven red apples and two green apples are in the basket. How many apples are in the basket?,"                    Reformatted Question:                         Answer:

Seven <fact1>red apples</fact1> and two <fact2>green apples</fact2> are in the basket. How many <fact3>apples</fact3> are in the basket?

There are <fact1>7 red apples</fact1> and <fact2>2 green apples</fact2>.  7 + 2 = 9. Therefore, there are 9 <fact3>apples</fact3> in the basket. The answer is {9}.
"
1,Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?,"                    Reformatted Question:                         Answer:

Ellen has <fact1>six more balls</fact1> than Marin. Marin has <fact2>nine balls</fact2>. How many balls does Ellen have?

Ellen has <fact1>six more</fact1> than Marin's <fact2>nine balls</fact2>, so Ellen has <fact2>9</fact2> + <fact1>6</fact1> = 15 balls.  The answer is {15}.
"
2,Janet has nine oranges and Sharon has seven oranges. How many oranges do Janet and Sharon have together?,"                    Reformatted Question:                         Answer:

Janet has <fact1>nine oranges</fact1> and Sharon has <fact2>seven oranges</fact2>. How many oranges do Janet and Sharon have together?

Janet has <fact1>9</fact1> oranges and Sharon has <fact2>7</fact2> oranges. Together they have <fact1>9</fact1> + <fact2>7</fact2> = 16 oranges.  The answer is {16}.
"
3,Allan brought two balloons and Jake brought four balloons to the park. How many balloons did Allan and Jake have in the park?,"                    Reformatted Question: Allan brought <fact1>two</fact1> balloons and Jake brought <fact2>four</fact2> balloons to the park. How many balloons did Allan and Jake have in the park?                         Answer:

Allan had <fact1>2</fact1> balloons and Jake had <fact2>4</fact2> balloons. Together they had 2 + 4 = 6 balloons. The answer is {6}.
"
4,Adam has five more apples than Jackie. Jackie has nine apples. How many apples does Adam have?,"**Reformatted Question:** Adam has <fact1>five more apples</fact1> than Jackie. Jackie has <fact2>nine apples</fact2>. How many apples does Adam have?

**Answer:**
Jackie has <fact2>nine apples</fact2>. Adam has <fact1>five more</fact1> than Jackie's <fact2>nine apples</fact2>. Therefore, Adam has 9 + 5 = 14 apples. The answer is {14}.
"
5,Brian has four more plums than Paul. Paul has seven plums. How many plums does Brian have?,"**Reformatted Question:** Brian has <fact1>four more plums</fact1> than Paul. Paul has <fact2>seven plums</fact2>. How many plums does Brian have?

**Answer:** Brian has <fact1>four more</fact1> than Paul's <fact2>seven plums</fact2>.  So, Brian has <fact2>7</fact2> + <fact1>4</fact1> = 11 plums. The answer is {11}.
"
6,Sandra took six cups of coffee and Marcie took two cups of coffee. How many cups of coffee did Sandra and Marcie take in total?,"**Reformatted Question:** Sandra took <fact1>six cups of coffee</fact1> and Marcie took <fact2>two cups of coffee</fact2>. How many cups of coffee did Sandra and Marcie take in total?


**Answer:** Sandra took <fact1>six</fact1> cups of coffee and Marcie took <fact2>two</fact2> cups of coffee.  In total, they took 6 + 2 = 8 cups of coffee. The answer is {8}.
"
7,17 plums were in the basket. More plums were added to the basket. Now there are 21 plums. How many plums were added to the basket?,"                    Reformatted Question:                         Answer:

There were <fact1>17 plums</fact1> in the basket. More plums were added to the basket. Now there are <fact2>21 plums</fact2>. How many plums were added to the basket?

                    Answer:

There were <fact1>17 plums</fact1> initially. The total number of plums after adding more is <fact2>21</fact2>.  Therefore, the number of plums added to the basket is <fact2>21</fact2> - <fact1>17</fact1> = 4 plums.  The answer is {4}.
"
8,14 red plums and four green plums are in the basket. How many plums are in the basket?,"                    Reformatted Question:                         Answer:

There are <fact1>14 red plums</fact1> and <fact2>four green plums</fact2> in the basket. How many plums are in the basket?

There are <fact1>14 red plums</fact1> and <fact2>4 green plums</fact2>.  14 + 4 = 18. There are 18 plums in the basket.
"
9,Marin has nine apples and Donald has two apples. How many apples do Marin and Donald have together?,"                    Reformatted Question:                         Answer:

Marin has <fact1>nine apples</fact1> and Donald has <fact2>two apples</fact2>. How many apples do Marin and Donald have together?

Marin has <fact1>9</fact1> apples and Donald has <fact2>2</fact2> apples. Together they have <fact1>9</fact1> + <fact2>2</fact2> = 11 apples. The answer is {11}.
"
