id,question,answer
0,"Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack, how much do you have to pay to buy each pack?","Explanation: Subtract the discount from the original price.
76 - 25 = 51

Answer: {51}
"
1,"Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start, how much did the candy bar cost?","Dan started with $4 and ended with $3.  The difference represents the cost of the candy bar: $4 - $3 = $1.

Answer: {1}
"
2,Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?,"Paco started with 26 salty cookies and ate 9 of them. So he had 26 - 9 = 17 salty cookies left.

Answer: {17}
"
3,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?,"There were 43 children on the bus initially. After some children got off, there were 21 children left.  To find out how many children got off, we subtract the number of children remaining from the initial number of children: 43 - 21 = 22.

Answer: {22}
"
4,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?,"The number of children on the bus at the start is 28. 82 more children got on. So, there are now 28 + 82 = 110 children on the bus. After some children got off, there were 30 children left. So, 110 - 30 = 80 children got off the bus.  The difference between those who got on and those who got off is 82 - 80 = 2.

Answer: {2}
"
5,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?,"Olivia started with $3 and collected $49 from the ATM, giving her a total of $3 + $49 = $52.  She had $49 left after the supermarket, meaning she spent $52 - $49 = $3.  She collected $49 from the ATM and spent $3 at the supermarket, so she collected $49 - $3 = $46 more at the ATM than she spent at the supermarket.

Answer: {46}
"
6,"Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now, how many action figures did he have initially on the shelf?","Jerry currently has 10 action figures, and he added 7 more.  This means he originally had 10 - 7 = 3 action figures.
Answer: {3}
"
7,Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies. How many more cookies did he eat than those he gave to his friend?,"Paco ate 18 cookies and gave away 9. The difference is 18 - 9 = 9 cookies.

Answer: {9}
"
8,Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?,"The recipe calls for 10 cups of flour. Mary has already added 6 cups.  She needs to add 10 - 6 = 4 more cups of flour.

Answer: {4}
"
9,A waiter had some customers. After 9 customers left he still had 12 customers. How many customers did he have at the start?,"Explanation: If he had 12 customers *after* 9 left, then he started with 12 + 9 = 21 customers.

Answer: {21}
"
10,3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them. How many more storks than birds are sitting on the fence?,"Initially, there are 3 birds on the fence. 2 more birds join them, making the total number of birds 3 + 2 = 5 birds.
There are 6 storks that come to the fence.
The difference between the number of storks and birds is 6 - 5 = 1.

Answer: {1}
"
11,"They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs, how many chairs do they have in the backyard?","Explanation:
They have 11 sets of tables and each set has 13 chairs.  To find the total number of chairs, we multiply the number of sets by the number of chairs in each set: 11 * 13

11 * 13 = 143

Answer: {143}
"
12,"In a school there are 458 more girls than boys. If there are 692 girls, how many pupils are there in that school?","The number of boys is 692 - 458 = 234.
The total number of pupils is the number of girls plus the number of boys, which is 692 + 234 = 926.

Answer: {926}
"
13,"After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feet, how deep was the water?","Dean's height is Ron's height plus 4 feet, so Dean is 13 + 4 = 17 feet tall.
The depth of the water is 15 times Dean's height, so it's 15 * 17 = 255 feet.

Answer: {255}
"
14,6 birds were sitting on the fence. 4 more birds and 8 more storks came to join them. How many birds are sitting on the fence?,"There were initially 6 birds on the fence. 4 more birds came to join them. So there are 6 + 4 = 10 birds on the fence.  The storks are irrelevant to the question, as it asks how many *birds* are on the fence.
Answer: {10}
"
15,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 36 pounds. On the way back Marco ' dad lost 8 pounds of strawberries. Marco's strawberries now weighed 12 pounds. How much did his dad's strawberries weigh now?,"Marco and his dad collected 36 pounds of strawberries. After losing 8 pounds, they had 36 - 8 = 28 pounds left. Marco had 12 pounds, so his dad had 28 - 12 = 16 pounds.

Answer: {16}
"
16,"In a school there are 697 girls and the rest are boys. If there are 228 more girls than boys, how many boys are there in that school?","The number of girls is 697. There are 228 more girls than boys. This means that the number of boys is 228 less than the number of girls. So, the number of boys is 697 - 228 = 469.

Answer: {469}
"
17,In a school there are 732 girls and 761 boys. 682 more girls and 8 more boys joined the school. How many girls are there in the school now?,"Initially, there are 732 girls. 682 more girls joined the school.  So, the total number of girls is 732 + 682 = 1414.

Answer: {1414}
"
18,Danny collects bottle caps and wrappers. He found 22 bottle caps and 30 wrappers at the park. Now he has 17 bottle caps and 57 wrappers in his collection. How many wrappers did danny have at first?,"Danny found 30 wrappers at the park and now has 57 wrappers.  Therefore, he must have had 57 - 30 = 27 wrappers at first.

Answer: {27}
"
19,Paul got a box of 457 erasers and 617 crayons for his birthday. At the end of the school year he only had 523 crayons left while not having lost a single eraser. How many more crayons than erasers did he have left?,"Paul started with 617 crayons and ended with 523.  He started with 457 erasers and didn't lose any.  Therefore, he had 523 - 457 = 66 more crayons than erasers.

Answer: {66}
"
20,Baker made 121 cakes. He sold 105 of them and bought 170 new cakes. How many cakes does baker still have?,"Baker initially had 121 cakes. After selling 105, he had 121 - 105 = 16 cakes left. Then he bought 170 new cakes, so he has 16 + 170 = 186 cakes.

Answer: {186}
"
