id,question,answer
0,"For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left?","**Reformatted Question:**

For Halloween, <fact1>Debby had 32 pieces of candy</fact1> and <fact2>her sister had 42 pieces</fact2>.  <fact3>They ate 35 pieces the first night</fact3>. How many pieces do they have left?


**Answer:**

Debby had <fact1>32 pieces of candy</fact1>, and her sister had <fact2>42 pieces</fact2>. Together, they had <fact1>32</fact1> + <fact2>42</fact2> = 74 pieces of candy.  After eating <fact3>35 pieces the first night</fact3>, they have 74 - <fact3>35</fact3> = 39 pieces left.  The answer is {39}.
"
1,A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left?,"**Reformatted Question:**

A pet store had <fact1>13 Siamese cats</fact1> and <fact2>5 house cats</fact2>.  During a sale they sold <fact3>10 cats</fact3>. How many cats do they have left?


**Answer:**

The pet store initially had a total of <fact1>13 Siamese cats</fact1> + <fact2>5 house cats</fact2> = 18 cats.  During the sale, they sold <fact3>10 cats</fact3>. Therefore, they have 18 - <fact3>10</fact3> = 8 cats left. The answer is {8}.
"
2,"Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with?","Reformatted Question: Luke bought <fact1>2 games from a friend</fact1> and <fact2>2 more at a garage sale</fact2>. <fact3>2 of the games didn't work</fact3>. How many good games did he end up with?

Answer: Luke initially acquired <fact1>2 games from a friend</fact1> and <fact2>2 more at a garage sale</fact2>, giving him a total of 2 + 2 = 4 games.  Since <fact3>2 of the games didn't work</fact3>, he had 4 - 2 = 2 good games remaining. The answer is {2}.
"
3,"The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with?","Reformatted Question: The school cafeteria ordered <fact1>42 red apples</fact1> and <fact2>7 green apples</fact2> for students' lunches.  <fact3>Only 9 students wanted fruit</fact3>. How many extra apples did the cafeteria end up with?

Answer: The cafeteria ordered a total of <fact1>42 red apples</fact1> + <fact2>7 green apples</fact2> = 49 apples.  <fact3>Only 9 students wanted fruit</fact3>, meaning there were 49 - 9 = 40 extra apples. The answer is {40}.
"
4,"Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick?","**Reformatted Question:** Lana picked `<fact1>36 tulips</fact1>` and `<fact2>37 roses</fact2>` to make flower bouquets.  If she only used `<fact3>70</fact3>` of the flowers, how many extra flowers did Lana pick?

**Answer:** Lana picked a total of `<fact1>36 tulips</fact1>` + `<fact2>37 roses</fact2>` = 73 flowers.  She only used `<fact3>70</fact3>` of them. Therefore, she had 73 - `<fact3>70</fact3>` = 3 extra flowers. The answer is {3}.
"
5,"Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have?","Reformatted Question: Carol picked `<fact1>29 carrots</fact1>`, and her mother picked `<fact2>16 carrots</fact2>`.  In total, they picked `<fact1>29</fact1> + <fact2>16</fact2> = <fact3>45 carrots</fact3>`. If `<fact4>38 carrots</fact4>` were good, how many bad carrots did they have?

Answer: Carol picked <fact1>29 carrots</fact1>, and her mother picked <fact2>16 carrots</fact2>.  Together, they picked <fact1>29</fact1> + <fact2>16</fact2> = <fact3>45 carrots</fact3>.  Since <fact4>38 carrots</fact4> were good, the number of bad carrots is the total number of carrots minus the number of good carrots: <fact3>45</fact3> - <fact4>38</fact4> = 7.  Therefore, they had 7 bad carrots. The answer is {7}.
"
6,Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now?,"Reformatted Question: Roger had <fact1>16 dollars</fact1>. For his birthday he got <fact2>28 more dollars</fact2> but spent <fact3>25 dollars</fact3> on a new game. How much money does he have now?

Answer: Roger started with <fact1>16 dollars</fact1>. He then received <fact2>28 more dollars</fact2>, giving him a total of 16 + <fact2>28</fact2> = 44 dollars.  After spending <fact3>25 dollars</fact3> on a game, he has 44 - <fact3>25</fact3> = 19 dollars left. The answer is {19}.
"
7,"While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have?","**Reformatted Question:**

While on vacation, Megan took <fact1>15 pictures at the zoo</fact1> and <fact2>18 pictures at the museum</fact2>.  <fact3>If she later deleted 31 of the pictures</fact3>, how many pictures from her vacation did she still have?


**Answer:**

Megan took a total of <fact1>15</fact1> + <fact2>18</fact2> = 33 pictures on her vacation.  After deleting <fact3>31 pictures</fact3>, she had 33 - <fact3>31</fact3> = 2 pictures left.  The answer is {2}.
"
8,Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color?,"Reformatted Question: Rachel bought two coloring books. One had <fact1>23 pictures</fact1> and the other had <fact2>32 pictures</fact2>. After one week she had already colored <fact3>44 of the pictures</fact3>. How many pictures does she still have to color?

Answer: Rachel's first coloring book had <fact1>23 pictures</fact1>, and her second had <fact2>32 pictures</fact2>.  In total, she had <fact1>23</fact1> + <fact2>32</fact2> = 55 pictures to color. After a week, she colored <fact3>44 pictures</fact3>. Therefore, she still has 55 - <fact3>44</fact3> = 11 pictures left to color. The answer is {11}.
"
9,"Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash?","**Reformatted Question:**

Ned had to wash `<fact1>9 short sleeve shirts</fact1>` and `<fact2>21 long sleeve shirts</fact2>` before school.  If he had only washed `<fact3>29 shirts</fact3>` by the time school started, how many did he not wash?


**Answer:**

Ned had a total of `<fact1>9</fact1> + <fact2>21</fact2> = 30 shirts` to wash before school. He washed `<fact3>29 shirts</fact3>. Therefore, he did not wash 30 - `<fact3>29</fact3> = 1 shirt`. The answer is {1}.
"
10,"Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash?","Reformatted Question: Oliver had to wash <fact1>39 short sleeve shirts</fact1> and <fact2>47 long sleeve shirts</fact2> before school.  <fact3>If he had only washed 20 of them by the time school started</fact3>, how many did he not wash?

Answer: Oliver had a total of <fact1>39</fact1> + <fact2>47</fact2> = 86 shirts to wash.  He washed <fact3>20</fact3> shirts. Therefore, he still had 86 - <fact3>20</fact3> = 66 shirts left to wash. The answer is {66}.
"
11,For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell?,"Reformatted Question: Wendy baked <fact1>4 cupcakes</fact1> and <fact2>29 cookies</fact2> for a school bake sale.  After the sale, she had <fact3>24 pastries</fact3> left. How many pastries did she sell?

Answer: Wendy started with a total of <fact1>4</fact1> + <fact2>29</fact2> = 33 pastries.  After the sale, she had <fact3>24</fact3> pastries left. Therefore, she sold 33 - <fact3>24</fact3> = 9 pastries. The answer is {9}.
"
12,"While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have?","**Reformatted Question:**

While on vacation, Debby took `<fact1>24 pictures at the zoo</fact1>` and `<fact2>12 pictures at the museum</fact2>`.  If she later deleted `<fact3>14 of the pictures</fact3>`, how many pictures from her vacation did she still have?


**Answer:**

Debby took a total of `<fact1>24</fact1>` + `<fact2>12</fact2>` = 36 pictures on her vacation.  After deleting `<fact3>14</fact3>` of those pictures, she had 36 - `<fact3>14</fact3>` = 22 pictures left.  Therefore, the answer is {22}.
"
13,"Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick?","Reformatted Question: Katie picked <fact1>3 tulips</fact1> and <fact2>9 roses</fact2>.  <fact3>She only used 10 flowers</fact3>. How many extra flowers did Katie pick?

Answer: Katie picked a total of <fact1>3 tulips</fact1> + <fact2>9 roses</fact2> = 12 flowers.  She only used <fact3>10 flowers</fact3>. Therefore, she had 12 - <fact3>10</fact3> = 2 extra flowers. The answer is {2}.
"
14,"Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework?","Reformatted Question: Faye had <fact1>46 math problems</fact1> and <fact2>9 science problems</fact2> for homework.  If she finished <fact3>40 of the problems</fact3> at school, how many problems did she have to do for homework?

Answer: Faye had a total of <fact1>46</fact1> + <fact2>9</fact2> = 55 homework problems.  She completed <fact3>40</fact3> problems at school. Therefore, she has 55 - <fact3>40</fact3> = 15 problems left to do for homework. The answer is {15}.
"
