id,question,answer
0,"Yesterday was April 30, 2021. What is the date today in MM/DD/YYYY?","Yesterday was 04/30/2021.
Today is one day after yesterday, so today is 05/01/2021.
The answer is {05/01/2021}."
1,"Yesterday was April 30, 2021. What is the date yesterday in MM/DD/YYYY?","Yesterday was 04/30/2021.
So the date yesterday is 04/30/2021.

Answer: {04/30/2021}"
2,"Yesterday was April 30, 2021. What is the date 10 days ago in MM/DD/YYYY?","Yesterday was 04/30/2021.
10 days ago is 9 days before yesterday, and one day before that.
So 9 days before 04/30/2021 is 04/21/2021.
And one day before that is not needed since we are counting the days from yesterday.
So 10 days ago from yesterday, or 9 days before yesterday is 04/21/2021.
The answer is {04/21/2021}."
3,"Yesterday was April 30, 2021. What is the date a month ago in MM/DD/YYYY?","Yesterday was 04/30/2021.
Today is one day after yesterday, so today is 05/01/2021.
A month ago from today is 04/01/2021.

Answer: {04/01/2021}"
4,"Yesterday was April 30, 2021. What is the date one year ago from today in MM/DD/YYYY?","Yesterday was 04/30/2021.
Today is one day after yesterday, so today is 05/01/2021.
One year ago from today is 05/01/2020.

Answer: {05/01/2020}"
5,"Yesterday was April 30, 2021. What is the date one week ago from today in MM/DD/YYYY?","Yesterday was 04/30/2021.
Today is one day after yesterday, so today is 05/01/2021.
One week ago from today is 7 days before today, so one week ago is 04/24/2021.

Answer: {04/24/2021}."
6,"Yesterday was April 30, 2021. What is the date one week from today in MM/DD/YYYY?","Yesterday was 04/30/2021.
Today is one day after yesterday, so today is 05/01/2021.
One week from today is 7 days after today, so one week from today is 05/08/2021.

Answer: {05/08/2021}"
7,"Yesterday was April 30, 2021. What is the date 24 hours later in MM/DD/YYYY?","Yesterday was 04/30/2021.
Today is one day after yesterday, so today is 05/01/2021.
24 hours later is one day after today, which would be 05/02/2021.

Answer: {05/02/2021}"
8,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date today in MM/DD/YYYY?","The deadline is June 1, 2021, which is 2 days away from now.
So two days before 06/01/2021 is 05/30/2021.
Therefore, today is 05/30/2021.
The answer is {05/30/2021}."
9,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date tomorrow in MM/DD/YYYY?","If the deadline is June 1, 2021, and it is 2 days away from now, then today is May 30, 2021.
Tomorrow is one day after today, so tomorrow is May 31, 2021.
The answer is {05/31/2021}."
10,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date yesterday in MM/DD/YYYY?","If the deadline is June 1, 2021, and it is 2 days away, then 2 days before 06/01/2021 is 05/30/2021, so today is 05/30/2021.
Yesterday is one day before today, so yesterday is 05/29/2021.
The answer is {05/29/2021}."
11,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date 10 days ago in MM/DD/YYYY?","The deadline is Jun 1, 2021, which is 2 days away from now.
So today is 2 days before 06/01/2021, which is 05/30/2021.
10 days ago from today is 10 days before 05/30/2021, which is 05/20/2021.
The answer is {05/20/2021}."
12,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date a month ago in MM/DD/YYYY?","The deadline is Jun 1, 2021, which is 2 days away from now.
So today is 2 days before 06/01/2021, which would be 05/30/2021.
A month ago from today is 04/30/2021.

Answer: {04/30/2021}"
13,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date one year ago from today in MM/DD/YYYY?","The deadline is Jun 1, 2021, which is 2 days away from now. 
So today is 2 days before 06/01/2021, which would be 05/30/2021.
One year ago from today is 05/30/2020.

Answer: {05/30/2020}"
14,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date one week ago from today in MM/DD/YYYY?","The deadline is Jun 1, 2021, which is 2 days away from now.
So today is 2 days before 06/01/2021, which is 05/30/2021.
One week ago from today is 7 days before today, so one week ago is 05/23/2021.

Answer: {05/23/2021}"
15,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date one week from today in MM/DD/YYYY?","The deadline is Jun 1, 2021, which is 2 days away from now. 
So today is 2 days before 06/01/2021, which would be 05/30/2021.
One week from today is 7 days after today, so one week from today is 06/06/2021.

Answer: {06/06/2021}"
16,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date 24 hours later in MM/DD/YYYY?","The deadline is Jun 1, 2021, which is 2 days away from now.
So today is 2 days before 06/01/2021, which would be 05/30/2021.
24 hours later is one day after today, which would be 05/31/2021.

Answer: {05/31/2021}"
17,Tomorrow is 11/12/2019. What is the date today in MM/DD/YYYY?,"Tomorrow is 11/12/2019.
Today is one day before tomorrow, so today is 11/11/2019.

Answer: {11/11/2019}"
18,Tomorrow is 11/12/2019. What is the date tomorrow in MM/DD/YYYY?,"Tomorrow is 11/12/2019. 
To find the date tomorrow, we need to look at the date given, which is already tomorrow.
The answer is {11/12/2019}."
19,Tomorrow is 11/12/2019. What is the date yesterday in MM/DD/YYYY?,"Tomorrow is 11/12/2019. 
To find yesterday, we need to find today first. 
Today is one day before tomorrow, so today is 11/11/2019. 
Yesterday is one day before today, so yesterday is 11/10/2019.
The answer is {11/10/2019}."
20,Tomorrow is 11/12/2019. What is the date 10 days ago in MM/DD/YYYY?,"Tomorrow is 11/12/2019. 
To find the date 10 days ago, we need to find today's date first. 
Today is one day before tomorrow, so today is 11/11/2019. 
10 days ago from today is 11/01/2019.

The answer is {11/01/2019}."
21,Tomorrow is 11/12/2019. What is the date a month ago in MM/DD/YYYY?,"Tomorrow is 11/12/2019. 
To find today's date, we need to subtract one day from tomorrow's date.
So today is 11/11/2019. 
A month ago from today would be 10/11/2019.

Answer: {10/11/2019}."
22,Tomorrow is 11/12/2019. What is the date one year ago from today in MM/DD/YYYY?,"Tomorrow is 11/12/2019. 
To find today's date, we need to subtract one day from tomorrow's date.
So today is 11/11/2019.
One year ago from today is 11/11/2018.

Answer: {11/11/2018}"
23,Tomorrow is 11/12/2019. What is the date one week ago from today in MM/DD/YYYY?,"Tomorrow is 11/12/2019. 
To find today's date, we need to subtract one day from tomorrow's date.
So today is 11/11/2019. 
One week ago is 7 days before today, so one week ago is 11/04/2019.

Answer: {11/04/2019}"
24,Tomorrow is 11/12/2019. What is the date one week from today in MM/DD/YYYY?,"Tomorrow is 11/12/2019. 
So today is one day before 11/12/2019, which is 11/11/2019.
One week from today is 7 days after today, which is 11/18/2019.
The answer is {11/18/2019}."
