id,question,answer
0,Seven red apples and two green apples are in the basket. How many apples are in the basket?,"Answer: To find the total number of apples in the basket, we add the number of red apples and the number of green apples together.  There are 7 red apples + 2 green apples = 9 apples in total.

Answer: {9}
"
1,Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?,"Explanation:
Ellen has six more balls than Marin. Marin has nine balls.  To find out how many balls Ellen has, add six to Marin's number of balls.

Answer: {15}
"
2,Janet has nine oranges and Sharon has seven oranges. How many oranges do Janet and Sharon have together?,"Answer: To find the total number of oranges Janet and Sharon have together, we add the number of oranges Janet has to the number of oranges Sharon has.  Janet has 9 oranges and Sharon has 7 oranges.  Therefore, together they have 9 + 7 = 16 oranges.

Answer: {16}
"
3,Allan brought two balloons and Jake brought four balloons to the park. How many balloons did Allan and Jake have in the park?,"Answer: To find the total number of balloons, add the number of balloons Allan brought to the number of balloons Jake brought.  Allan brought 2 balloons and Jake brought 4 balloons, so together they had 2 + 4 = 6 balloons.

Answer: {6}
"
4,Adam has five more apples than Jackie. Jackie has nine apples. How many apples does Adam have?,"Answer: To find out how many apples Adam has, we need to add the number of apples Jackie has to the number of extra apples Adam has.  Jackie has 9 apples, and Adam has 5 more than Jackie, so Adam has 9 + 5 apples.
Answer: {14}
"
5,Brian has four more plums than Paul. Paul has seven plums. How many plums does Brian have?,"Answer: Brian has four more plums than Paul, and Paul has seven plums.  Therefore, Brian has 7 + 4 = 11 plums.

Answer: {11}
"
6,Sandra took six cups of coffee and Marcie took two cups of coffee. How many cups of coffee did Sandra and Marcie take in total?,"Answer: To find the total number of cups of coffee Sandra and Marcie took, we add the number of cups Sandra took to the number of cups Marcie took. Sandra took 6 cups and Marcie took 2 cups.  Therefore, together they took 6 + 2 = 8 cups of coffee.

Answer: {8}
"
7,17 plums were in the basket. More plums were added to the basket. Now there are 21 plums. How many plums were added to the basket?,"Answer: To find out how many plums were added, subtract the initial number of plums from the final number of plums.  21 plums (final amount) - 17 plums (initial amount) = 4 plums.

Answer: {4}
"
8,14 red plums and four green plums are in the basket. How many plums are in the basket?,"Answer: To find the total number of plums, we add the number of red plums and the number of green plums together.  There are 14 red plums + 4 green plums = 18 plums in total.

Answer: {18}
"
9,Marin has nine apples and Donald has two apples. How many apples do Marin and Donald have together?,"Answer: To find the total number of apples Marin and Donald have together, we add the number of apples Marin has to the number of apples Donald has. Marin has 9 apples and Donald has 2 apples.  Therefore, together they have 9 + 2 = 11 apples.
Answer: {11}
"
10,46 apples were in the basket. 22 are red and the rest are green. How many apples are green?,"Answer: To find the number of green apples, subtract the number of red apples from the total number of apples.  This is 46 - 22 = 24 green apples.

Answer: {24}
"
11,Five red peaches and 14 green peaches are in the basket. How many peaches are in the basket?,"Answer: To find the total number of peaches, we add the number of red peaches and the number of green peaches together.  There are 5 red peaches + 14 green peaches = 19 peaches in total.

Answer: {19}
"
12,20 peaches are in the basket. 25 more peaches are put in the basket. How many peaches are in the basket now?,"Answer: To find the total number of peaches in the basket, we add the initial number of peaches to the number of peaches added.  The initial number of peaches is 20, and 25 more peaches were added.  Therefore, the total number of peaches is 20 + 25 = 45.

Answer: {45}
"
13,Two marbles are in the basket. Two marbles are taken out of the basket. How many marbles are in the basket now?,"Answer: If two marbles are taken out of a basket that initially contained two marbles, there will be zero marbles left in the basket.

Answer: {0}
"
14,Eight balls were in the basket. Some of the balls were removed from the basket. Now there are six balls. How many balls were removed from the basket?,"To find out how many balls were removed, subtract the number of balls remaining from the initial number of balls.

Answer: {2}
"
15,Some oranges were in the basket. Five oranges were taken from the basket. Now there are three oranges. How many oranges were in the basket before some of the oranges were taken?,"Answer: To find the original number of oranges, we add the number of oranges taken away to the number of oranges remaining.  This is 5 + 3 = 8 oranges.

Answer: {8}
"
16,Jake has six fewer peaches than Steven. Steven has 13 peaches. How many peaches does Jake have?,"Explanation:
The problem states that Jake has six fewer peaches than Steven.  Steven has 13 peaches. To find out how many peaches Jake has, subtract 6 from Steven's total number of peaches.

Answer: {7}
"
17,David has zero fewer apples than Marin. Marin has three apples. How many apples does David have?,"Answer: Since David has zero fewer apples than Marin, this means he has the same number of apples as Marin.  Marin has three apples, therefore David also has three apples.

Answer: {3}
"
18,Jake has 34 fewer balls than Audrey. Audrey has 41 balls. How many balls does Jake have?,"Answer: Audrey has 41 balls, and Jake has 34 fewer balls than Audrey.  To find out how many balls Jake has, subtract 34 from Audrey's total: 41 - 34 = 7.  Therefore, Jake has 7 balls.

Answer: {7}
"
19,Brian has zero fewer oranges than Marcie. Marcie has 12 oranges. How many oranges does Brian have?,"Answer: Since Brian has zero fewer oranges than Marcie, this means he has the same number of oranges as Marcie.  Marcie has 12 oranges, therefore Brian also has 12 oranges.

Answer: {12}
"
