id,question,answer
0,"Yesterday was April 30, 2021. What is the date today in MM/DD/YYYY?","Reformatted Question: <fact1>Yesterday was April 30, 2021</fact1>. What is the date <fact2>today</fact2> in MM/DD/YYYY?
Answer: <fact2>Today</fact2> is one day after <fact1>yesterday</fact1>, so <fact2>today</fact2> is 05/01/2021."
1,"Yesterday was April 30, 2021. What is the date yesterday in MM/DD/YYYY?","Reformatted Question: <fact1>Yesterday was April 30, 2021</fact1>. What is the date <fact2>yesterday</fact2> in MM/DD/YYYY?
Answer: <fact1>Yesterday was 04/30/2021</fact1>. If <fact2>yesterday</fact2> is one day before <fact1>04/30/2021</fact1>, then <fact2>yesterday</fact2> is 04/29/2021. The answer is {04/29/2021}."
2,"Yesterday was April 30, 2021. What is the date 10 days ago in MM/DD/YYYY?","Reformatted Question: Yesterday was <fact1>April 30, 2021</fact1>. What is the date <fact2>10 days ago</fact2> in MM/DD/YYYY?
Answer: <fact1>Yesterday was 04/30/2021</fact1>. To find <fact2>10 days ago</fact2>, we need to go back 10 days from 04/30/2021. This is the same as going back 7 days from 04/23/2021. So <fact2>10 days ago</fact2> is 04/23/2021. The answer is {04/23/2021}."
3,"Yesterday was April 30, 2021. What is the date a month ago in MM/DD/YYYY?","Reformatted Question: <fact1>Yesterday was April 30, 2021</fact1>. What is the date <fact2>a month ago</fact2> in MM/DD/YYYY?
Answer: Yesterday was <fact1>April 30, 2021</fact1>. A month ago from <fact1>April 30, 2021</fact1> would be the last day of March, which is <fact3>March 31, 2021</fact3>."
4,"Yesterday was April 30, 2021. What is the date one year ago from today in MM/DD/YYYY?","Reformatted Question: Yesterday was <fact1>April 30, 2021</fact1>. What is the date <fact2>one year ago from today</fact2> in MM/DD/YYYY?
Answer: Yesterday was <fact1>04/30/2021</fact1>. To find the date <fact2>one year ago from today</fact2>, we need to subtract 1 year from <fact1>04/30/2021</fact1>. Since <fact1>04/30/2021</fact1> is the last day of April, subtracting 1 year will take us to the last day of April in the previous year, which is <fact2>04/30/2020</fact2>."
5,"Yesterday was April 30, 2021. What is the date one week ago from today in MM/DD/YYYY?","Reformatted Question: <fact1>Yesterday was April 30, 2021</fact1>. What is the date <fact2>one week ago from today</fact2> in MM/DD/YYYY?
Answer: <fact1>Yesterday was 04/30/2021</fact1>. <fact2>Today</fact2> is 1 day after <fact1>yesterday</fact1>, so <fact2>today</fact2> is 05/01/2021. <fact2>One week ago from today</fact2> is 7 days before <fact2>today</fact2>, so <fact2>one week ago from today</fact2> is 04/24/2021. The answer is {04/24/2021}."
6,"Yesterday was April 30, 2021. What is the date one week from today in MM/DD/YYYY?","Reformatted Question: <fact1>Yesterday was April 30, 2021</fact1>. What is the date <fact2>one week from today</fact2> in MM/DD/YYYY?
Answer: <fact1>Yesterday was 04/30/2021</fact1>. To find the date <fact2>one week from today</fact2>, we need to add 7 days to today. Since yesterday was 04/30/2021, today is 05/01/2021. One week from today is 7 days after 05/01/2021, which is 05/08/2021. The answer is {05/08/2021}."
7,"Yesterday was April 30, 2021. What is the date 24 hours later in MM/DD/YYYY?","Reformatted Question: <fact1>Yesterday was April 30, 2021</fact1>. What is the date <fact2>24 hours later</fact2> in MM/DD/YYYY?
Answer: <fact1>Yesterday was 04/30/2021</fact1>. <fact2>24 hours later</fact2> is <fact2>one day after yesterday</fact2>, which would be <fact2>05/01/2021</fact2>. The answer is {05/01/2021}."
8,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date today in MM/DD/YYYY?","Reformatted Question: <fact1>The deadline is Jun 1, 2021</fact1>, which is <fact2>2 days away from now</fact2>. What is the date <fact3>today</fact3> in MM/DD/YYYY?
Answer: <fact2>2 days away from now</fact2> means that today is 2 days before <fact1>Jun 1, 2021</fact1>. So today is 05/30/2021. The answer is {05/30/2021}."
9,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date tomorrow in MM/DD/YYYY?","Reformatted Question: The deadline is <fact1>Jun 1, 2021</fact1>, which is <fact2>2 days away from now</fact2>. What is the date <fact3>tomorrow</fact3> in MM/DD/YYYY?
Answer: If <fact1>Jun 1, 2021</fact1> is <fact2>2 days away from now</fact2>, then today is 2 days before <fact1>Jun 1, 2021</fact1>. So today is 05/30/2021. <fact3>Tomorrow</fact3> is one day after today, so <fact3>tomorrow</fact3> is 05/31/2021. The answer is {05/31/2021}."
