id,question,answer
216,"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are seven birds: an owl, a crow, a falcon, a cardinal, a hummingbird, a quail, and a hawk. The falcon is to the left of the crow. The quail is to the right of the cardinal. The hummingbird is to the right of the quail. The falcon is the second from the right. The hummingbird is to the left of the hawk. The owl is the third from the left.
Options:
(A) The owl is the leftmost
(B) The crow is the leftmost
(C) The falcon is the leftmost
(D) The cardinal is the leftmost
(E) The hummingbird is the leftmost
(F) The quail is the leftmost
(G) The hawk is the leftmost","### Key Facts:
<fact1>The falcon is to the left of the crow</fact1>
<fact2>The quail is to the right of the cardinal</fact2>
<fact3>The hummingbird is to the right of the quail</fact3>
<fact4>The falcon is the second from the right</fact4>
<fact5>The hummingbird is to the left of the hawk</fact5>
<fact6>The owl is the third from the left</fact6>

### Reformatted Question:
On a branch, there are seven birds: an owl, a crow, a falcon, a cardinal, a hummingbird, a quail, and a hawk. <fact1>The falcon is to the left of the crow</fact1>. <fact2>The quail is to the right of the cardinal</fact2>. <fact3>The hummingbird is to the right of the quail</fact3>. <fact4>The falcon is the second from the right</fact4>. <fact5>The hummingbird is to the left of the hawk</fact5>. <fact6>The owl is the third from the left</fact6>. Options: (A) The owl is the leftmost (B) The crow is the leftmost (C) The falcon is the leftmost (D) The cardinal is the leftmost (E) The hummingbird is the leftmost (F) The quail is the leftmost (G) The hawk is the leftmost"
98,"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were seven golfers: Ana, Eve, Ada, Dan, Rob, Amy, and Joe. Dan finished third. Ana finished above Ada. Amy finished last. Dan finished below Rob. Eve finished below Ada. Rob finished below Joe.
Options:
(A) Ana finished last
(B) Eve finished last
(C) Ada finished last
(D) Dan finished last
(E) Rob finished last
(F) Amy finished last
(G) Joe finished last","### Key Facts:
<fact1>Dan finished third</fact1>
<fact2>Ana finished above Ada</fact2>
<fact3>Amy finished last</fact3>
<fact4>Dan finished below Rob</fact4>
<fact5>Eve finished below Ada</fact5>
<fact6>Rob finished below Joe</fact6>

### Reformatted Question:
In a golf tournament, there were seven golfers: Ana, Eve, Ada, Dan, Rob, Amy, and Joe. <fact1>Dan finished third</fact1>. <fact2>Ana finished above Ada</fact2>. <fact3>Amy finished last</fact3>. <fact4>Dan finished below Rob</fact4>. <fact5>Eve finished below Ada</fact5>. <fact6>Rob finished below Joe</fact6>. Options: (A) Ana finished last (B) Eve finished last (C) Ada finished last (D) Dan finished last (E) Rob finished last (F) Amy finished last (G) Joe finished last"
194,"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are seven birds: a quail, a raven, a hummingbird, a robin, a falcon, an owl, and a blue jay. The blue jay is to the left of the falcon. The blue jay is the second from the right. The raven is to the left of the robin. The owl is the third from the right. The hummingbird is to the left of the quail. The raven is the third from the left.
Options:
(A) The quail is the second from the right
(B) The raven is the second from the right
(C) The hummingbird is the second from the right
(D) The robin is the second from the right
(E) The falcon is the second from the right
(F) The owl is the second from the right
(G) The blue jay is the second from the right","### Key Facts:
<fact1>The blue jay is the second from the right</fact1>

### Reformatted Question:
On a branch, there are seven birds: a quail, a raven, a hummingbird, a robin, a falcon, an owl, and a blue jay. <fact1>The blue jay is the second from the right</fact1>. The blue jay is to the left of the falcon. The raven is to the left of the robin. The owl is the third from the right. The hummingbird is to the left of the quail. The raven is the third from the left. Options: (A) The quail is the second from the right (B) The raven is the second from the right (C) The hummingbird is the second from the right (D) The robin is the second from the right (E) The falcon is the second from the right (F) The owl is the second from the right (G) The blue jay is the second from the right"
227,"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are seven birds: an owl, a crow, a falcon, a cardinal, a hummingbird, a quail, and a hawk. The falcon is to the left of the crow. The quail is to the right of the cardinal. The hummingbird is to the right of the quail. The falcon is the second from the right. The hummingbird is to the left of the hawk. The owl is the third from the left.
Options:
(A) The owl is the second from the right
(B) The crow is the second from the right
(C) The falcon is the second from the right
(D) The cardinal is the second from the right
(E) The hummingbird is the second from the right
(F) The quail is the second from the right
(G) The hawk is the second from the right","### Key Facts:
<fact1>The falcon is the second from the right</fact1>

### Reformatted Question:
On a branch, there are seven birds: an owl, a crow, a falcon, a cardinal, a hummingbird, a quail, and a hawk. The falcon is to the left of the crow. The quail is to the right of the cardinal. The hummingbird is to the right of the quail. <fact1>The falcon is the second from the right</fact1>. The hummingbird is to the left of the hawk. The owl is the third from the left. Options: (A) The owl is the second from the right (B) The crow is the second from the right (C) <fact1>The falcon is the second from the right</fact1> (D) The cardinal is the second from the right (E) The hummingbird is the second from the right (F) The quail is the second from the right (G) The hawk is the second from the right"
107,"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are seven birds: a cardinal, a blue jay, a robin, a crow, a falcon, a hawk, and a raven. The hawk is the second from the right. The raven is the fourth from the left. The robin is the second from the left. The cardinal is to the left of the raven. The falcon is to the left of the robin. The crow is to the right of the blue jay.
Options:
(A) The cardinal is the second from the left
(B) The blue jay is the second from the left
(C) The robin is the second from the left
(D) The crow is the second from the left
(E) The falcon is the second from the left
(F) The hawk is the second from the left
(G) The raven is the second from the left","### Key Facts:
<fact1>The hawk is the second from the right</fact1>
<fact2>The raven is the fourth from the left</fact2>
<fact3>The robin is the second from the left</fact3>

### Reformatted Question:
On a branch, there are seven birds: a cardinal, a blue jay, a robin, a crow, a falcon, a hawk, and a raven. <fact1>The hawk is the second from the right</fact1>. <fact2>The raven is the fourth from the left</fact2>. <fact3>The robin is the second from the left</fact3>. The cardinal is to the left of the raven. The falcon is to the left of the robin. The crow is to the right of the blue jay. Options: (A) The cardinal is the second from the left (B) The blue jay is the second from the left (C) The robin is the second from the left (D) The crow is the second from the left (E) The falcon is the second from the left (F) The hawk is the second from the left (G) The raven is the second from the left"
10,"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells seven fruits: mangoes, watermelons, peaches, kiwis, oranges, cantaloupes, and plums. The watermelons are the cheapest. The peaches are more expensive than the mangoes. The cantaloupes are the second-most expensive. The oranges are more expensive than the cantaloupes. The peaches are less expensive than the plums. The kiwis are the third-cheapest.
Options:
(A) The mangoes are the third-most expensive
(B) The watermelons are the third-most expensive
(C) The peaches are the third-most expensive
(D) The kiwis are the third-most expensive
(E) The oranges are the third-most expensive
(F) The cantaloupes are the third-most expensive
(G) The plums are the third-most expensive","### Key Facts:
<fact1>The watermelons are the cheapest</fact1>
<fact2>The peaches are more expensive than the mangoes</fact2>
<fact3>The cantaloupes are the second-most expensive</fact3>
<fact4>The oranges are more expensive than the cantaloupes</fact4>
<fact5>The peaches are less expensive than the plums</fact5>
<fact6>The kiwis are the third-cheapest</fact6>

### Reformatted Question:
A fruit stand sells seven fruits: mangoes, watermelons, peaches, kiwis, oranges, cantaloupes, and plums. <fact1>The watermelons are the cheapest</fact1>. <fact2>The peaches are more expensive than the mangoes</fact2>. <fact3>The cantaloupes are the second-most expensive</fact3>. <fact4>The oranges are more expensive than the cantaloupes</fact4>. <fact5>The peaches are less expensive than the plums</fact5>. <fact6>The kiwis are the third-cheapest</fact6>. Options: (A) The mangoes are the third-most expensive (B) The watermelons are the third-most expensive (C) The peaches are the third-most expensive (D) The kiwis are the third-most expensive (E) The oranges are the third-most expensive (F) The cantaloupes are the third-most expensive (G) The plums are the third-most expensive"
66,"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were seven golfers: Eve, Rob, Dan, Mel, Ana, Eli, and Ada. Ada finished above Rob. Eve finished below Rob. Mel finished above Eli. Ada finished below Dan. Ana finished third. Eli finished second.
Options:
(A) Eve finished third
(B) Rob finished third
(C) Dan finished third
(D) Mel finished third
(E) Ana finished third
(F) Eli finished third
(G) Ada finished third","### Key Facts:
<fact1>Ada finished above Rob</fact1>
<fact2>Eve finished below Rob</fact2>
<fact3>Mel finished above Eli</fact3>
<fact4>Ada finished below Dan</fact4>
<fact5>Ana finished third</fact5>
<fact6>Eli finished second</fact6>

### Reformatted Question:
In a golf tournament, there were seven golfers: Eve, Rob, Dan, Mel, Ana, Eli, and Ada. <fact1>Ada finished above Rob</fact1>. <fact2>Eve finished below Rob</fact2>. <fact3>Mel finished above Eli</fact3>. <fact4>Ada finished below Dan</fact4>. <fact5>Ana finished third</fact5>. <fact6>Eli finished second</fact6>. Options: (A) Eve finished third (B) Rob finished third (C) Dan finished third (D) Mel finished third (E) Ana finished third (F) Eli finished third (G) Ada finished third"
130,"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were seven golfers: Eve, Mya, Rob, Ana, Ada, Mel, and Joe. Eve finished third. Mya finished above Joe. Mel finished above Ada. Mya finished above Rob. Mel finished below Joe. Mya finished second. Ada finished second-to-last.
Options:
(A) Eve finished last
(B) Mya finished last
(C) Rob finished last
(D) Ana finished last
(E) Ada finished last
(F) Mel finished last
(G) Joe finished last","### Key Facts:
<fact1>Eve finished third</fact1>
<fact2>Mya finished above Joe</fact2>
<fact3>Mel finished above Ada</fact3>
<fact4>Mya finished above Rob</fact4>
<fact5>Mel finished below Joe</fact5>
<fact6>Mya finished second</fact6>
<fact7>Ada finished second-to-last</fact7>

### Reformatted Question:
In a golf tournament, there were seven golfers: Eve, Mya, Rob, Ana, Ada, Mel, and Joe. <fact1>Eve finished third</fact1>. <fact2>Mya finished above Joe</fact2>. <fact3>Mel finished above Ada</fact3>. <fact4>Mya finished above Rob</fact4>. <fact5>Mel finished below Joe</fact5>. <fact6>Mya finished second</fact6>. <fact7>Ada finished second-to-last</fact7>. Options: (A) Eve finished last (B) Mya finished last (C) Rob finished last (D) Ana finished last (E) Ada finished last (F) Mel finished last (G) Joe finished last"
124,"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were seven golfers: Joe, Eli, Ada, Mel, Eve, Rob, and Ana. Joe finished first. Mel finished second-to-last. Rob finished above Eve. Mel finished above Eli. Rob finished below Ada. Eve finished fourth.
Options:
(A) Joe finished first
(B) Eli finished first
(C) Ada finished first
(D) Mel finished first
(E) Eve finished first
(F) Rob finished first
(G) Ana finished first","### Key Facts:
<fact1>Joe finished first</fact1>

### Reformatted Question:
In a golf tournament, there were seven golfers: Joe, Eli, Ada, Mel, Eve, Rob, and Ana. <fact1>Joe finished first</fact1>. Mel finished second-to-last. Rob finished above Eve. Mel finished above Eli. Rob finished below Ada. Eve finished fourth. Options: (A) Joe finished first (B) Eli finished first (C) Ada finished first (D) Mel finished first (E) Eve finished first (F) Rob finished first (G) Ana finished first"
103,"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are seven books: an orange book, a green book, a red book, a gray book, a purple book, a blue book, and a brown book. The purple book is the fourth from the left. The brown book is the third from the left. The green book is to the left of the blue book. The red book is the leftmost. The gray book is the third from the right. The orange book is the rightmost.
Options:
(A) The orange book is the second from the left
(B) The green book is the second from the left
(C) The red book is the second from the left
(D) The gray book is the second from the left
(E) The purple book is the second from the left
(F) The blue book is the second from the left
(G) The brown book is the second from the left","### Key Facts:
<fact1>The purple book is the fourth from the left</fact1>
<fact2>The brown book is the third from the left</fact2>
<fact3>The green book is to the left of the blue book</fact3>
<fact4>The red book is the leftmost</fact4>
<fact5>The gray book is the third from the right</fact5>
<fact6>The orange book is the rightmost</fact6>

### Reformatted Question:
On a shelf, there are seven books: an orange book, a green book, a red book, a gray book, a purple book, a blue book, and a brown book. <fact1>The purple book is the fourth from the left</fact1>. <fact2>The brown book is the third from the left</fact2>. <fact3>The green book is to the left of the blue book</fact3>. <fact4>The red book is the leftmost</fact4>. <fact5>The gray book is the third from the right</fact5>. <fact6>The orange book is the rightmost</fact6>. Options: (A) The orange book is the second from the left (B) The green book is the second from the left (C) The red book is the second from the left (D) The gray book is the second from the left (E) The purple book is the second from the left (F) The blue book is the second from the left (G) The brown book is the second from the left"
