id,question,answer
0,"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?
# Answer option: ['A)5(√3 + 1)', 'B)6(√3 + √2)', 'C)7(√3 – 1)', 'D)8(√3 – 2)', 'E)None of these']","Let the height of the tower be h. Let the initial distance of the car from the base of the tower be x.
When the angle of elevation is 45°, tan(45°) = h/x, so x = h.
Let the speed of the car be v. After 10 minutes, the distance traveled is 10v/60 = v/6.
The new distance from the base of the tower is x - v/6 = h - v/6.
When the angle of elevation is 60°, tan(60°) = h / (h - v/6), so √3 = h / (h - v/6).
√3(h - v/6) = h
√3h - (√3/6)v = h
(√3 - 1)h = (√3/6)v
v = 6(√3 - 1)h / √3
The remaining distance to the base of the tower is h - v/6.
Time taken to cover the remaining distance = (h - v/6) / v
= (h - (6(√3 - 1)h / √3)/6) / (6(√3 - 1)h / √3)
= (h - (√3 - 1)h / √3) / (6(√3 - 1)h / √3)
= (√3h - (√3 - 1)h) / (6(√3 - 1)h)
= (√3h - √3h + h) / (6(√3 - 1)h)
= h / (6(√3 - 1)h)
= 1 / (6(√3 - 1))
Time = 1/(6(√3 - 1)) hours
= 60/(6(√3 - 1)) minutes
= 10/(√3 - 1) minutes
= 10(√3 + 1)/(3 - 1) minutes
= 5(√3 + 1) minutes

Answer: {A)5(√3 + 1)}
"
1,"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?
# Answer option: ['A)$61', 'B)$65', 'C)$67.40', 'D)$70', 'E)$78.20']","Let the original price be 'x'.
The discounted price is x - 0.22x = 0.78x.
The customer paid 0.78x - 20.
This amount is $1.90 more than half the original price, so 0.78x - 20 = 0.5x + 1.90.
Simplifying the equation: 0.78x - 0.5x = 1.90 + 20
0.28x = 21.90
x = 21.90 / 0.28
x = 78.214 ≈ $78.20

Answer: {E}
"
2,"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?
# Answer option: ['A)36', 'B)15', 'C)17', 'D)5', 'E)7']","Here's how to solve this:

1. **Find the least common multiple (LCM) of 9 and 12:**  The multiples of 9 are 9, 18, 27, 36, 45...  The multiples of 12 are 12, 24, 36, 48... The smallest number that appears in both lists is 36.

2. **Check the answer choices:** We are looking for a multiple of the LCM (which is 36). Only 36 itself is a multiple of 36 among the given choices.

Answer: {A}
"
3,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?
# Answer option: ['A)0.22', 'B)0.26', 'C)0.37', 'D)0.46', 'E)0.63']","Here's how to solve this:

* **Probability of Stock A *not* increasing:** 1 - 0.56 = 0.44
* **Probability of Stock B *not* increasing:** 1 - 0.74 = 0.26

Since we want the greatest probability that *neither* event occurs, we assume the events are independent. In this scenario, the events not happening don't influence each other.  We then multiply the individual probabilities:

* **Probability of neither A nor B increasing:** 0.44 * 0.26 = 0.1144

Since the question asks for the *greatest* value, and 0.1144 is less than both 0.26 (Stock B not increasing) and 0.44 (Stock A not increasing),  the greatest probability that neither event will occur happens when Stock B doesn't increase (0.26).  This means it's possible that A *does* increase.

Answer: {B}
"
4,"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?
# Answer option: ['A)270', 'B)300', 'C)280', 'D)320', 'E)315']","Let the cost price of the article be 'x'.
The trader sold the article at a profit of 20%.
So, the selling price is x + (20/100)x = x + 0.2x = 1.2x
Given that the selling price is Rs. 360.
Therefore, 1.2x = 360
x = 360 / 1.2
x = 300

Answer: {B}
"
5,"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?
# Answer option: ['A)40', 'B)200', 'C)380', 'D)400', 'E)3200']","Here's how to solve this problem:

* **Second pull:** 1 out of 20 marbles was black, meaning 1/20 = 5% of the marbles pulled were black.
* **Percentage assumption:** The problem states this 5% represents the percentage of black marbles in the entire bag.
* **Finding the total:**  If 20 black marbles represent 5% of the total marbles, then the total number of marbles (Q) can be found by setting up a proportion:

   20 / Q = 5 / 100

   Cross-multiply: 5Q = 20 * 100
   5Q = 2000
   Q = 400

Answer: {D}
"
6,"Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct?
# Answer option: ['A)74453', 'B)64543', 'C)74325', 'D)65000', 'E)97656']","There are 26 letters in the English alphabet.
If the two letters need to be distinct, there are 26 choices for the first letter and 25 choices for the second letter.  This gives 26 * 25 = 650 letter combinations.
There are 10 digits (0-9). Since there are no restrictions on the numbers, there are 10 choices for the first digit and 10 choices for the second digit. This gives 10 * 10 = 100 number combinations.
The total number of distinct bike numbers is the product of the letter combinations and the number combinations: 650 * 100 = 65000.

Answer: {D}
"
7,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?
# Answer option: ['A)10', 'B)11.5', 'C)12.5', 'D)13.5', 'E)15']","Here's how to solve this:

1. **Calculate the total distance:** Distance = Speed * Time = 100 mph * 10 hours = 1000 miles

2. **Calculate the distance covered before the rain:** Quarter distance = 1000 miles / 4 = 250 miles

3. **Calculate the time taken to cover the first quarter:** Time = Distance / Speed = 250 miles / 100 mph = 2.5 hours

4. **Calculate the remaining distance:** Remaining distance = 1000 miles - 250 miles = 750 miles

5. **Calculate the time taken to cover the remaining distance in the rain:** Time = Distance / Speed = 750 miles / 75 mph = 10 hours

6. **Calculate the total journey duration:** Total time = Time before rain + Time in rain = 2.5 hours + 10 hours = 12.5 hours

Answer: {C}
"
8,"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?
# Answer option: ['A)27', 'B)81', 'C)90', 'D)99', 'E)110']","Here's how to solve this problem:

1. **Maximum who didn't attend prom:** If at least 45% attended, then at most 100% - 45% = 55% did not attend.  55% of 200 students is 0.55 * 200 = 110 students.

2. **Maximum who didn't attend debate:** If at least 35% attended the debate, then at most 100% - 35% = 65% did not attend. 65% of 200 students is 0.65 * 200 = 130 students.

3. **Maximum who didn't attend either:** The maximum number of students who could have done neither is the smaller of the two numbers calculated above, because some students may have skipped both events. In this case, the smaller number is 110.

Answer: {C}
"
9,"A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?
# Answer option: ['A)15', 'B)24', 'C)25', 'D)40', 'E)52']","Here's how to solve this:

1. **Calculate the commission per sale:** 10% of $250 is (10/100) * $250 = $25

2. **Determine the number of sales needed:** To earn $1000, the salesperson needs to make $1000 / $25 per sale = 40 sales.

Answer: {D}
"
