id,question,answer
3459,"We have three blocks. Lets call them A, B and C. A medium black square is in block A. Block B is to the right of block A. It contains a small yellow circle and one big blue square. Below and to the right of the big blue square there is the small yellow circle. Finally, we have block C which is to the right of block B. It contains a small yellow square. The small yellow square is below and to the left of a big yellow square. The big yellow square is touching the right edge of this block. What is to the right of the circle? a small yellow square or a big yellow square which is touching the right edge of a block?
0: small yellow square 
1: big yellow square  which is touching the right edge of  a block 
2: both of them
3: none of them","### Fact Extraction Reasoning:
To determine what is to the right of the circle, we need to identify the position of the circle and the objects in the blocks. The circle is described as being in block B, below and to the right of the big blue square. We need to know what is to the right of this circle, which involves understanding the layout of block C, as it is to the right of block B. The relevant information is the position of the small yellow square and the big yellow square in block C.

### Key Facts:
<fact1>block B is to the right of block A</fact1>
<fact2>It contains a small yellow circle</fact2>
<fact3>Below and to the right of the big blue square there is the small yellow circle</fact3>
<fact4>block C which is to the right of block B</fact4>
<fact5>It contains a small yellow square</fact5>
<fact6>The small yellow square is below and to the left of a big yellow square</fact6>
<fact7>The big yellow square is touching the right edge of this block</fact7>

### Reformatted Question:
We have three blocks. Lets call them A, B and C. A medium black square is in block A. <fact1>Block B is to the right of block A</fact1>. <fact2>It contains a small yellow circle</fact2> and one big blue square. <fact3>Below and to the right of the big blue square there is the small yellow circle</fact3>. Finally, we have <fact4>block C which is to the right of block B</fact4>. <fact5>It contains a small yellow square</fact5>. <fact6>The small yellow square is below and to the left of a big yellow square</fact6>. <fact7>The big yellow square is touching the right edge of this block</fact7>. What is to the right of the circle? a small yellow square or a big yellow square which is touching the right edge of a block?"
1578,"There are two blocks, A and B. Block A is to the left of B. Block A contains three medium yellow squares. Medium yellow square number one is touching the bottom edge of this block. Below medium yellow square number three is medium yellow square number two. Below medium yellow square number three is medium yellow square number one. This shape is below the medium yellow square number two. Block B has two medium yellow squares. Below medium yellow square number two and medium yellow square number one there is a medium black square. Medium yellow square number one is below medium yellow square number two. Which object is below a medium yellow square? the shape that is touching the bottom edge of a block or medium yellow square number one?
0: the shape that is touching the bottom edge of a block 
1: medium yellow square  number one
2: both of them
3: none of them","### Fact Extraction Reasoning:
To determine which object is below a medium yellow square, we need to identify the positions of the medium yellow squares and what is directly below them. The problem describes the arrangement of squares in blocks A and B. In Block A, medium yellow square number one is touching the bottom edge, and below medium yellow square number three is medium yellow square number two, and below medium yellow square number three is medium yellow square number one. In Block B, medium yellow square number one is below medium yellow square number two, and below both medium yellow squares is a medium black square. The key is to identify what is directly below each medium yellow square.

### Key Facts:
<fact1>Below medium yellow square number three is medium yellow square number two</fact1>
<fact2>Below medium yellow square number three is medium yellow square number one</fact2>
<fact3>Below medium yellow square number two and medium yellow square number one there is a medium black square</fact3>

### Reformatted Question:
There are two blocks, A and B. Block A is to the left of B. Block A contains three medium yellow squares. Medium yellow square number one is touching the bottom edge of this block. <fact1>Below medium yellow square number three is medium yellow square number two</fact1>. <fact2>Below medium yellow square number three is medium yellow square number one</fact2>. This shape is below the medium yellow square number two. Block B has two medium yellow squares. <fact3>Below medium yellow square number two and medium yellow square number one there is a medium black square</fact3>. Medium yellow square number one is below medium yellow square number two. Which object is below a medium yellow square? the shape that is touching the bottom edge of a block or medium yellow square number one?
0: the shape that is touching the bottom edge of a block 
1: medium yellow square  number one
2: both of them
3: none of them"
3105,"There are three blocks. We call them A, B and C. Block A contains one medium yellow square and a medium black square. Below the medium black square there is the medium yellow square. Block B is above block A. It has two medium yellow squares. Medium yellow square number one is below medium yellow square number two. Finally, there is block C to the left of block B. It has a medium blue square. Which object is below a medium yellow square? the medium black square or the blue shape?
0: the medium black square 
1: the blue shape
2: both of them
3: none of them","### Fact Extraction Reasoning:
To determine which object is below a medium yellow square, we need to identify the positions of the medium yellow squares and the objects directly below them. The text describes the arrangement of squares in blocks A, B, and C. In block A, the medium black square is mentioned as being below the medium yellow square. In block B, the arrangement of two medium yellow squares is described, but no object is mentioned as being below them. Block C contains a medium blue square, but there is no mention of it being below a medium yellow square.

### Key Facts:
<fact1>Below the medium black square there is the medium yellow square</fact1>.

### Reformatted Question:
There are three blocks. We call them A, B and C. Block A contains one medium yellow square and a medium black square. <fact1>Below the medium black square there is the medium yellow square</fact1>. Block B is above block A. It has two medium yellow squares. Medium yellow square number one is below medium yellow square number two. Finally, there is block C to the left of block B. It has a medium blue square. Which object is below a medium yellow square? the medium black square or the blue shape?"
1723,"We have three blocks, A, B and C. There is a medium yellow square in block A. To the left of block A there is block B which contains a small blue square and one big black triangle. The small blue square is far from, below and to the left of the big black triangle. Finally, we have block C. It is below block A. It has one medium black triangle, a small black triangle and a medium black circle. This block also has a small blue circle. Below the medium black triangle there is a big black square. The medium black triangle is to the right of the small black triangle. To the right of and near to the medium black circle there is the small black triangle. To the right of the black shape which is to the right of the medium black circle there is the big black square. What is to the right of the medium black circle? a medium black triangle or a medium yellow square?
0: medium black triangle 
1: medium yellow square 
2: both of them
3: none of them","### Fact Extraction Reasoning:
To determine what is to the right of the medium black circle, we need to focus on the description of block C, where the medium black circle is located. The text specifies the relative positions of the shapes within block C. The key information is the position of the small black triangle and the big black square in relation to the medium black circle.

### Key Facts:
<fact1>To the right of and near to the medium black circle there is the small black triangle</fact1>
<fact2>To the right of the black shape which is to the right of the medium black circle there is the big black square</fact2>

### Reformatted Question:
We have three blocks, A, B and C. There is a medium yellow square in block A. To the left of block A there is block B which contains a small blue square and one big black triangle. The small blue square is far from, below and to the left of the big black triangle. Finally, we have block C. It is below block A. It has one medium black triangle, a small black triangle and a medium black circle. This block also has a small blue circle. Below the medium black triangle there is a big black square. The medium black triangle is to the right of the small black triangle. <fact1>To the right of and near to the medium black circle there is the small black triangle</fact1>. <fact2>To the right of the black shape which is to the right of the medium black circle there is the big black square</fact2>. What is to the right of the medium black circle? a medium black triangle or a medium yellow square?"
166,"We have three blocks. Lets call them A, B and C. One medium black square and a medium blue square are in block A. The medium black square is touching the bottom edge of this block. This object is below the medium blue square. To the right of block A we have block B which has two medium yellow squares. Medium yellow square number one is touching the bottom edge of this block. It is below medium yellow square number two. Above block A there is block C. It has two medium blue squares. Below medium blue square number two and a medium yellow square there is medium blue square number one. Below the medium yellow square there is medium blue square number two. Which object is above a medium square? medium yellow square number two or the medium yellow square that is in block C?
0: medium yellow square  number two
1: the medium yellow square  that is in block C
2: both of them
3: none of them","### Fact Extraction Reasoning:
To determine which object is above a medium square, we need to focus on the positions of the medium yellow squares and their relative positions to other squares. The key is to identify the positions of the medium yellow squares in relation to the medium blue squares.

### Key Facts:
<fact1>Medium yellow square number one is touching the bottom edge of this block. It is below medium yellow square number two.</fact1>
<fact2>Below the medium yellow square there is medium blue square number two.</fact2>

### Reformatted Question:
We have three blocks. Lets call them A, B and C. One medium black square and a medium blue square are in block A. The medium black square is touching the bottom edge of this block. This object is below the medium blue square. To the right of block A we have block B which has two medium yellow squares. <fact1>Medium yellow square number one is touching the bottom edge of this block. It is below medium yellow square number two.</fact1> Above block A there is block C. It has two medium blue squares. Below medium blue square number two and a medium yellow square there is medium blue square number one. <fact2>Below the medium yellow square there is medium blue square number two.</fact2> Which object is above a medium square? medium yellow square number two or the medium yellow square that is in block C?
0: medium yellow square  number two
1: the medium yellow square  that is in block C
2: both of them
3: none of them"
1061,"There are three blocks, A, B and C. Block A is to the right of C. Block C is to the right of B. Block A has two medium yellow squares. There is also a medium black square in this block. Below medium yellow square number two and the medium black square there is medium yellow square number one. Below the medium black square there is medium yellow square number two. Block B has one medium blue square. And block C has a medium blue square. Which object is to the right of a medium blue square? medium yellow square number one or medium yellow square number two?
0: medium yellow square  number one
1: medium yellow square  number two
2: both of them
3: none of them","### Fact Extraction Reasoning:
To determine which object is to the right of a medium blue square, we need to understand the spatial arrangement of the blocks and the squares within them. The key information involves the relative positions of the blocks and the specific locations of the medium yellow squares within Block A. The position of Block A relative to Block C, and Block C relative to Block B, is crucial to understanding which squares are to the right of the medium blue squares.

### Key Facts:
<fact1>Block A is to the right of C</fact1>
<fact2>Block C is to the right of B</fact2>
<fact3>Block A has two medium yellow squares</fact3>
<fact4>Block B has one medium blue square</fact4>
<fact5>block C has a medium blue square</fact5>
<fact6>Below medium yellow square number two and the medium black square there is medium yellow square number one</fact6>
<fact7>Below the medium black square there is medium yellow square number two</fact7>

### Reformatted Question:
There are three blocks, A, B and C. <fact1>Block A is to the right of C</fact1>. <fact2>Block C is to the right of B</fact2>. <fact3>Block A has two medium yellow squares</fact3>. There is also a medium black square in this block. <fact6>Below medium yellow square number two and the medium black square there is medium yellow square number one</fact6>. <fact7>Below the medium black square there is medium yellow square number two</fact7>. <fact4>Block B has one medium blue square</fact4>. And <fact5>block C has a medium blue square</fact5>. Which object is to the right of a medium blue square? medium yellow square number one or medium yellow square number two?"
2095,"There are three blocks. Lets call them A, B and C. Block A contains two medium blue squares. Medium blue square number one is below medium blue square number two and a medium black square. This shape is touching the bottom edge of this block. The medium black square is below medium blue square number two. Above block A there is block B which has three medium yellow squares. Medium yellow square number one is touching the bottom edge of this block. Medium yellow square number two is below medium yellow square number three. Medium yellow square number one is below medium yellow square number three and medium yellow square number two. To the right of block B there is block C. It has two medium blue squares. Below medium blue square number two there is medium blue square number one. Which object is above a medium blue square? medium yellow square number two or the medium yellow square that is touching the bottom edge of a block?
0: medium yellow square  number two
1: the medium yellow square  that is touching the bottom edge of a block 
2: both of them
3: none of them","### Fact Extraction Reasoning:
To determine which object is above a medium blue square, we need to focus on the spatial relationships described in the text. Specifically, we need to identify the positions of the medium yellow squares in relation to the medium blue squares. The key information involves the arrangement of squares within blocks A, B, and C, and how these blocks are positioned relative to each other.

### Key Facts:
<fact1>Block A contains two medium blue squares</fact1>
<fact2>Above block A there is block B</fact2>
<fact3>block B which has three medium yellow squares</fact3>
<fact4>Medium yellow square number two is below medium yellow square number three</fact4>
<fact5>Medium yellow square number one is touching the bottom edge of this block</fact5>

### Reformatted Question:
There are three blocks. <fact1>Block A contains two medium blue squares</fact1>. Medium blue square number one is below medium blue square number two and a medium black square. This shape is touching the bottom edge of this block. The medium black square is below medium blue square number two. <fact2>Above block A there is block B</fact2> which has <fact3>three medium yellow squares</fact3>. <fact5>Medium yellow square number one is touching the bottom edge of this block</fact5>. <fact4>Medium yellow square number two is below medium yellow square number three</fact4>. Medium yellow square number one is below medium yellow square number three and medium yellow square number two. To the right of block B there is block C. It has two medium blue squares. Below medium blue square number two there is medium blue square number one. Which object is above a medium blue square? medium yellow square number two or the medium yellow square that is touching the bottom edge of a block?
0: medium yellow square  number two
1: the medium yellow square  that is touching the bottom edge of a block 
2: both of them
3: none of them"
1991,"There are three blocks. Lets call them A, B and C. Block A is to the left of B. Block B is below C. Block A has one medium blue square. Block B has one medium blue square and one medium yellow square. This block also contains one medium black square. It is below the medium yellow square. The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square. And block C contains a medium yellow square. Which object is below a medium yellow square? the medium blue square that is touching the bottom edge of a block or the medium black square?
0: the medium blue square  that is touching the bottom edge of a block 
1: the medium black square 
2: both of them
3: none of them","### Fact Extraction Reasoning:
To determine which object is below a medium yellow square, we need to identify the positions of the medium yellow squares and the objects directly below them. Block B contains a medium yellow square, a medium black square, and a medium blue square. The medium black square is below the medium yellow square, and the medium blue square is below both the medium yellow square and the medium black square. Therefore, both the medium black square and the medium blue square are below a medium yellow square.

### Key Facts:
<fact1>Block B has one medium blue square and one medium yellow square.</fact1>
<fact2>This block also contains one medium black square. It is below the medium yellow square.</fact2>
<fact3>The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square.</fact3>

### Reformatted Question:
There are three blocks. Lets call them A, B and C. Block A is to the left of B. <fact1>Block B has one medium blue square and one medium yellow square.</fact1> <fact2>This block also contains one medium black square. It is below the medium yellow square.</fact2> <fact3>The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square.</fact3> And block C contains a medium yellow square. Which object is below a medium yellow square? the medium blue square that is touching the bottom edge of a block or the medium black square?"
1659,"We have three blocks. We call them A, B and C. Block C is to the left of A. Block A is above B. Block A has one medium yellow square. Block B has a medium blue square and a medium black square. There is also a medium yellow square in this block. It is below the medium black square. The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square. And block C has one medium yellow square. Which object is below a medium yellow square? the medium yellow square which is in block B or the medium yellow square which is in block C?
0: the medium yellow square  which is in block B
1: the medium yellow square  which is in block C
2: both of them
3: none of them","### Fact Extraction Reasoning:
To determine which object is below a medium yellow square, we need to focus on the descriptions of the blocks and the positions of the squares within them. The key information involves the relative positions of the squares in block B and block C. Specifically, we need to identify what is below the medium yellow square in each block.

### Key Facts:
<fact1>Block B has a medium blue square and a medium black square. There is also a medium yellow square in this block. It is below the medium black square.</fact1>
<fact2>The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square.</fact2>
<fact3>Block C has one medium yellow square.</fact3>

### Reformatted Question:
We have three blocks. We call them A, B and C. Block C is to the left of A. Block A is above B. Block A has one medium yellow square. <fact1>Block B has a medium blue square and a medium black square. There is also a medium yellow square in this block. It is below the medium black square.</fact1> <fact2>The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square.</fact2> And <fact3>block C has one medium yellow square.</fact3> Which object is below a medium yellow square? the medium yellow square which is in block B or the medium yellow square which is in block C?"
3211,"There are two blocks. Lets call them A and B. Block A is above B. Block A has two medium yellow squares. Medium yellow square number one is below medium yellow square number two and a medium blue square.. Below medium yellow square number two is the medium blue square. Block B has one medium black square. There is also a medium yellow square touching the bottom edge of this block. The medium yellow square is below the medium black square. Which object is above a medium yellow square? the blue thing or the medium black square?
0: the blue thing
1: the medium black square 
2: both of them
3: none of them","### Fact Extraction Reasoning:
To determine which object is above a medium yellow square, we need to identify the positions of the blue thing and the medium black square in relation to the medium yellow squares. The key information involves the relative positions of these objects within their respective blocks.

### Key Facts:
<fact1>medium yellow square number one is below medium yellow square number two and a medium blue square</fact1>
<fact2>Below medium yellow square number two is the medium blue square</fact2>
<fact3>Block B has one medium black square</fact3>
<fact4>medium yellow square touching the bottom edge of this block</fact4>
<fact5>The medium yellow square is below the medium black square</fact5>

### Reformatted Question:
There are two blocks. Lets call them A and B. Block A has two medium yellow squares. <fact1>Medium yellow square number one is below medium yellow square number two and a medium blue square</fact1>. <fact2>Below medium yellow square number two is the medium blue square</fact2>. Block B has one medium black square. There is also a <fact4>medium yellow square touching the bottom edge of this block</fact4>. <fact5>The medium yellow square is below the medium black square</fact5>. Which object is above a medium yellow square? the blue thing or the medium black square?"
