id,question,answer
0,"For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left?","Reformatted Question: For Halloween, Debby and her sister combined the candy they received. Debby had <fact1>32 pieces of candy</fact1> while her sister had <fact2>42</fact2>. If they ate <fact3>35 pieces the first night</fact3>, how many pieces do they have left?
Answer: Debby had <fact1>32 pieces of candy</fact1> and her sister had <fact2>42</fact2>, making a total of 32+42=74 pieces. After eating <fact3>35 pieces</fact3> the first night, they have 74−<fact3>35</fact3>=39 pieces left. The answer is {39}."
1,A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left?,"Reformatted Question: A pet store had <fact1>13 siamese cats</fact1> and <fact2>5 house cats</fact2>. During a sale, they sold <fact3>10 cats</fact3>. How many cats do they have left?
Answer: The pet store had <fact1>13 siamese cats</fact1> and <fact2>5 house cats</fact2>, totaling <fact1>13</fact1>+<fact2>5</fact2>=18 cats. After selling <fact3>10 cats</fact3>, they have 18−<fact3>10</fact3>=8 cats left. The answer is {8}."
2,"Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with?","Reformatted Question: Luke was trying to expand his game collection. He bought <fact1>2 games from a friend</fact1> and bought <fact2>2 more at a garage sale</fact2>. If <fact3>2 of the games didn't work</fact3>, how many good games did he end up with?
Answer: Luke bought <fact1>2 games from a friend</fact1> and <fact2>2 more at a garage sale</fact2>, making 2+2=4 games total. Since <fact3>2 of the games didn't work</fact3>, he has 4−<fact3>2</fact3>=2 good games left. The answer is {2}."
3,"The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with?","Reformatted Question: The school cafeteria ordered <fact1>42 red apples</fact1> and <fact2>7 green apples</fact2> for students' lunches. But, if only <fact3>9 students wanted fruit</fact3>, how many extra did the cafeteria end up with?
Answer: The cafeteria ordered <fact1>42 red apples</fact1> and <fact2>7 green apples</fact2>, totaling 42+<fact2>7</fact2>=49 apples. Since <fact3>only 9 students wanted fruit</fact3>, they only needed 9 apples. The cafeteria ended up with 49-<fact3>9</fact3>=40 extra apples. The answer is {40}."
4,"Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick?","Reformatted Question: Lana picked <fact1>36 tulips</fact1> and <fact2>37 roses</fact2> to make flower bouquets. If she only used <fact3>70 of the flowers though</fact3>, how many extra flowers did Lana pick?
Answer: Lana picked <fact1>36 tulips</fact1> and <fact2>37 roses</fact2>, totaling <fact1>36</fact1>+<fact2>37</fact2>=73 flowers. Since she only used <fact3>70</fact3> flowers, she has 73−<fact3>70</fact3>=3 extra flowers. The answer is {3}."
5,"Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have?","Reformatted Question: Carol and her mom were picking carrots from their garden. Carol picked <fact1>29</fact1> and her mother picked <fact2>16</fact2>. If only <fact3>38 of the carrots were good</fact3>, how many bad carrots did they have?

Answer: Carol and her mom picked <fact1>29</fact1> and <fact2>16</fact2> carrots, totaling <fact1>29</fact1>+<fact2>16</fact2>=<fact4>45</fact4> carrots. Since only <fact3>38 of the carrots were good</fact3>, the number of bad carrots can be found by subtracting <fact3>38</fact3> from <fact4>45</fact4>, resulting in <fact4>45</fact4>−<fact3>38</fact3>=<fact5>7</fact5> bad carrots. The answer is {7}."
6,Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now?,"Reformatted Question: Roger had <fact1>$16</fact1>. For his birthday he got <fact2>$28 more</fact2> but spent <fact3>$25 on a new game</fact3>. How much money does he have now?
Answer: Roger started with <fact1>$16</fact1>. He got <fact2>$28 more</fact2>, so he now has <fact1>$16</fact1> + <fact2>$28</fact2> = <fact4>$44</fact4>. Then, he spent <fact3>$25</fact3> on a new game, leaving him with <fact4>$44</fact4> - <fact3>$25</fact3> = <fact5>$19</fact5>. The answer is {19}."
7,"While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have?","Reformatted Question: While on vacation, Megan took <fact1>15 pictures at the zoo</fact1> and <fact2>18 at the museum</fact2>. If she later deleted <fact3>31 of the pictures</fact3>, how many pictures from her vacation did she still have?
Answer: Megan took <fact1>15 pictures at the zoo</fact1> and <fact2>18 at the museum</fact2>, totaling <fact1>15</fact1>+<fact2>18</fact2>=33 pictures. After deleting <fact3>31</fact3>, she has 33−<fact3>31</fact3>=2 pictures left. The answer is {2}."
8,Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color?,"Reformatted Question: Rachel bought <fact1>two coloring books</fact1>. One had <fact2>23 pictures</fact2> and the other had <fact3>32 pictures</fact3>. After <fact4>one week</fact4> she had already colored <fact5>44 of the pictures</fact5>. How many pictures does she still have to color?

Answer: Rachel bought <fact1>two coloring books</fact1>, one with <fact2>23 pictures</fact2> and the other with <fact3>32 pictures</fact3>, totaling <fact2>23</fact2>+<fact3>32</fact3>=55 pictures. After <fact4>one week</fact4>, she had already colored <fact5>44</fact5> of the pictures, leaving her with 55−<fact5>44</fact5>=11 pictures to color. The answer is {11}."
9,"Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash?","Reformatted Question: Ned had to wash <fact1>9 short sleeve shirts</fact1> and <fact2>21 long sleeve shirts</fact2> before school. If he had only washed <fact3>29 of them</fact3> by the time school started, how many did he not wash?
Answer: Ned had to wash <fact1>9 short sleeve shirts</fact1> and <fact2>21 long sleeve shirts</fact2>, totaling <fact1>9</fact1>+<fact2>21</fact2>=30 shirts. Since he had only washed <fact3>29</fact3> by the time school started, he didn't wash 30−<fact3>29</fact3>=1 shirt. The answer is {1}."
