id,question,answer
0,"Yesterday was April 30, 2021. What is the date today in MM/DD/YYYY?","Answer: Yesterday was April 30th, 2021.  Today is the day after yesterday, so today is May 1st, 2021.

Answer: {05/01/2021}
"
1,"Yesterday was April 30, 2021. What is the date yesterday in MM/DD/YYYY?","Answer: Yesterday was 04/30/2021.  The question asks for the date *yesterday*, which was already stated as April 30th, 2021.

Answer: {04/30/2021}
"
2,"Yesterday was April 30, 2021. What is the date 10 days ago in MM/DD/YYYY?","Answer: Yesterday was 04/30/2021.  To find the date 10 days ago, we subtract 10 days from 04/30/2021. This gives us 04/20/2021.

Answer: {04/20/2021}
"
3,"Yesterday was April 30, 2021. What is the date a month ago in MM/DD/YYYY?","Answer: Yesterday was April 30th, 2021.  Therefore, today is May 1st, 2021. A month ago from May 1st, 2021 would be April 1st, 2021.

Answer: {04/01/2021}
"
4,"Yesterday was April 30, 2021. What is the date one year ago from today in MM/DD/YYYY?","Yesterday was April 30, 2021.  Therefore, today is May 1, 2021. One year ago from today would be May 1, 2020.

Answer: {05/01/2020}
"
5,"Yesterday was April 30, 2021. What is the date one week ago from today in MM/DD/YYYY?","Answer: Yesterday was April 30th, 2021.  Therefore, today is May 1st, 2021. One week ago from today would be April 24th, 2021.

Answer: {04/24/2021}
"
6,"Yesterday was April 30, 2021. What is the date one week from today in MM/DD/YYYY?","Answer: Yesterday was April 30th, 2021.  Therefore, today is May 1st, 2021. One week from today is May 8th, 2021.

The answer is {05/08/2021}
"
7,"Yesterday was April 30, 2021. What is the date 24 hours later in MM/DD/YYYY?","Answer: Yesterday was 04/30/2021.  24 hours later is one day later, which is May 1st, 2021.

The answer is {05/01/2021}
"
8,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date today in MM/DD/YYYY?","The deadline is June 1st, 2021, and it is 2 days away.  This means that today is two days before June 1st, 2021.  Therefore, today's date is May 30th, 2021.

Answer: {05/30/2021}
"
9,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date tomorrow in MM/DD/YYYY?","The deadline is June 1st, 2021, and that is 2 days away.  This means today is May 31st, 2021. Tomorrow will be June 1st, 2021.

Answer: {06/01/2021}
"
