id,question,answer
3459,"We have three blocks. Lets call them A, B and C. A medium black square is in block A. Block B is to the right of block A. It contains a small yellow circle and one big blue square. Below and to the right of the big blue square there is the small yellow circle. Finally, we have block C which is to the right of block B. It contains a small yellow square. The small yellow square is below and to the left of a big yellow square. The big yellow square is touching the right edge of this block. What is to the right of the circle? a small yellow square or a big yellow square which is touching the right edge of a block?
0: small yellow square 
1: big yellow square  which is touching the right edge of  a block 
2: both of them
3: none of them","### Key Facts:
<fact1>block B is to the right of block A</fact1>
<fact2>It contains a small yellow circle</fact2>
<fact3>block C which is to the right of block B</fact3>
<fact4>It contains a small yellow square</fact4>
<fact5>The small yellow square is below and to the left of a big yellow square</fact5>
<fact6>The big yellow square is touching the right edge of this block</fact6>

### Reformatted Question:
We have three blocks. Lets call them A, B and C. A medium black square is in block A. <fact1>Block B is to the right of block A</fact1>. <fact2>It contains a small yellow circle</fact2> and one big blue square. Below and to the right of the big blue square there is the small yellow circle. Finally, we have <fact3>block C which is to the right of block B</fact3>. <fact4>It contains a small yellow square</fact4>. <fact5>The small yellow square is below and to the left of a big yellow square</fact5>. <fact6>The big yellow square is touching the right edge of this block</fact6>. What is to the right of the circle? a small yellow square or a big yellow square which is touching the right edge of a block? 0: small yellow square 1: big yellow square which is touching the right edge of a block 2: both of them 3: none of them"
1578,"There are two blocks, A and B. Block A is to the left of B. Block A contains three medium yellow squares. Medium yellow square number one is touching the bottom edge of this block. Below medium yellow square number three is medium yellow square number two. Below medium yellow square number three is medium yellow square number one. This shape is below the medium yellow square number two. Block B has two medium yellow squares. Below medium yellow square number two and medium yellow square number one there is a medium black square. Medium yellow square number one is below medium yellow square number two. Which object is below a medium yellow square? the shape that is touching the bottom edge of a block or medium yellow square number one?
0: the shape that is touching the bottom edge of a block 
1: medium yellow square  number one
2: both of them
3: none of them","### Key Facts:
<fact1>Medium yellow square number one is touching the bottom edge of this block</fact1>
<fact2>Below medium yellow square number three is medium yellow square number two</fact2>
<fact3>Below medium yellow square number three is medium yellow square number one</fact3>
<fact4>Below medium yellow square number two and medium yellow square number one there is a medium black square</fact4>
<fact5>Medium yellow square number one is below medium yellow square number two</fact5>

### Reformatted Question:
There are two blocks, A and B. Block A is to the left of B. Block A contains three medium yellow squares. <fact1>Medium yellow square number one is touching the bottom edge of this block</fact1>. <fact2>Below medium yellow square number three is medium yellow square number two</fact2>. <fact3>Below medium yellow square number three is medium yellow square number one</fact3>. This shape is below the medium yellow square number two. Block B has two medium yellow squares. <fact4>Below medium yellow square number two and medium yellow square number one there is a medium black square</fact4>. <fact5>Medium yellow square number one is below medium yellow square number two</fact5>. Which object is below a medium yellow square? the shape that is touching the bottom edge of a block or medium yellow square number one?
0: the shape that is touching the bottom edge of a block 
1: medium yellow square  number one
2: both of them
3: none of them"
3105,"There are three blocks. We call them A, B and C. Block A contains one medium yellow square and a medium black square. Below the medium black square there is the medium yellow square. Block B is above block A. It has two medium yellow squares. Medium yellow square number one is below medium yellow square number two. Finally, there is block C to the left of block B. It has a medium blue square. Which object is below a medium yellow square? the medium black square or the blue shape?
0: the medium black square 
1: the blue shape
2: both of them
3: none of them","### Key Facts:
<fact1>Block A contains one medium yellow square and a medium black square</fact1>
<fact2>Below the medium black square there is the medium yellow square</fact2>
<fact3>Block B is above block A</fact3>
<fact4>It has two medium yellow squares</fact4>
<fact5>Medium yellow square number one is below medium yellow square number two</fact5>
<fact6>block C to the left of block B</fact6>
<fact7>It has a medium blue square</fact7>

### Reformatted Question:
There are three blocks. We call them A, B and C. <fact1>Block A contains one medium yellow square and a medium black square</fact1>. <fact2>Below the medium black square there is the medium yellow square</fact2>. <fact3>Block B is above block A</fact3>. <fact4>It has two medium yellow squares</fact4>. <fact5>Medium yellow square number one is below medium yellow square number two</fact5>. Finally, there is <fact6>block C to the left of block B</fact6>. <fact7>It has a medium blue square</fact7>. Which object is below a medium yellow square? the medium black square or the blue shape? 0: the medium black square 1: the blue shape 2: both of them 3: none of them"
1723,"We have three blocks, A, B and C. There is a medium yellow square in block A. To the left of block A there is block B which contains a small blue square and one big black triangle. The small blue square is far from, below and to the left of the big black triangle. Finally, we have block C. It is below block A. It has one medium black triangle, a small black triangle and a medium black circle. This block also has a small blue circle. Below the medium black triangle there is a big black square. The medium black triangle is to the right of the small black triangle. To the right of and near to the medium black circle there is the small black triangle. To the right of the black shape which is to the right of the medium black circle there is the big black square. What is to the right of the medium black circle? a medium black triangle or a medium yellow square?
0: medium black triangle 
1: medium yellow square 
2: both of them
3: none of them","### Key Facts:
<fact1>To the right of and near to the medium black circle there is the small black triangle</fact1>

### Reformatted Question:
We have three blocks, A, B and C. There is a medium yellow square in block A. To the left of block A there is block B which contains a small blue square and one big black triangle. The small blue square is far from, below and to the left of the big black triangle. Finally, we have block C. It is below block A. It has one medium black triangle, a small black triangle and a medium black circle. This block also has a small blue circle. Below the medium black triangle there is a big black square. The medium black triangle is to the right of the small black triangle. <fact1>To the right of and near to the medium black circle there is the small black triangle</fact1>. To the right of the black shape which is to the right of the medium black circle there is the big black square. What is to the right of the medium black circle? a medium black triangle or a medium yellow square?"
166,"We have three blocks. Lets call them A, B and C. One medium black square and a medium blue square are in block A. The medium black square is touching the bottom edge of this block. This object is below the medium blue square. To the right of block A we have block B which has two medium yellow squares. Medium yellow square number one is touching the bottom edge of this block. It is below medium yellow square number two. Above block A there is block C. It has two medium blue squares. Below medium blue square number two and a medium yellow square there is medium blue square number one. Below the medium yellow square there is medium blue square number two. Which object is above a medium square? medium yellow square number two or the medium yellow square that is in block C?
0: medium yellow square  number two
1: the medium yellow square  that is in block C
2: both of them
3: none of them","### Key Facts:
<fact1>Medium yellow square number two is touching the bottom edge of this block. It is below medium yellow square number two.</fact1>
<fact2>Below the medium yellow square there is medium blue square number two.</fact2>

### Reformatted Question:
We have three blocks. Lets call them A, B and C. One medium black square and a medium blue square are in block A. The medium black square is touching the bottom edge of this block. This object is below the medium blue square. To the right of block A we have block B which has two medium yellow squares. <fact1>Medium yellow square number one is touching the bottom edge of this block. It is below medium yellow square number two.</fact1> Above block A there is block C. It has two medium blue squares. Below medium blue square number two and a medium yellow square there is medium blue square number one. <fact2>Below the medium yellow square there is medium blue square number two.</fact2> Which object is above a medium square? medium yellow square number two or the medium yellow square that is in block C?"
1061,"There are three blocks, A, B and C. Block A is to the right of C. Block C is to the right of B. Block A has two medium yellow squares. There is also a medium black square in this block. Below medium yellow square number two and the medium black square there is medium yellow square number one. Below the medium black square there is medium yellow square number two. Block B has one medium blue square. And block C has a medium blue square. Which object is to the right of a medium blue square? medium yellow square number one or medium yellow square number two?
0: medium yellow square  number one
1: medium yellow square  number two
2: both of them
3: none of them","### Key Facts:
<fact1>Block A is to the right of C</fact1>
<fact2>Block C is to the right of B</fact2>
<fact3>Block B has one medium blue square</fact3>
<fact4>block C has a medium blue square</fact4>
<fact5>Below medium yellow square number two and the medium black square there is medium yellow square number one</fact5>
<fact6>Below the medium black square there is medium yellow square number two</fact6>

### Reformatted Question:
There are three blocks, A, B and C. <fact1>Block A is to the right of C</fact1>. <fact2>Block C is to the right of B</fact2>. Block A has two medium yellow squares. There is also a medium black square in this block. <fact5>Below medium yellow square number two and the medium black square there is medium yellow square number one</fact5>. <fact6>Below the medium black square there is medium yellow square number two</fact6>. <fact3>Block B has one medium blue square</fact3>. And <fact4>block C has a medium blue square</fact4>. Which object is to the right of a medium blue square? medium yellow square number one or medium yellow square number two? 0: medium yellow square number one 1: medium yellow square number two 2: both of them 3: none of them"
2095,"There are three blocks. Lets call them A, B and C. Block A contains two medium blue squares. Medium blue square number one is below medium blue square number two and a medium black square. This shape is touching the bottom edge of this block. The medium black square is below medium blue square number two. Above block A there is block B which has three medium yellow squares. Medium yellow square number one is touching the bottom edge of this block. Medium yellow square number two is below medium yellow square number three. Medium yellow square number one is below medium yellow square number three and medium yellow square number two. To the right of block B there is block C. It has two medium blue squares. Below medium blue square number two there is medium blue square number one. Which object is above a medium blue square? medium yellow square number two or the medium yellow square that is touching the bottom edge of a block?
0: medium yellow square  number two
1: the medium yellow square  that is touching the bottom edge of a block 
2: both of them
3: none of them","### Key Facts:
<fact1>Medium blue square number one is below medium blue square number two</fact1>
<fact2>Medium yellow square number two is below medium yellow square number three</fact2>

### Reformatted Question:
There are three blocks. Lets call them A, B and C. Block A contains two medium blue squares. <fact1>Medium blue square number one is below medium blue square number two</fact1> and a medium black square. This shape is touching the bottom edge of this block. The medium black square is below medium blue square number two. Above block A there is block B which has three medium yellow squares. Medium yellow square number one is touching the bottom edge of this block. <fact2>Medium yellow square number two is below medium yellow square number three</fact2>. Medium yellow square number one is below medium yellow square number three and medium yellow square number two. To the right of block B there is block C. It has two medium blue squares. Below medium blue square number two there is medium blue square number one. Which object is above a medium blue square? medium yellow square number two or the medium yellow square that is touching the bottom edge of a block?
0: medium yellow square  number two
1: the medium yellow square  that is touching the bottom edge of a block 
2: both of them
3: none of them"
1991,"There are three blocks. Lets call them A, B and C. Block A is to the left of B. Block B is below C. Block A has one medium blue square. Block B has one medium blue square and one medium yellow square. This block also contains one medium black square. It is below the medium yellow square. The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square. And block C contains a medium yellow square. Which object is below a medium yellow square? the medium blue square that is touching the bottom edge of a block or the medium black square?
0: the medium blue square  that is touching the bottom edge of a block 
1: the medium black square 
2: both of them
3: none of them","### Key Facts:
<fact1>Block B has one medium blue square and one medium yellow square.</fact1>
<fact2>Block B also contains one medium black square. It is below the medium yellow square.</fact2>
<fact3>The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square.</fact3>

### Reformatted Question:
There are three blocks. Lets call them A, B and C. Block A is to the left of B. <fact1>Block B has one medium blue square and one medium yellow square.</fact1> <fact2>Block B also contains one medium black square. It is below the medium yellow square.</fact2> <fact3>The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square.</fact3> And block C contains a medium yellow square. Which object is below a medium yellow square? the medium blue square that is touching the bottom edge of a block or the medium black square? 0: the medium blue square that is touching the bottom edge of a block 1: the medium black square 2: both of them 3: none of them"
1659,"We have three blocks. We call them A, B and C. Block C is to the left of A. Block A is above B. Block A has one medium yellow square. Block B has a medium blue square and a medium black square. There is also a medium yellow square in this block. It is below the medium black square. The medium blue square is touching the bottom edge of this block. It is below the medium yellow square and the medium black square. And block C has one medium yellow square. Which object is below a medium yellow square? the medium yellow square which is in block B or the medium yellow square which is in block C?
0: the medium yellow square  which is in block B
1: the medium yellow square  which is in block C
2: both of them
3: none of them","### Key Facts:
<fact1>Block B has a medium blue square</fact1>
<fact2>medium blue square is touching the bottom edge of this block</fact2>
<fact3>medium blue square is below the medium yellow square</fact3>

### Reformatted Question:
We have three blocks. We call them A, B and C. Block C is to the left of A. Block A is above B. Block A has one medium yellow square. Block B has a <fact1>medium blue square</fact1> and a medium black square. There is also a medium yellow square in this block. It is below the medium black square. The <fact2>medium blue square is touching the bottom edge of this block</fact2>. It is <fact3>below the medium yellow square</fact3> and the medium black square. And block C has one medium yellow square. Which object is below a medium yellow square? the medium yellow square which is in block B or the medium yellow square which is in block C?
0: the medium yellow square  which is in block B
1: the medium yellow square  which is in block C
2: both of them
3: none of them"
3211,"There are two blocks. Lets call them A and B. Block A is above B. Block A has two medium yellow squares. Medium yellow square number one is below medium yellow square number two and a medium blue square.. Below medium yellow square number two is the medium blue square. Block B has one medium black square. There is also a medium yellow square touching the bottom edge of this block. The medium yellow square is below the medium black square. Which object is above a medium yellow square? the blue thing or the medium black square?
0: the blue thing
1: the medium black square 
2: both of them
3: none of them","### Key Facts:
<fact1>Block A has two medium yellow squares</fact1>
<fact2>Medium yellow square number one is below medium yellow square number two and a medium blue square</fact2>
<fact3>Below medium yellow square number two is the medium blue square</fact3>
<fact4>Block B has one medium black square</fact4>
<fact5>medium yellow square touching the bottom edge of this block</fact5>
<fact6>The medium yellow square is below the medium black square</fact6>

### Reformatted Question:
There are two blocks. Lets call them A and B. <fact1>Block A has two medium yellow squares</fact1>. <fact2>Medium yellow square number one is below medium yellow square number two and a medium blue square</fact2>. <fact3>Below medium yellow square number two is the medium blue square</fact3>. <fact4>Block B has one medium black square</fact4>. There is also a <fact5>medium yellow square touching the bottom edge of this block</fact5>. <fact6>The medium yellow square is below the medium black square</fact6>. Which object is above a medium yellow square? the blue thing or the medium black square?"
