id,question,answer
0,"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?
# Answer option: ['A)5(√3 + 1)', 'B)6(√3 + √2)', 'C)7(√3 – 1)', 'D)8(√3 – 2)', 'E)None of these']","Reformatted Question: A car is being driven, in a <fact1>straight line</fact1> and at a <fact2>uniform speed</fact2>, towards the base of a <fact3>vertical tower</fact3>. The top of the tower is observed from the car and, in the process, it takes <fact4>10 minutes</fact4> for the <fact5>angle of elevation</fact5> to change from <fact6>45°</fact6> to <fact7>60°</fact7>. After how much more time will this car reach the base of the tower?

Answer: Let's denote the distance from the car to the base of the tower as x and the height of the tower as h. When the angle of elevation is 45°, we have a right triangle with legs x and h, and hypotenuse x + h. By the Pythagorean theorem, we have x^2 + h^2 = (x + h)^2. When the angle of elevation is 60°, we have a right triangle with legs x and h, and hypotenuse x + h/√3. By the Pythagorean theorem, we have x^2 + h^2/3 = (x + h/√3)^2. We can simplify these equations and solve for x. However, the problem doesn't ask for the distance, but for the time it takes to reach the base of the tower. Since the car is moving at a uniform speed, the time is proportional to the distance. Let's denote the time it takes to reach the base of the tower as t. We can set up a proportion: t / x = 10 / (x - x/√3). Solving for t, we get t = 10x / (x - x/√3) = 10x / (x(1 - 1/√3)) = 10 / (1 - 1/√3) = 10 / ((√3 - 1) / √3) = 10√3 / (√3 - 1) = 10√3 (√3 + 1) / (√3 - 1)(√3 + 1) = 10√3 (√3 + 1) / (√3^2 - 1^2) = 10√3 (√3 + 1) / (3 - 1) = 10√3 (√3 + 1) / 2 = 5√3 (√3 + 1). So the answer is A)5(√3 + 1)."
1,"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?
# Answer option: ['A)$61', 'B)$65', 'C)$67.40', 'D)$70', 'E)$78.20']","Reformatted Question: The original price of an item is discounted <fact1>22%</fact1>. A customer buys the item at this discounted price using a <fact2>$20-off coupon</fact2>. There is no tax on the item, and this was the only item the customer bought. If the customer paid <fact3>$1.90 more than half the original price of the item</fact3>, what was the original price of the item?

Answer: Let's assume the original price of the item is x. After a discount of <fact1>22%</fact1>, the price becomes x - 0.22x = 0.78x. The customer also uses a <fact2>$20-off coupon</fact2>, so the final price paid is 0.78x - 20. According to the problem, the customer paid <fact3>$1.90 more than half the original price of the item</fact3>, which means 0.78x - 20 = 0.5x + 1.90. Rearranging the equation, we get 0.78x - 0.5x = 1.90 + 20, which simplifies to 0.28x = 21.90. Solving for x, we get x = 21.90 / 0.28 = 78.20. So the answer is {E}."
2,"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?
# Answer option: ['A)36', 'B)15', 'C)17', 'D)5', 'E)7']","Reformatted Question: Find out which of the following values is the multiple of X, if it is divisible by <fact1>9</fact1> and <fact2>12</fact2>?

Answer: To be divisible by both <fact1>9</fact1> and <fact2>12</fact2>, the number must be a multiple of their least common multiple (LCM). The LCM of <fact1>9</fact1> and <fact2>12</fact2> is 36. Therefore, the correct answer is A) 36."
3,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?
# Answer option: ['A)0.22', 'B)0.26', 'C)0.37', 'D)0.46', 'E)0.63']","Reformatted Question: If the <fact1>probability that Stock A will increase in value during the next month is 0.56</fact1>, and the <fact2>probability that Stock B will increase in value during the next month is 0.74</fact2>. What is the greatest value for the <fact3>probability that neither of these two events will occur</fact3>?

Answer: The <fact3>probability that neither of these two events will occur</fact3> is equal to 1 - (probability that Stock A will increase in value during the next month + probability that Stock B will increase in value during the next month - probability that both will increase in value during the next month). The greatest value for the <fact3>probability that neither of these two events will occur</fact3> will be when the probability that both will increase in value during the next month is the least. The least value for the probability that both will increase in value during the next month is 0. So the greatest value for the <fact3>probability that neither of these two events will occur</fact3> is 1 - (<fact1>0.56</fact1> + <fact2>0.74</fact2> - 0) = 1 - 1.30 = -0.30. But the probability cannot be negative. So the greatest value for the <fact3>probability that neither of these two events will occur</fact3> is 1 - (<fact1>0.56</fact1> + <fact2>0.74</fact2> - <fact1>0.56</fact1>*<fact2>0.74</fact2>) = 1 - (1.30 - 0.4156) = 1 - 0.8844 = 0.1156. So the answer is not available in the options."
4,"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?
# Answer option: ['A)270', 'B)300', 'C)280', 'D)320', 'E)315']","Reformatted Question: A trader sold an article at a <fact1>profit of 20%</fact1> for <fact2>Rs.360</fact2>. What is the <fact3>cost price of the article</fact3>? Answer Choices: (A) 270 (B) 300 (C) 280 (D) 320 (E) 315

Answer: Let's assume the <fact3>cost price of the article</fact3> is x. Since the trader sold the article at a <fact1>profit of 20%</fact1>, the selling price is 120% of the cost price. So, the selling price is 1.20x. We know that the selling price is <fact2>Rs.360</fact2>. Therefore, 1.20x = <fact2>360</fact2>. Solving for x, we get x = <fact2>360</fact2> / 1.20 = 300. So the answer is {B}."
5,"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?
# Answer option: ['A)40', 'B)200', 'C)380', 'D)400', 'E)3200']","Reformatted Question: 20 marbles were pulled out of a bag of only <fact1>white marbles</fact1>, painted black, and then put back in. Then, another 20 marbles were pulled out, of which <fact2>1 was black</fact2>, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?

Answer: There are <fact1>20 black marbles</fact1> in the bag. The percentage of black marbles pulled out the second time is <fact2>1/20</fact2> = 5%. So the total number of marbles in the bag is <fact1>20 black marbles</fact1> / 0.05 = 400. So the answer is D)400."
6,"Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct?
# Answer option: ['A)74453', 'B)64543', 'C)74325', 'D)65000', 'E)97656']","Reformatted Question: Find the total no. of distinct bike no.'s that can be formed using <fact1>2 letters</fact1> followed by <fact2>2 no.'s</fact2>. How many letters need to be distinct?

Answer: For the first letter, there are 26 possibilities. For the second letter, there are 26 possibilities. For the first number, there are 10 possibilities. For the second number, there are 10 possibilities. The total number of distinct bike numbers is 26 * 26 * 10 * 10 = 67600. However, this is not among the answer options.

Since the question asks how many letters need to be distinct, let's assume that the letters need to be distinct. For the first letter, there are 26 possibilities. For the second letter, there are 25 possibilities (since it needs to be distinct from the first letter). For the first number, there are 10 possibilities. For the second number, there are 10 possibilities. The total number of distinct bike numbers is 26 * 25 * 10 * 10 = 65000. 

So the answer is {D)65000}."
7,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?
# Answer option: ['A)10', 'B)11.5', 'C)12.5', 'D)13.5', 'E)15']","Reformatted Question: A train running at a speed of <fact1>100 miles/hour</fact1>, takes <fact2>10 hours</fact2> to reach its destination. After covering <fact3>quarter of the distance</fact3>, it starts raining and the train has to be slowed to speed of <fact4>75 miles/hour</fact4>. What is the total journey duration?

Answer: The distance to the destination is <fact1>100 miles/hour</fact1> * <fact2>10 hours</fact2> = 1000 miles. After covering <fact3>quarter of the distance</fact3>, the train has traveled 1000 / 4 = 250 miles. The remaining distance is 1000 - 250 = 750 miles. At a speed of <fact4>75 miles/hour</fact4>, the train will take 750 / 75 = 10 hours to cover the remaining distance. However, the train has already traveled for some time before the rain started. The time taken to cover the first 250 miles at a speed of <fact1>100 miles/hour</fact1> is 250 / 100 = 2.5 hours. Therefore, the total journey duration is 10 + 2.5 = 12.5 hours. So the answer is {C}."
8,"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?
# Answer option: ['A)27', 'B)81', 'C)90', 'D)99', 'E)110']","Reformatted Question: Of the <fact1>200 students</fact1> in a school, at least <fact2>45%</fact2> attended the prom night and at least <fact3>35%</fact3> took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?

Answer: The maximum number of students who attended the prom night is <fact1>200 students</fact1> * <fact2>45%</fact2> = 90. The maximum number of students who took part in the debating session is <fact1>200 students</fact1> * <fact3>35%</fact3> = 70. If we assume that all the students who attended the prom night also took part in the debating session, then the maximum number of students who attended either event is 90. Therefore, the maximum number of students who could have neither attended the prom night nor the debating session is <fact1>200 students</fact1> - 90 = 110. So the answer is E)110."
9,"A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?
# Answer option: ['A)15', 'B)24', 'C)25', 'D)40', 'E)52']","Reformatted Question: A sales person gets a <fact1>10% commission</fact1> on each sale he makes. How many sales of <fact2>$250 each</fact2> must he make in order to reach a salary of at least <fact3>$1000</fact3>?

Answer: To reach a salary of at least <fact3>$1000</fact3>, the sales person must make enough sales to earn a total commission of at least <fact3>$1000</fact3>. Since he gets a <fact1>10% commission</fact1> on each sale, the total amount of sales he must make is <fact3>$1000</fact3> / <fact1>0.10</fact1> = <fact3>$1000</fact3> / (<fact1>10/100</fact1>) = <fact3>$1000</fact3> * (100 / <fact1>10</fact1>) = <fact3>$1000</fact3> * 10 = $10,000. Since each sale is <fact2>$250</fact2>, the number of sales he must make is $10,000 / <fact2>$250</fact2> = 40. So the answer is {D)40}."
10,"A company produces 420 units of a particular computer component every month, at a production cost to the company of $110 per component, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the yearly profit (revenue from sales minus production costs) will be at least $626,400 ?
# Answer option: ['A)226', 'B)230', 'C)240', 'D)260', 'E)280']","Reformatted Question: A company produces <fact1>420 units</fact1> of a particular computer component every month, at a production cost to the company of <fact2>$110 per component</fact2>, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the yearly profit (revenue from sales minus production costs) will be at least <fact3>$626,400</fact3> ?

Answer: To find the minimum selling price, we first need to find the total production cost per year and the total revenue required per year. The total production cost per year is <fact1>420 units</fact1> * <fact2>$110 per component</fact2> * 12 months = $554,400. The total revenue required per year is <fact3>$626,400</fact3> (yearly profit) + $554,400 (total production cost per year) = $1,180,800. Since the company sells <fact1>420 units</fact1> * 12 months = 5040 units per year, the minimum selling price per component is $1,180,800 / 5040 units = $234.29. However, the closest answer choice is $240 (option C) and $230 (option B) is the closest lower answer choice, so we must verify if $230 can be the correct answer. If the selling price is $230, the total revenue per year would be 5040 units * $230 = $1,159,200. The yearly profit would be $1,159,200 - $554,400 = $604,800, which is less than the required $626,400. Therefore, $230 is not enough, and the minimum selling price per component must be at least $240 (option C) to guarantee a yearly profit of at least $626,400."
11,"At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?
# Answer option: ['A)4,000', 'B)4,200', 'C)4,500', 'D)4,800', 'E)5,000']","Reformatted Question: At a certain factory, <fact1>10 percent of the staplers produced on Monday were defective</fact1> and <fact2>2 percent of the non-defective staplers were rejected by mistake</fact2>. If <fact3>72 of the non-defective staplers were rejected</fact3>, what was the number of staplers produced that day?

Answer: Let x be the number of staplers produced on Monday. Then, the number of non-defective staplers is (100 - <fact1>10</fact1>)% of x, which is 90% of x, or 0.9x. Since <fact2>2 percent of the non-defective staplers were rejected by mistake</fact2>, the number of non-defective staplers rejected is <fact2>2%</fact2> of 0.9x, which is 0.018x. We are given that <fact3>72 of the non-defective staplers were rejected</fact3>, so 0.018x = 72. Solving for x, we get x = 72 / 0.018 = 4000. So the answer is A) 4,000."
12,"Machine A puts out a yo-yo every 6 minutes. Machine B puts out a yo-yo every 9 minutes. After how many minutes will they have produced 10 yo-yos?
# Answer option: ['A)24 minutes', 'B)32 minutes', 'C)36 minutes', 'D)64 minutes', 'E)72 minutes']","Reformatted Question: Machine A puts out a yo-yo every <fact1>6 minutes</fact1>. Machine B puts out a yo-yo every <fact2>9 minutes</fact2>. After how many minutes will they have produced <fact3>10 yo-yos</fact3>?

Answer: The least common multiple (LCM) of <fact1>6 minutes</fact1> and <fact2>9 minutes</fact2> is 18 minutes. In 18 minutes, Machine A puts out <fact1>18/6 = 3</fact1> yo-yos and Machine B puts out <fact2>18/9 = 2</fact2> yo-yos. In 36 minutes, Machine A puts out 6 yo-yos and Machine B puts out 4 yo-yos. So in 36 minutes, they put out a total of 10 yo-yos. So the answer is C)36 minutes."
13,"Add: +45 and -30
# Answer option: ['A)-30', 'B)+30', 'C)0', 'D)15', 'E)-15']","Reformatted Question: Add: <fact1>+45</fact1> and <fact2>-30</fact2>

Answer: To add <fact1>+45</fact1> and <fact2>-30</fact2>, we simply add the numbers. This means we are adding a positive 45 and a negative 30. When adding a positive and a negative number, we subtract the absolute values of the numbers. Therefore, we have 45 - 30 = 15. So the answer is D) 15."
14,"In how many ways can the letters of the word ""PROBLEC"" be rearranged to make 7 letter words such that none of the letters repeat?
# Answer option: ['A)2!', 'B)3!', 'C)7!', 'D)8!', 'E)9!']","Reformatted Question: In how many ways can the letters of the word ""<fact1>PROBLEC</fact1>"" be rearranged to make <fact2>7 letter words</fact2> such that none of the letters repeat?

Answer: Since there are no repeating letters in the word ""<fact1>PROBLEC</fact1>"", and we are forming <fact2>7 letter words</fact2>, we can arrange the letters in <fact1>7!</fact1> ways. So the answer is {C}."
15,"Let A and B be independent events with P (A) = 0.2 and P(B) = 0.8. Find P(A/B)?
# Answer option: ['A)0.2', 'B)0.4', 'C)0.6', 'D)1.2', 'E)1.5']","Reformatted Question: Let <fact1>A and B be independent events</fact1> with <fact2>P (A) = 0.2</fact2> and <fact3>P(B) = 0.8</fact3>. Find <fact4>P(A/B)</fact4>?

Answer: Since <fact1>A and B are independent events</fact1>, the occurrence or non-occurrence of one does not affect the probability of the occurrence of the other. Therefore, <fact4>P(A/B) = P(A)</fact4> which is given as <fact2>0.2</fact2>. So the answer is A)0.2."
16,"Consider there is an staircase elevator and you are coming down. If you walk 20 steps and stop, then you reach bottom in 10 minutes. If you walk 10 steps and stop, you reach to the ground in 20 minutes. What is the speed of the elevator?
# Answer option: ['A)1 step/minute', 'B)2 step/minute', 'C)3 step/minute', 'D)4 step/minute', 'E)None of the above']","Reformatted Question: Consider there is an staircase elevator and you are coming down. If you walk <fact1>20 steps</fact1> and stop, then you reach bottom in <fact2>10 minutes</fact2>. If you walk <fact3>10 steps</fact3> and stop, you reach to the ground in <fact4>20 minutes</fact4>. What is the speed of the elevator?

Answer: Let's denote the speed of the elevator as 'x' steps per minute. If you walk <fact1>20 steps</fact1> and stop, then you reach bottom in <fact2>10 minutes</fact2>, which means that the elevator covers the remaining distance in <fact2>10 minutes</fact2>. Similarly, if you walk <fact3>10 steps</fact3> and stop, you reach to the ground in <fact4>20 minutes</fact4>, which means that the elevator covers the same distance in <fact4>20 minutes</fact4>. Since the distance is the same in both cases, we can set up the following equation: (<fact1>20 steps</fact1> + <fact2>10 minutes</fact2>*x) = (<fact3>10 steps</fact3> + <fact4>20 minutes</fact4>*x). Solving for x, we get: <fact2>10 minutes</fact2>*x - <fact4>20 minutes</fact4>*x = <fact3>10 steps</fact3> - <fact1>20 steps</fact1> -10x = -10 x = 1 So the answer is {A)1 step/minute}."
17,"Last year, a Home Appliance Store sold an average(arithmetic mean) of 42 microwave ovens per month. In the first 10 months of this year,the store has sold an average(arithmetic mean) of only 20 microwave ovens per month. What was the average number of microwave ovens sold per month during the entire 22 months period ?
# Answer option: ['A)21', 'B)30', 'C)31', 'D)32', 'E)None of the above']","Reformatted Question: Last year, a Home Appliance Store sold an <fact1>average(arithmetic mean) of 42 microwave ovens per month</fact1>. In the <fact2>first 10 months of this year</fact2>, the store has sold an <fact3>average(arithmetic mean) of only 20 microwave ovens per month</fact3>. What was the <fact4>average number of microwave ovens sold per month during the entire 22 months period</fact4> ?

Answer: To find the <fact4>average number of microwave ovens sold per month during the entire 22 months period</fact4>, we need to find the total number of microwave ovens sold in the entire period and divide it by the total number of months. The total number of months is 12 (last year) + 10 (first 10 months of this year) = 22. The total number of microwave ovens sold last year is <fact1>42 microwave ovens per month</fact1> * 12 = 504. The total number of microwave ovens sold in the first 10 months of this year is <fact3>20 microwave ovens per month</fact3> * 10 = 200. The total number of microwave ovens sold in the entire period is 504 + 200 = 704. The <fact4>average number of microwave ovens sold per month during the entire 22 months period</fact4> is 704 / 22 = 32. So the answer is {D)32}."
18,"An exam is given in a certain class. The average (arithmetic mean) of the highest score and the lowest score is equal to x. If the average score for the entire class is equal to y and there are z students in the class, where z > 5, then in terms of x, y, and z, what is the average score for the class excluding the highest and lowest scorers?
# Answer option: ['A)(zy – 2x)/z', 'B)(zy – 2)/z', 'C)(zx – y)/(z – 2)', 'D)(zy – 2x)/(z -2)', 'E)(zy – x)/(z + 2)']","Reformatted Question: An exam is given in a certain <fact1>class</fact1>. The average (arithmetic mean) of the <fact2>highest score</fact2> and the <fact3>lowest score</fact3> is equal to <fact4>x</fact4>. If the average score for the <fact1>entire class</fact1> is equal to <fact5>y</fact5> and there are <fact6>z students</fact6> in the <fact1>class</fact1>, where <fact6>z > 5</fact6>, then in terms of <fact4>x</fact4>, <fact5>y</fact5>, and <fact6>z</fact6>, what is the average score for the <fact1>class</fact1> excluding the <fact2>highest</fact2> and <fact3>lowest scorers</fact3>?

Answer: The total score of the <fact1>entire class</fact1> is <fact5>y</fact5>*<fact6>z</fact6> because there are <fact6>z students</fact6> with an average score of <fact5>y</fact5>. The sum of the <fact2>highest score</fact2> and the <fact3>lowest score</fact3> is 2*<fact4>x</fact4> because the average of the <fact2>highest score</fact2> and the <fact3>lowest score</fact3> is <fact4>x</fact4>. Therefore, the total score of the <fact1>class</fact1> excluding the <fact2>highest</fact2> and <fact3>lowest scorers</fact3> is <fact5>y</fact5>*<fact6>z</fact6> - 2*<fact4>x</fact4>. Since there are <fact6>z</fact6> - 2 students in the <fact1>class</fact1> excluding the <fact2>highest</fact2> and <fact3>lowest scorers</fact3>, the average score for the <fact1>class</fact1> excluding the <fact2>highest</fact2> and <fact3>lowest scorers</fact3> is (<fact5>y</fact5>*<fact6>z</fact6> - 2*<fact4>x</fact4>)/(<fact6>z</fact6> - 2). So the answer is D)(zy – 2x)/(z -2)."
