id,question,answer
0,"Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack, how much do you have to pay to buy each pack?","To find the price of each pack after the discount, we need to subtract the discount amount from the original price of the pack. 

The original price of each pack is $76, and the discount is $25. 

So, the price of each pack after the discount is 76 - 25 = 51 dollars.

The answer is {51}."
9,A waiter had some customers. After 9 customers left he still had 12 customers. How many customers did he have at the start?,"The waiter initially had some customers, but after 9 customers left, he still had 12 customers. To find out the initial number of customers, we need to add the number of customers who left to the number of customers who remained. 

So, the initial number of customers = 9 (customers who left) + 12 (customers who remained) = 21.

The answer is {21}."
10,3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them. How many more storks than birds are sitting on the fence?,"Initially, there were 3 birds on the fence. 6 more storks and 2 more birds joined them. So the total number of birds is 3+2=5, and the total number of storks is 6. To find the difference between the number of storks and birds, subtract the number of birds from the number of storks: 6-5=1.

The answer is {1}."
11,"They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs, how many chairs do they have in the backyard?","To find the total number of chairs in the backyard, we need to multiply the number of sets of tables by the number of chairs in each set. 

There are 11 sets of tables, and each set has 13 chairs. So, the total number of chairs is 11 x 13 = 143.

The answer is {143}."
12,"In a school there are 458 more girls than boys. If there are 692 girls, how many pupils are there in that school?","To find the number of pupils in the school, we need to determine the number of boys first. We know that there are 458 more girls than boys and there are 692 girls in total.

Let's start by finding the number of boys. Since there are 458 more girls than boys, we can subtract 458 from the total number of girls to find the number of boys.

Number of boys = Total number of girls - 458
Number of boys = 692 - 458
Number of boys = 234

Now that we know the number of boys, we can find the total number of pupils by adding the number of boys and girls.

Total number of pupils = Number of boys + Number of girls
Total number of pupils = 234 + 692
Total number of pupils = 926

The answer is {926}."
17,In a school there are 732 girls and 761 boys. 682 more girls and 8 more boys joined the school. How many girls are there in the school now?,"There were initially 732 girls in the school. 682 more girls joined the school. To find the total number of girls, we need to add the initial number of girls to the number of girls who joined. 

The total number of girls is 732 + 682 = 1414.

The answer is {1414}."
25,Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,"To find out how many more wrappers than bottle caps Danny found at the park, we need to know the number of wrappers and bottle caps he found at the park, and then compare them.

We know that Danny found 65 wrappers and 5 bottle caps at the park. 

Now we compare the number of wrappers and bottle caps he found. 
65 - 5 = 60

The answer is {60}."
26,"Because of the decision Sofia asked the students to suggest specific types of food from a total of 66 choices. If 450 students suggested adding mashed potatoes 38 suggested adding bacon to the menu and the rest did not participate, how many students participated in the suggestion of new food items?","To find the number of students who participated in the suggestion of new food items, we need to add the number of students who suggested adding mashed potatoes and the number of students who suggested adding bacon to the menu.

Number of students who suggested adding mashed potatoes = 450
Number of students who suggested adding bacon = 38

Total number of students who participated = 450 + 38 = 488

The answer is {488}."
27,"Matthew gave equal numbers of crackers and cakes to his 28 friends. If he had 13 crackers and 15 cakes initially, how many crackers and cakes did each person eat?","To find out how many crackers and cakes each person ate, we first need to find out the total number of crackers and cakes that Matthew gave away. Since he had 13 crackers and 15 cakes initially and gave equal numbers of each to his friends, the number of crackers and cakes given away must be the smaller of the two, which is 13 (since he can't give away more than he has). 

However, this is not the case. The question states that he gave equal numbers of crackers and cakes to his 28 friends. This means that he must have given away 13 crackers and 13 cakes, and he must have had 2 cakes left over (15 - 13 = 2). 

Now, we know that he gave away 13 crackers and 13 cakes to 28 friends. To find out how many crackers and cakes each person ate, we divide the total number of crackers and cakes given away by the number of friends. 

13 crackers / 28 friends = 0.464 (approximately) or 13/28 crackers per friend
13 cakes / 28 friends = 0.464 (approximately) or 13/28 cakes per friend

Since the question does not allow for decimal or fractional answers, we will assume that the question is asking for the number of crackers and cakes each person ate in terms of a fraction or a whole number, but since it is not specified, the final answer will be in fractional form.

Answer: {13/28}"
28,"A grocery store had 49 bottles of regular soda, 40 bottles of diet soda and 6 bottles of lite soda. How many bottles of regular soda and diet soda did they have altogether?","To find the total number of bottles of regular soda and diet soda, we need to add the number of bottles of regular soda to the number of bottles of diet soda. 

The number of bottles of regular soda is 49, and the number of bottles of diet soda is 40. 

So, the total number of bottles of regular soda and diet soda is 49 + 40 = 89.

The answer is {89}."
35,"Dan has $ 4. He bought a candy bar for $ 8. Then his friend have him $ 5, how much money is left?","Dan initially had $4, but he spent $8 on a candy bar, which is more than he had. This means he was $8 - $4 = $4 short. After spending $8, he would be -$4 in debt. Then, his friend gave him $5. To find out how much money he has left, we need to add the $5 to the -$4. So, -$4 + $5 = $1.

The answer is {1}."
42,"Luke played 177 rounds of a trivia game. If he gained 46 points in each round, how many points did he score in the game?","To find the total points Luke scored in the game, we need to multiply the number of rounds he played by the number of points he gained in each round. 

Number of rounds = 177
Points gained per round = 46

Total points scored = Number of rounds * Points gained per round
Total points scored = 177 * 46
Total points scored = 8142

The answer is {8142}."
43,3 birds and 4 storks were sitting on the fence. 2 more birds came to join them. How many more birds than storks are sitting on the fence?,"Initially, there were 3 birds and 4 storks on the fence. Then, 2 more birds came to join them, making a total of 3 + 2 = 5 birds. To find out how many more birds than storks are on the fence, we need to subtract the number of storks from the number of birds. So, there are 5 - 4 = 1 more birds than storks on the fence.

Answer: {1}"
