id,question,answer
0,"Yesterday was April 30, 2021. What is the date today in MM/DD/YYYY?","                    Reformatted Question: Yesterday was <fact1>April 30, 2021</fact1>. What is the date <fact2>today</fact2> in MM/DD/YYYY?                         Answer:

<fact1>Yesterday was April 30, 2021</fact1>.  Therefore, <fact2>today</fact2> is May 1, 2021. The answer is {05/01/2021}.
"
1,"Yesterday was April 30, 2021. What is the date yesterday in MM/DD/YYYY?","Reformatted Question: Yesterday was <fact1>April 30, 2021</fact1>. What is the date <fact2>yesterday</fact2> in MM/DD/YYYY?
Answer:
<fact1>Yesterday</fact1> was <fact1>04/30/2021</fact1>. The question asks for the date <fact2>yesterday</fact2>, which is <fact1>04/30/2021</fact1>. The answer is {04/30/2021}.
"
2,"Yesterday was April 30, 2021. What is the date 10 days ago in MM/DD/YYYY?","                    Reformatted Question: Yesterday was <fact1>April 30, 2021</fact1>. What is the date <fact2>10 days ago</fact2> in MM/DD/YYYY?                         Answer:

<fact1>Yesterday was April 30, 2021</fact1>, meaning today is May 1, 2021.  <fact2>10 days ago</fact2> would be 10 days before May 1, 2021, which is April 21, 2021. The answer is {04/21/2021}.
"
3,"Yesterday was April 30, 2021. What is the date a month ago in MM/DD/YYYY?","Reformatted Question: Yesterday was <fact1>April 30, 2021</fact1>. What is the date <fact2>a month ago</fact2> in MM/DD/YYYY?

Answer:
<fact1>Yesterday was April 30, 2021</fact1>. That means today is May 1, 2021.  <fact2>A month ago</fact2> would be April 1, 2021. The answer is {04/01/2021}.
"
4,"Yesterday was April 30, 2021. What is the date one year ago from today in MM/DD/YYYY?","Reformatted Question: Yesterday was <fact1>April 30, 2021</fact1>. What is the date <fact2>one year ago from today</fact2> in MM/DD/YYYY?

Answer:
<fact1>Yesterday was April 30, 2021</fact1>, so today is May 1, 2021.  <fact2>One year ago from today</fact2> would be May 1, 2020. The answer is {05/01/2020}.
"
5,"Yesterday was April 30, 2021. What is the date one week ago from today in MM/DD/YYYY?","Reformatted Question: Yesterday was <fact1>April 30, 2021</fact1>. What is the date <fact2>one week ago from today</fact2> in MM/DD/YYYY?


Answer:
<fact1>Yesterday was April 30, 2021</fact1>, so today is May 1, 2021.  <fact2>One week ago from today</fact2> means 7 days before May 1, 2021. Therefore, the date <fact2>one week ago</fact2> was April 24, 2021.  The answer is {04/24/2021}.
"
6,"Yesterday was April 30, 2021. What is the date one week from today in MM/DD/YYYY?","                    Reformatted Question: Yesterday was <fact1>April 30, 2021</fact1>. What is the date <fact2>one week from today</fact2> in MM/DD/YYYY?                         Answer:

<fact1>Yesterday was April 30, 2021</fact1>, so today is May 1, 2021. <fact2>One week from today</fact2> means 7 days after today. Therefore, one week from today will be May 8, 2021. The answer is {05/08/2021}.
"
7,"Yesterday was April 30, 2021. What is the date 24 hours later in MM/DD/YYYY?","                    Reformatted Question: Yesterday was <fact1>April 30, 2021</fact1>. What is the date <fact2>24 hours later</fact2> in MM/DD/YYYY?                         Answer:

<fact1>Yesterday was April 30, 2021</fact1>.  <fact2>24 hours later</fact2> is one day after yesterday, which is today.  So today is May 1, 2021. The answer is {05/01/2021}.
"
8,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date today in MM/DD/YYYY?","Reformatted Question: The deadline is <fact1>Jun 1, 2021</fact1>, which is <fact2>2 days away</fact2> from now. What is the date today in MM/DD/YYYY?

Answer:
The deadline is <fact1>June 1st, 2021</fact1>, and it is <fact2>2 days away</fact2>.  This means today is 2 days before June 1st, 2021. Therefore, today is May 30th, 2021. The answer is {05/30/2021}.
"
9,"The deadline is Jun 1, 2021, which is 2 days away from now. What is the date tomorrow in MM/DD/YYYY?","                    Reformatted Question: The deadline is <fact1>Jun 1, 2021</fact1>, which is <fact2>2 days away from now</fact2>. What is the date <fact3>tomorrow</fact3> in MM/DD/YYYY?                         Answer:

The deadline is <fact1>June 1st, 2021</fact1>, which is <fact2>2 days away</fact2>. This means today is 2 days before June 1st, 2021.  Therefore, today is May 30th, 2021. <fact3>Tomorrow</fact3> is one day after today, so tomorrow is May 31st, 2021. The answer is {05/31/2021}.
"
