id,question,answer
0,"For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left?","Debby and her sister had a combined total of 32 + 42 = 74 pieces of candy. After eating 35 pieces, they have 74 - 35 = 39 pieces left.

Answer: {39}
"
1,A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left?,"Explanation:
Start with the total number of cats: 13 siamese + 5 house cats = 18 cats
Subtract the number of cats sold: 18 cats - 10 cats = 8 cats

Answer: {8}
"
2,"Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with?","Luke bought 2 games + 2 games = 4 games.
Since 2 games didn't work, he had 4 - 2 = 2 good games.

Answer: {2}
"
3,"The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with?","The cafeteria ordered a total of 42 + 7 = 49 apples.  Since only 9 students wanted fruit, the cafeteria had 49 - 9 = 40 extra apples.

Answer: {40}
"
4,"Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick?","Lana picked a total of 36 tulips + 37 roses = 73 flowers. She used 70 flowers, so she had 73 - 70 = 3 extra flowers.

Answer: {3}
"
5,"Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have?","Carol picked 29 carrots and her mom picked 16, so they picked a total of 29 + 16 = 45 carrots.  If 38 of those carrots were good, then they had 45 - 38 = 7 bad carrots.

Answer: {7}
"
6,Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now?,"Roger started with $16. He received $28 more, making his total $16 + $28 = $44. Then he spent $25, leaving him with $44 - $25 = $19.

Answer: {19}
"
7,"While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have?","Megan took a total of 15 + 18 = 33 pictures.  Since she deleted 31, she had 33 - 31 = 2 pictures left.

Answer: {2}
"
8,Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color?,"Rachel bought two coloring books with 23 and 32 pictures, respectively.  In total, she has 23 + 32 = 55 pictures to color. After one week, she colored 44 pictures. Therefore, she still has 55 - 44 = 11 pictures left to color.

Answer: {11}
"
9,"Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash?","Ned had to wash a total of 9 + 21 = 30 shirts. He washed 29 shirts. Therefore, he did not wash 30 - 29 = 1 shirt.

Answer: {1}
"
10,"Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash?","Oliver had a total of 39 + 47 = 86 shirts to wash. He washed 20 of them, so he didn't wash 86 - 20 = 66 shirts.

Answer: {66}
"
11,For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell?,"Wendy baked 4 cupcakes and 29 cookies, so she made 4 + 29 = 33 pastries in total. She took 24 pastries back home, so she sold 33 - 24 = 9 pastries.
Answer: {9}
"
12,"While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have?","Debby took a total of 24 + 12 = 36 pictures.  She deleted 14 pictures, so she has 36 - 14 = 22 pictures left.
Answer: {22}
"
13,"Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick?","Katie picked a total of 3 + 9 = 12 flowers. She used 10 flowers, so she picked 12 - 10 = 2 extra flowers.

Answer: {2}
"
